"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.812840019,      -4.154677522,      -4.196455478,      -2.768145293,       -10.5978194
          0,           0,          64,      -4.824892724,      -4.147100763,       -4.18801711,      -2.780546939,      -10.58917192
          0,           0,          65,      -4.838244167,      -4.136868056,      -4.166813144,      -2.794229534,      -10.58058741
          0,           0,          66,      -4.852901653,      -4.125548704,      -4.139141966,      -2.809267065,      -10.57186266
          0,           0,          67,      -4.868627799,      -4.113954708,      -4.109681619,      -2.825473114,      -10.56285314
          0,           0,          68,      -4.884971602,      -4.102294737,      -4.081092109,      -2.842429628,       -10.5533667
          0,           0,          69,      -4.901328207,      -4.090407081,      -4.054636938,      -2.859541025,      -10.54330994
          0,           0,          70,      -4.917024979,      -4.077985222,      -4.030764022,      -2.876116524,      -10.53264355
          0,           0,          71,      -4.931397507,      -4.064758837,      -4.009516377,      -2.891444353,      -10.52135354
          0,           0,          72,       -4.94386215,      -4.050594207,      -3.990761117,      -2.904866631,      -10.50947402
          0,           0,          73,      -4.953989353,      -4.035552562,      -3.974323399,      -2.915862538,      -10.49708133
          0,           0,          74,      -4.961522035,      -4.019880406,      -3.960037496,      -2.924081829,      -10.48426377
          0,           0,          75,       -4.96636434,      -4.003966739,      -3.947776702,      -2.929351484,      -10.47112549
          0,           0,          76,      -4.968557338,       -3.98828861,      -3.937470252,      -2.931665228,      -10.45776551
          0,           0,          77,      -4.968207947,      -3.973355638,      -3.929102043,      -2.931119016,      -10.44428685
          0,           0,          78,      -4.965454067,      -3.959669593,       -3.92271547,      -2.927874071,      -10.43077047
          0,           0,          79,      -4.960446578,      -3.947697643,      -3.918404532,       -2.92213154,       -10.4172702
          0,           0,          80,      -4.953329271,      -3.937864895,      -3.916300877,      -2.914100788,      -10.40380525
          0,           0,          81,      -4.944264995,      -3.930547722,      -3.916568828,      -2.904017039,      -10.39040262
          0,           0,          82,       -4.93347605,      -3.926075888,      -3.919393155,       -2.89217167,      -10.37707427
          0,           0,          83,      -4.921255519,      -3.924726621,      -3.924976119,      -2.878915891,      -10.36384577
          0,           0,          84,      -4.907980284,      -3.926736982,      -3.933518717,      -2.864669222,      -10.35073265
          0,           0,          85,      -4.894096001,      -3.932296719,      -3.945205517,      -2.849903813,      -10.33774683
          0,           0,          86,      -4.880092814,      -3.941543979,      -3.960189687,      -2.835123532,      -10.32491313
          0,           0,          87,      -4.866472227,      -3.954549557,      -3.978566286,      -2.820833086,      -10.31223424
          0,           0,          88,      -4.853706538,      -3.971292713,      -4.000302574,      -2.807501504,      -10.29973947
          0,           0,          89,      -4.842223278,      -3.991606397,      -4.025176651,      -2.795551014,      -10.28743868
          0,           0,          90,      -4.832382244,      -4.015104022,       -4.05264911,      -2.785335577,      -10.27535476
          0,           0,          91,      -4.824472495,      -4.041059588,      -4.081688577,      -2.777140431,      -10.26348481
          0,           0,          92,      -4.818720329,      -4.068257909,       -4.11054827,      -2.771189763,      -10.25182107
          0,           0,          93,      -4.815283898,      -4.094851083,      -4.136621854,      -2.767642396,      -10.24035457
          0,           0,          94,      -4.814275287,       -4.11831918,      -4.156613197,      -2.766613406,      -10.22905101
          0,           0,          95,      -4.815766825,      -4.135726634,      -4.167219293,      -2.768178768,      -10.21787425
          0,           0,          96,      -4.819793124,      -4.144452278,      -4.166419849,      -2.772378236,      -10.20677461
          0,           0,          97,      -4.826363513,      -4.143179588,      -4.154425134,      -2.779226649,      -10.19567158
