"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633182423316864e-05, 1.320546183840859e+00, 6.967501455622500e-01, 1.013326216301308e-01, 3.777592266058763e+00
1, 9.990000128750000e-01, -1.454342243313776e-04, 1.188051179709516e+00, 7.012792217635788e-01, 1.024624673445909e-01, 3.410723779849659e+00
2, 9.977599978450000e-01, -3.270896010420586e-04, 1.179334735459473e+00, 7.536339367900426e-01, 1.118411115197650e-01, 3.396060054439789e+00
3, 9.960200190539999e-01, -5.876725644494425e-04, 1.166152637469804e+00, 7.735331753390045e-01, 1.189198444610930e-01, 3.363604039235711e+00
4, 9.937800168990000e-01, -9.389556853234842e-04, 1.157918142375833e+00, 7.819758810963559e-01, 1.277523063832025e-01, 3.342805239281303e+00
5, 9.910500049590000e-01, -1.399629529801212e-03, 1.152237044253112e+00, 7.898137692046553e-01, 1.403554902802033e-01, 3.329112672904483e+00
6, 9.878399968150000e-01, -1.994539246500995e-03, 1.144646261047096e+00, 7.968755607792672e-01, 1.559582420135346e-01, 3.310211044531670e+00
7, 9.841300249100000e-01, -2.753953813702418e-03, 1.134015208425620e+00, 8.069176542047818e-01, 1.730914470766596e-01, 3.283741789157329e+00
8, 9.799500107769999e-01, -3.687015664157190e-03, 1.119132790149953e+00, 8.211737969445516e-01, 1.890607956887449e-01, 3.246615096013524e+00
9, 9.752799868580000e-01, -4.791519116215076e-03, 1.100103712055488e+00, 8.396577433238176e-01, 2.005461224071121e-01, 3.199088160739048e+00
10, 9.701499938960000e-01, -6.027678155077426e-03, 1.078052475295470e+00, 8.609292904325777e-01, 2.048750923135320e-01, 3.143908943678253e+00
11, 9.645400047300000e-01, -7.347309532886958e-03, 1.055374306455098e+00, 8.822350494300049e-01, 2.009006111005901e-01, 3.086995130950648e+00
12, 9.584699869160000e-01, -8.687423470633872e-03, 1.035743525651537e+00, 9.006256286420096e-01, 1.897643549603203e-01, 3.037658665454189e+00
13, 9.519400000570000e-01, -1.000216598292394e-02, 1.021982545711519e+00, 9.140885498771997e-01, 1.746216085624697e-01, 3.003069562777470e+00
14, 9.449599981310000e-01, -1.126828500053113e-02, 1.014720722567281e+00, 9.221938032491073e-01, 1.592884798080254e-01, 2.984832027188034e+00
15, 9.375399947170000e-01, -1.248944680367398e-02, 1.012431644526918e+00, 9.258674048222296e-01, 1.467394335731369e-01, 2.979071634057820e+00
16, 9.296900033950000e-01, -1.368840516736609e-02, 1.012640539426840e+00, 9.268658823644629e-01, 1.382881297432855e-01, 2.979556290525906e+00
17, 9.214000105860000e-01, -1.489752791015345e-02, 1.013115473114466e+00, 9.269362138483666e-01, 1.337088315414667e-01, 2.980680285276550e+00
18, 9.126999974250000e-01, -1.613918205167808e-02, 1.012466995850328e+00, 9.272979986365313e-01, 1.318584946242270e-01, 2.978956100700572e+00
19, 9.035800099370001e-01, -1.743146895524881e-02, 1.010224875785753e+00, 9.284836091242409e-01, 1.314111336695272e-01, 2.973202487006016e+00
20, 8.940600156780000e-01, -1.877735585343528e-02, 1.006554509488963e+00, 9.305389615336508e-01, 1.313021760542838e-01, 2.963843658302878e+00
21, 8.841500282290000e-01, -2.017310470014081e-02, 1.001890699112722e+00, 9.332090054064254e-01, 1.308971572757160e-01, 2.951969510273992e+00
22, 8.738499879840000e-01, -2.161212829806676e-02, 9.966923948510235e-01, 9.361764900303634e-01, 1.299545212604900e-01, 2.938730458119442e+00
23, 8.631799817090000e-01, -2.308404338033392e-02, 9.913331796240251e-01, 9.392032727210158e-01, 1.284933582122056e-01, 2.925073146198149e+00
24, 8.521599769590000e-01, -2.457956084138358e-02, 9.860189642690133e-01, 9.421195808492041e-01, 1.266423747026310e-01, 2.911511368800660e+00
25, 8.407700061800000e-01, -2.609645557907230e-02, 9.808333980987303e-01, 9.448722009300000e-01, 1.245554472024536e-01, 2.898260310205975e+00
26, 8.290500044819999e-01, -2.762597595855602e-02, 9.757706518307111e-01, 9.474521934909983e-01, 1.223399011762246e-01, 2.885304356610058e+00
27, 8.170099854470000e-01, -2.916447168414864e-02, 9.707887390208524e-01, 9.498929026049818e-01, 1.200586888947738e-01, 2.872541039746103e+00
28, 8.046399950980000e-01, -3.071120137135276e-02, 9.658362232978619e-01, 9.522046940141934e-01, 1.177300506112085e-01, 2.859835075856766e+00
29, 7.919700145720000e-01, -3.226039954183361e-02, 9.608912027469012e-01, 9.544134538374502e-01, 1.153445402226061e-01, 2.847134176903814e+00
30, 7.790099978450000e-01, -3.380868521042432e-02, 9.559427200810247e-01, 9.565458816917571e-01, 1.128877527733370e-01, 2.834415818171522e+00
31, 7.657799720760000e-01, -3.535124452794411e-02, 9.509608751974938e-01, 9.585915750137927e-01, 1.103364246875586e-01, 2.821596215743016e+00
32, 7.522799968720000e-01, -3.688537899339792e-02, 9.459181621700834e-01, 9.605555399437627e-01, 1.076762355198135e-01, 2.808602966576355e+00
33, 7.385200262070000e-01, -3.840702655156313e-02, 9.408319092459896e-01, 9.624437508694363e-01, 1.048995693330144e-01, 2.795484142520825e+00
34, 7.245299816130000e-01, -3.990993460719250e-02, 9.357484864177681e-01, 9.642408298289260e-01, 1.020016586361001e-01, 2.782359009390551e+00
35, 7.103199958800001e-01, -4.139015045376570e-02, 9.306994367364283e-01, 9.659252242363783e-01, 9.898345808687001e-02, 2.769305179591028e+00
36, 6.958900094030001e-01, -4.284482378673413e-02, 9.257251995340733e-01, 9.675219748767355e-01, 9.585588008851798e-02, 2.756437729731422e+00
37, 6.812700033190000e-01, -4.426823764538151e-02, 9.208151829480565e-01, 9.689872399684442e-01, 9.262213616910910e-02, 2.743714899015608e+00
38, 6.664699912070000e-01, -4.565698149021053e-02, 9.159988205965129e-01, 9.703505736368293e-01, 8.929795613349446e-02, 2.731223633257726e+00
39, 6.514999866490000e-01, -4.700786774909495e-02, 9.112859848339310e-01, 9.716080967196351e-01, 8.589556091430839e-02, 2.718988604085068e+00
40, 6.363800168040000e-01, -4.831710262132195e-02, 9.066895896519895e-01, 9.727486999434842e-01, 8.242695190936301e-02, 2.707040204119151e+00
41, 6.211299896240000e-01, -4.958130350327545e-02, 9.022388877604608e-01, 9.737967690310906e-01, 7.890700835526905e-02, 2.695462979442765e+00
42, 6.057599782940000e-01, -5.079825239649656e-02, 8.979251571058333e-01, 9.747311268481046e-01, 7.534604670156655e-02, 2.684226505618224e+00
43, 5.902799963950000e-01, -5.196598679341673e-02, 8.937452949363884e-01, 9.755862997400155e-01, 7.175771416517573e-02, 2.673332597112882e+00
44, 5.747100114820000e-01, -5.308208381553909e-02, 8.896616958539949e-01, 9.763383181608751e-01, 6.814838814384533e-02, 2.662673464857168e+00
