"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Velocity:0","Velocity:1","Velocity:2","Y_Plus","Points:0","Points:1","Points:2"
0.96162,0,2.763,-0,6.0688e-08,0,0,0,0,0,1.1052,0.18334,0.00031106,0.00019077,-3.4665e-05,1.134,0,0,0,5.2933,0.97945,0.65,0.0011668
0.97277,0,2.7943,-0,6.0676e-08,0,0,0,0,0,1.1177,0.20837,7.818e-06,2.7914e-05,-0.00012821,1.1337,0,0,0,3.2031,0.98802,0.65,0
0.96103,0,2.7595,-0,6.0658e-08,0,0,0,0,0,1.1038,0.18055,0.00057215,0.00017703,7.0314e-05,1.1332,0,0,0,6.7907,0.97945,0.65,-0.0011668
0.77044,0,2.2021,-0,6.0449e-08,0,0,0,0,0,0.88083,-0.26537,0.0012539,-4.9927e-05,5.3571e-05,1.128,0,0,0,9.144,0.68253,0.65,-0.028389
0.76602,0,2.1892,-0,6.0443e-08,0,0,0,0,0,0.87567,-0.27569,0.0012925,-6.2743e-05,4.0116e-05,1.1279,0,0,0,9.25,0.66092,0.65,-0.029187
0.76549,0,2.1875,-0,6.0441e-08,0,0,0,0,0,0.87502,-0.27699,0.0013247,-7.2031e-05,2.4957e-05,1.1278,0,0,0,9.3485,0.63937,0.65,-0.029729
0.7686,0,2.1965,-0,6.0443e-08,0,0,0,0,0,0.87861,-0.26981,0.0013489,-7.7122e-05,9.0035e-06,1.1279,0,0,0,9.4335,0.618,0.65,-0.030009
0.77457,0,2.2138,-0,6.0448e-08,0,0,0,0,0,0.88553,-0.25596,0.0013645,-7.8156e-05,-6.825e-06,1.128,0,0,0,9.5017,0.59695,0.65,-0.030039
0.78237,0,2.2365,-0,6.0456e-08,0,0,0,0,0,0.89461,-0.23781,0.0013725,-7.5929e-05,-2.1857e-05,1.1282,0,0,0,9.5482,0.57634,0.65,-0.02984
0.79104,0,2.2618,-0,6.0466e-08,0,0,0,0,0,0.90473,-0.21758,0.0013754,-7.1553e-05,-3.5829e-05,1.1285,0,0,0,9.5783,0.5563,0.65,-0.02944
1.2132,0,3.4997,-0,6.0871e-08,0,0,0,0,0,1.3999,0.77273,0.00045932,0.00079881,0.00058936,1.1385,0,0,0,9.246,0.37375,0.65,0
1.1078,0,3.1916,-0,6.0813e-08,0,0,0,0,0,1.2766,0.52621,0.00082019,0.00068294,0.0013099,1.1371,0,0,0,9.8291,0.37425,0.65,0.0030624
0.95569,0,2.7473,-0,6.0711e-08,0,0,0,0,0,1.0989,0.17083,0.0014022,0.00036398,0.0017922,1.1346,0,0,0,10.607,0.37573,0.65,0.0060798
0.79088,0,2.2672,-0,6.0583e-08,0,0,0,0,0,0.90686,-0.21331,0.0020442,-3.5829e-05,0.0019404,1.1314,0,0,0,10.729,0.37821,0.65,0.0090157
0.63021,0,1.8014,-0,6.0452e-08,0,0,0,0,0,0.72057,-0.5859,0.0025997,-0.00041798,0.0017451,1.1281,0,0,0,10.306,0.38179,0.65,0.01177
