"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633283710091826e-05, 1.319928803629559e+00, 6.959523803882123e-01, 1.012610986655620e-01, 3.775758700175527e+00
1, 9.990000128750000e-01, -1.454981659412176e-04, 1.188664032229774e+00, 6.954917423398275e-01, 1.018615325359219e-01, 3.411438380322048e+00
2, 9.977599978450000e-01, -3.277906685153931e-04, 1.182204260323029e+00, 7.446970817728755e-01, 1.114443514727650e-01, 3.402356455727077e+00
3, 9.960200190539999e-01, -5.914559746969127e-04, 1.171251730614596e+00, 7.614600059518291e-01, 1.195427507853140e-01, 3.375418384384511e+00
4, 9.937800168990000e-01, -9.526138590167406e-04, 1.165063646890030e+00, 7.668407067433222e-01, 1.305129354275582e-01, 3.359697420283926e+00
5, 9.910500049590000e-01, -1.437330643256861e-03, 1.160941046667147e+00, 7.720447090235684e-01, 1.465412855766673e-01, 3.349866962054020e+00
6, 9.878399968150000e-01, -2.080085065394796e-03, 1.154106189650940e+00, 7.773513754625400e-01, 1.667005561071200e-01, 3.332841935397699e+00
7, 9.841300249100000e-01, -2.921298587266797e-03, 1.143152185783820e+00, 7.869678119119750e-01, 1.890492403510478e-01, 3.305574582053774e+00
8, 9.799500107769999e-01, -3.975455936079285e-03, 1.126632513654013e+00, 8.025225131918494e-01, 2.102002879390404e-01, 3.264394856354511e+00
9, 9.752799868580000e-01, -5.239340157718228e-03, 1.104561866962002e+00, 8.240750465905273e-01, 2.258672197248010e-01, 3.209316560690060e+00
10, 9.701499938960000e-01, -6.661500824012229e-03, 1.078148761188635e+00, 8.498549867099590e-01, 2.324383229608076e-01, 3.143261425093112e+00
11, 9.645400047300000e-01, -8.176762981023208e-03, 1.050100618425007e+00, 8.762915105656797e-01, 2.281058278766784e-01, 3.072849000456842e+00
12, 9.584699869160000e-01, -9.701901911611955e-03, 1.025379273119982e+00, 8.993077907766076e-01, 2.140578080105189e-01, 3.010651862584009e+00
13, 9.519400000570000e-01, -1.117588008963351e-02, 1.008437894572814e+00, 9.160269572659666e-01, 1.943746323477889e-01, 2.968037693679442e+00
14, 9.449599981310000e-01, -1.256862879369506e-02, 1.000512830710180e+00, 9.257187133821296e-01, 1.742484042858162e-01, 2.948162147480839e+00
15, 9.375399947170000e-01, -1.388639886378133e-02, 9.995223713346593e-01, 9.294948471235093e-01, 1.578106481834337e-01, 2.945715715196547e+00
16, 9.296900033950000e-01, -1.516118514245078e-02, 1.001944684920535e+00, 9.296606128000744e-01, 1.469194114800955e-01, 2.951810288606797e+00
17, 9.214000105860000e-01, -1.643708987636760e-02, 1.004623425530584e+00, 9.285760522858362e-01, 1.412953010193219e-01, 2.958510529119108e+00
18, 9.126999974250000e-01, -1.774644243176141e-02, 1.005609170132316e+00, 9.279032975881706e-01, 1.393950668398458e-01, 2.960914178171045e+00
19, 9.035800099370001e-01, -1.911411472153193e-02, 1.004295682930226e+00, 9.283730052616502e-01, 1.394240747388787e-01, 2.957498873847821e+00
20, 8.940600156780000e-01, -2.054581530612952e-02, 1.000935491660893e+00, 9.300572139997361e-01, 1.399466145199812e-01, 2.948911473148462e+00
21, 8.841500282290000e-01, -2.203776298670260e-02, 9.961304480106074e-01, 9.326363361740635e-01, 1.401068138738902e-01, 2.936665553442424e+00
22, 8.738499879840000e-01, -2.358189966042915e-02, 9.905012432671820e-01, 9.356924521740291e-01, 1.395717552173323e-01, 2.922317933469847e+00
23, 8.631799817090000e-01, -2.516574183593368e-02, 9.845397797158497e-01, 9.389024802785332e-01, 1.383551103083543e-01, 2.907112167288710e+00
24, 8.521599769590000e-01, -2.677810366562366e-02, 9.785215835328211e-01, 9.420438243598701e-01, 1.366176441894631e-01, 2.891737381172617e+00
25, 8.407700061800000e-01, -2.841569474040277e-02, 9.725553600924551e-01, 9.450363391882278e-01, 1.345491484194822e-01, 2.876471127295413e+00
26, 8.290500044819999e-01, -3.006837620630605e-02, 9.666280022245143e-01, 9.478662098807347e-01, 1.322799997440585e-01, 2.861278759866413e+00
27, 8.170099854470000e-01, -3.173153773988636e-02, 9.606791263049594e-01, 9.505684995723142e-01, 1.298789338170036e-01, 2.846010314219142e+00
28, 8.046399950980000e-01, -3.340358665635081e-02, 9.546428270092592e-01, 9.531511241584356e-01, 1.273558861513459e-01, 2.830491914100548e+00
29, 7.919700145720000e-01, -3.507726917655142e-02, 9.484968361763756e-01, 9.556384530186739e-01, 1.246864142935516e-01, 2.814670493183949e+00
30, 7.790099978450000e-01, -3.674764679304323e-02, 9.422367275325767e-01, 9.580506764932517e-01, 1.218403868644625e-01, 2.798539776566919e+00
31, 7.657799720760000e-01, -3.840799581555276e-02, 9.358283886881641e-01, 9.603621664770838e-01, 1.187801670433362e-01, 2.782001000429482e+00
32, 7.522799968720000e-01, -4.005368496433896e-02, 9.292439697279752e-01, 9.625725856348514e-01, 1.154842090246997e-01, 2.764980422172912e+00
33, 7.385200262070000e-01, -4.167849544718451e-02, 9.225242039782965e-01, 9.646762280940283e-01, 1.119430999720614e-01, 2.747586146863172e+00
34, 7.245299816130000e-01, -4.327385629425969e-02, 9.157602226126971e-01, 9.666352071713881e-01, 1.081545775543848e-01, 2.730050441997406e+00
35, 7.103199958800001e-01, -4.483373161529640e-02, 9.090382167385095e-01, 9.684263923610571e-01, 1.041302747697559e-01, 2.712596038025548e+00
36, 6.958900094030001e-01, -4.635337601733804e-02, 9.024310884281053e-01, 9.700598801675561e-01, 9.989577005754763e-02, 2.695419845556756e+00
37, 6.812700033190000e-01, -4.782527001037555e-02, 8.959661471471159e-01, 9.714919908280508e-01, 9.547300056743421e-02, 2.678580414809226e+00
38, 6.664699912070000e-01, -4.924461695441105e-02, 8.897090694155015e-01, 9.727563916003049e-01, 9.090126990209976e-02, 2.662261762572924e+00
39, 6.514999866490000e-01, -5.060719192183971e-02, 8.837002772512319e-01, 9.738431851643479e-01, 8.621711602319017e-02, 2.646566843273803e+00
40, 6.363800168040000e-01, -5.190856824940362e-02, 8.780043235431584e-01, 9.747554865798007e-01, 8.146013538407156e-02, 2.631665984286462e+00
41, 6.211299896240000e-01, -5.314520694543384e-02, 8.727297435588484e-01, 9.755114279847624e-01, 7.667159215234938e-02, 2.617849798305134e+00
42, 6.057599782940000e-01, -5.431519008588778e-02, 8.680069052140830e-01, 9.761140831221925e-01, 7.189058399650994e-02, 2.605460757157585e+00
43, 5.902799963950000e-01, -5.541730204975531e-02, 8.639642600161727e-01, 9.765978025431326e-01, 6.715651003168080e-02, 2.594845485505548e+00
44, 5.747100114820000e-01, -5.645036528520056e-02, 8.606326861549352e-01, 9.769696997999610e-01, 6.250207639966301e-02, 2.586084163497829e+00
45, 5.590599775310000e-01, -5.741461681257365e-02, 8.579775073191429e-01, 9.772636319125002e-01, 5.796226113624494e-02, 2.579093395303163e+00
46, 5.433599948880000e-01, -5.830975899341719e-02, 8.559662362706938e-01, 9.774823768855734e-01, 5.355939628568597e-02, 2.573785946143660e+00
47, 5.276100039480000e-01, -5.913786179185723e-02, 8.547244967702580e-01, 9.776615306053011e-01, 4.931946944450856e-02, 2.570502216934622e+00
48, 5.118399858470000e-01, -5.989982884287291e-02, 8.545007454875585e-01, 9.778021040504284e-01, 4.525251586672029e-02, 2.569894826281043e+00
49, 4.960500001910000e-01, -6.059845342369295e-02, 8.555227148917437e-01, 9.779308455866280e-01, 4.137179087957924e-02, 2.572571362276177e+00
50, 4.802699983120000e-01, -6.123541093261203e-02, 8.577854637649400e-01, 9.780416878664820e-01, 3.767649640032547e-02, 2.578517812971289e+00
51, 4.645099937920000e-01, -6.181344962712717e-02, 8.609082087045347e-01, 9.781251250574875e-01, 3.416357758991653e-02, 2.586730515652452e+00
52, 4.487800002100000e-01, -6.233528145623318e-02, 8.641560099695619e-01, 9.781333152140237e-01, 3.082264519662791e-02, 2.595258747063289e+00
53, 4.331099987030000e-01, -6.280291690398027e-02, 8.670393293258438e-01, 9.780305438941065e-01, 2.763533275848100e-02, 2.602799454720008e+00
54, 4.174999892710000e-01, -6.321913269828781e-02, 8.705465059438244e-01, 9.778101631974152e-01, 2.458293099799677e-02, 2.611957430689992e+00
55, 4.019699990750000e-01, -6.358580144634338e-02, 8.778046584647704e-01, 9.774596006152551e-01, 2.163815352773490e-02, 2.630993731762255e+00
56, 3.865399956700000e-01, -6.390449820529642e-02, 8.917067183643160e-01, 9.768922068526179e-01, 1.876934202271942e-02, 2.667576279878638e+00
57, 3.712300062180000e-01, -6.417641874849986e-02, 9.054567968943548e-01, 9.760483943689365e-01, 1.593968370597089e-02, 2.703753719153274e+00
58, 3.560400009160000e-01, -6.440258853792473e-02, 8.975119397062963e-01, 9.757839977208554e-01, 1.312288990357308e-02, 2.682584760775840e+00
59, 3.409900069240000e-01, -6.458310320156137e-02, 8.426461038029951e-01, 9.746307580768176e-01, 1.025346227038320e-02, 2.537338943859492e+00
60, 3.261100053790000e-01, -6.471746273766467e-02, 7.743126517338594e-01, 9.694440590727590e-01, 7.266193689726427e-03, 2.356980704696195e+00
61, 3.113999962810000e-01, -6.480488675534243e-02, 7.481769851220067e-01, 9.654949637272544e-01, 4.171429693120907e-03, 2.287869165041954e+00
62, 2.968699932100000e-01, -6.484379447379110e-02, 7.473552853131790e-01, 9.649223118644126e-01, 9.064979179253914e-04, 2.285533177024938e+00
63, 2.825500071050000e-01, -6.483198992706794e-02, 7.507403252478009e-01, 9.650757465754064e-01, -2.614641349181243e-03, 2.294334076431288e+00
64, 2.684499919410000e-01, -6.476679729432058e-02, 7.503220517161252e-01, 9.649331934116996e-01, -6.454677960475792e-03, 2.293207582562236e+00
65, 2.545700073240000e-01, -6.464482475423149e-02, 7.477801683134228e-01, 9.642902040212110e-01, -1.067036477048678e-02, 2.286418856674994e+00
66, 2.409400045870000e-01, -6.446238520066397e-02, 7.455466821865343e-01, 9.636601325160975e-01, -1.533296767644628e-02, 2.280443084885158e+00
67, 2.275699973110000e-01, -6.421522279517550e-02, 7.438680338223230e-01, 9.629886755290288e-01, -2.051028691477383e-02, 2.275898107044598e+00
68, 2.144699990750000e-01, -6.389861179243722e-02, 7.426198534334626e-01, 9.624357788891691e-01, -2.627954681483149e-02, 2.272524823806526e+00
69, 2.016600072380000e-01, -6.350774411240968e-02, 7.419849466137944e-01, 9.619991149644129e-01, -3.272621984959601e-02, 2.270798406030398e+00
70, 1.891400069000000e-01, -6.303691152700790e-02, 7.424880178110332e-01, 9.619185504000475e-01, -3.994479002855798e-02, 2.272167321712930e+00
71, 1.769299954180000e-01, -6.248080152029226e-02, 7.442842697464258e-01, 9.621421787541424e-01, -4.803872875570909e-02, 2.277021669351015e+00
72, 1.650400012730000e-01, -6.183362405152727e-02, 7.470322934077555e-01, 9.625082987454283e-01, -5.710423186317265e-02, 2.284432940066726e+00
73, 1.534900069240000e-01, -6.109014074409307e-02, 7.502409591891742e-01, 9.628201515033186e-01, -6.724657281337700e-02, 2.293075564130860e+00
74, 1.422899961470000e-01, -6.024468776490968e-02, 7.540142457323675e-01, 9.631013997649355e-01, -7.859494187138427e-02, 2.303244851769136e+00
75, 1.314399987460000e-01, -5.929072573811713e-02, 7.589697589939572e-01, 9.634135681097667e-01, -9.129956948975780e-02, 2.316583893221521e+00
76, 1.209499984980000e-01, -5.822236561504752e-02, 7.655973609320571e-01, 9.637887641094371e-01, -1.055233702945216e-01, 2.334405227108098e+00
77, 1.108499988910000e-01, -5.703636642207866e-02, 7.739728003890198e-01, 9.641173064674747e-01, -1.214620459046942e-01, 2.356910709968788e+00
78, 1.011300012470000e-01, -5.572538998792959e-02, 7.837844213608702e-01, 9.638508207856910e-01, -1.392335200639827e-01, 2.383148653239548e+00
79, 9.181000292300000e-02, -5.428593492017084e-02, 7.951061701466368e-01, 9.629220699233716e-01, -1.590677639789308e-01, 2.413356338893004e+00
80, 8.290000259900000e-02, -5.271392601503816e-02, 8.081447369959561e-01, 9.610650777086437e-01, -1.811805057909265e-01, 2.448062633805129e+00
81, 7.440000027400000e-02, -5.100379184897764e-02, 8.231163438705061e-01, 9.577827596404772e-01, -2.057443863402464e-01, 2.487763988954447e+00
82, 6.633000075800000e-02, -4.915447077728362e-02, 8.403317784385336e-01, 9.526376382922048e-01, -2.329954022153305e-01, 2.533261237472139e+00
83, 5.869000032500000e-02, -4.716145179249824e-02, 8.599836756563694e-01, 9.448390619901436e-01, -2.630385213725590e-01, 2.584961019060573e+00
84, 5.149000138000000e-02, -4.502308835397783e-02, 8.823790365317116e-01, 9.334854416175907e-01, -2.959374605390636e-01, 2.643585519763068e+00
85, 4.473999887700000e-02, -4.273896396463923e-02, 9.079293433277946e-01, 9.173773560143218e-01, -3.315894100283468e-01, 2.710097927567691e+00
86, 3.844000026600000e-02, -4.030611758737765e-02, 9.369558309298874e-01, 8.949662900699547e-01, -3.695594993533501e-01, 2.785181407567503e+00
87, 3.260000050100000e-02, -3.772597993187263e-02, 9.696909442035568e-01, 8.644565765902827e-01, -4.090161229111998e-01, 2.869287057791366e+00
88, 2.723000012300000e-02, -3.500212555297267e-02, 1.006211784516079e+00, 8.235825587417298e-01, -4.484446116097856e-01, 2.962390334097581e+00
89, 2.232000045500000e-02, -3.212847112228802e-02, 1.046625673687765e+00, 7.700736587316794e-01, -4.851510912456227e-01, 3.064575463550817e+00
90, 1.789999939500000e-02, -2.912416831708074e-02, 1.090574879483708e+00, 7.015681264135187e-01, -5.154630943140179e-01, 3.174723580158131e+00
91, 1.394999958600000e-02, -2.597878104243576e-02, 1.137307994397816e+00, 6.167287193649316e-01, -5.336506480905576e-01, 3.290780561137145e+00
92, 1.049000024800000e-02, -2.271235267921166e-02, 1.185333968464483e+00, 5.153638214154259e-01, -5.325255703599078e-01, 3.408854894990762e+00
93, 7.519999985000000e-03, -1.933466078670605e-02, 1.232866290769198e+00, 4.007843541976482e-01, -5.040246994719150e-01, 3.524758509393704e+00
94, 5.040000193000000e-03, -1.585845578659834e-02, 1.276521044626315e+00, 2.797329460239897e-01, -4.402245747288229e-01, 3.630261760465185e+00
95, 3.049999941000000e-03, -1.230008049726475e-02, 1.313584818537661e+00, 1.632038664058337e-01, -3.353484739545372e-01, 3.719464111880658e+00
96, 1.560000004000000e-03, -8.707811758100380e-03, 1.337392814069960e+00, 6.587726538908768e-02, -1.904992037842817e-01, 3.775816149561102e+00
97, 5.600000150000000e-04, -5.099675311586070e-03, 1.350838124695244e+00, 2.006480477795473e-03, -9.534468554173278e-03, 3.809402275803584e+00
98, 5.999999800000000e-05, -1.580055945507480e-03, 1.338049684750915e+00, -2.040019545233113e-02, 1.857756612734912e-01, 3.777057740268680e+00
99, 0.000000000000000e+00, 0.000000000000000e+00, 1.311832890996590e+00, 0.000000000000000e+00, 3.167754800979403e-01, 3.710324292439313e+00
100, 5.999999800000000e-05, 1.407913328622218e-03, 1.300785465125237e+00, 5.673547763821416e-02, 4.310082094381377e-01, 3.688997932799385e+00
101, 5.600000150000000e-04, 4.254209425883318e-03, 1.257757893801311e+00, 1.579557259900744e-01, 5.860913616538104e-01, 3.588753201794507e+00
102, 1.560000004000000e-03, 6.973631446701108e-03, 1.171605254662056e+00, 3.228988057084144e-01, 6.871059009544315e-01, 3.374231150729646e+00
103, 3.049999941000000e-03, 9.552753775643715e-03, 1.091315075744587e+00, 4.911916023138276e-01, 7.113724626329739e-01, 3.175358642604838e+00
104, 5.040000193000000e-03, 1.201357165078967e-02, 1.013564325494043e+00, 6.331663392484549e-01, 6.790654236187080e-01, 2.979771964563646e+00
105, 7.519999985000000e-03, 1.434679016907776e-02, 9.437292140421212e-01, 7.380411267704290e-01, 6.157909003482511e-01, 2.801192419107288e+00
106, 1.049000024800000e-02, 1.656082561677413e-02, 8.859584723250854e-01, 8.086693957278980e-01, 5.428757583860812e-01, 2.651389281606643e+00
107, 1.394999958600000e-02, 1.866337606716660e-02, 8.403209794085179e-01, 8.540662899134962e-01, 4.726982287840605e-01, 2.531714335524029e+00
108, 1.789999939500000e-02, 2.066202187454128e-02, 8.054860395319716e-01, 8.826905807346875e-01, 4.105519598072687e-01, 2.439566503609799e+00
