"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      
          0,           0,           0,      -4.122450353,       4.744136982,        2.71098275,       1.005473477
          0,           0,           1,      -4.268303791,       3.279873225,       2.568975878,      0.8994719497
          0,           0,           2,      -4.645075585,       2.647370719,       2.658729781,      0.8931932557
          0,           0,           3,      -4.836330722,       2.330558251,       2.743282781,      0.8998572941
          0,           0,           4,       -4.95960396,       2.144427575,        2.79846955,      0.9046982943
          0,           0,           5,      -5.030359618,       2.020655317,        2.83386219,      0.9072271084
          0,           0,           6,      -5.064023414,        1.93124564,       2.858591934,      0.9089456776
          0,           0,           7,      -5.076980875,        1.86271273,       2.877014375,      0.9104124507
          0,           0,           8,      -5.075110312,       1.807662432,       2.891097598,      0.9116621348
          0,           0,           9,      -5.061240416,         1.7616883,       2.901961384,      0.9126593544
          0,           0,          10,       -5.03870553,       1.721933984,       2.910293616,      0.9133777746
          0,           0,          11,      -5.011302271,       1.686397598,       2.916485182,      0.9137748523
          0,           0,          12,      -4.982494087,       1.653606718,       2.920720434,      0.9137658244
          0,           0,          13,      -4.954749927,       1.622455556,        2.92297819,      0.9131998693
          0,           0,          14,       -4.92942733,       1.592086706,       2.923057732,      0.9118625814
          0,           0,          15,      -4.907120012,       1.561831588,       2.920611404,      0.9094891663
          0,           0,          16,        -4.8879284,       1.531154206,       2.915219047,       0.905761928
          0,           0,          17,      -4.871639457,       1.499605535,       2.906428481,      0.9003303586
          0,           0,          18,      -4.857892637,       1.466834589,       2.893791886,      0.8928281053
          0,           0,          19,      -4.846382058,       1.432580339,       2.876919448,      0.8828892773
          0,           0,          20,      -4.836639477,        1.39665051,       2.855494716,      0.8701998743
          0,           0,          21,      -4.828256003,        1.35890727,       2.829276439,      0.8544828797
          0,           0,          22,      -4.820854525,       1.319259485,       2.798110214,      0.8355261491
          0,           0,          23,      -4.814107306,       1.277664818,       2.761968248,      0.8132071065
          0,           0,          24,      -4.807751137,       1.234121985,       2.720905666,      0.7874706166
          0,           0,          25,      -4.801588862,       1.188674657,       2.675072171,      0.7583450646
          0,           0,          26,      -4.795486978,       1.141422119,       2.624684417,      0.7259414164
          0,           0,          27,      -4.789392928,        1.09249788,       2.570019014,      0.6904364672
          0,           0,          28,      -4.783308708,       1.042070535,       2.511400631,      0.6520592756
          0,           0,          29,      -4.777291621,       0.990346483,       2.449173983,      0.6110776393
          0,           0,          30,      -4.771428916,      0.9375552328,       2.383688506,      0.5677851073
          0,           0,          31,        -4.7658338,      0.8839469513,       2.315276956,      0.5224959803
          0,           0,          32,      -4.760652534,      0.8297885134,        2.24425848,      0.4755331677
          0,           0,          33,      -4.756014675,      0.7753600957,        2.17096035,      0.4272191862
          0,           0,          34,      -4.752097711,      0.7209461578,       2.095671836,      0.3778608053
          0,           0,          35,      -4.749028486,      0.6668369263,       2.018660811,      0.3277434042
          0,           0,          36,      -4.746904024,      0.6133311313,       1.940187776,      0.2771388424
          0,           0,          37,      -4.745769681,        0.56073135,       1.860504053,      0.2263112779
          0,           0,          38,      -4.745581215,      0.5093370882,       1.779844967,      0.1755130369
          0,           0,          39,      -4.746182019,      0.4594417204,       1.698432661,      0.1249852171
          0,           0,          40,      -4.747365835,      0.4113255738,       1.616473893,     0.07496265579
          0,           0,          41,      -4.748947417,      0.3652504773,       1.534162167,     0.02567389186
          0,           0,          42,      -4.750721685,       0.321452355,       1.451682244,    -0.02265138057
          0,           0,          43,      -4.752586117,      0.2801279273,       1.369207397,    -0.06978437815
          0,           0,          44,      -4.754540421,      0.2414340741,       1.286922069,     -0.1154971434
          0,           0,          45,      -4.756667759,       0.205471833,       1.204980403,     -0.1595760754
          0,           0,          46,      -4.758977881,      0.1723232194,       1.123542231,     -0.2018205558
          0,           0,          47,      -4.761567068,      0.1420231538,       1.042761134,     -0.2420454202
          0,           0,          48,      -4.764426591,      0.1145184135,      0.9627854875,     -0.2800963441
          0,           0,          49,      -4.767555146,     0.08972026163,      0.8837419267,      -0.315856986
          0,           0,          50,       -4.77089356,     0.06753670201,       0.805790918,     -0.3492198588
          0,           0,          51,      -4.774388824,     0.04783137124,      0.7291364331,     -0.3800983899
          0,           0,          52,      -4.777991148,     0.03046344121,      0.6539557293,      -0.408421544
          0,           0,          53,      -4.781642601,     0.01526320006,      0.5804301185,     -0.4341605265
          0,           0,          54,      -4.785342144,     0.00205298604,      0.5087492825,     -0.4572895604
          0,           0,          55,      -4.788975041,   -0.009369685149,      0.4390635969,     -0.4778292054
          0,           0,          56,      -4.792472407,    -0.01923453404,      0.3714491109,     -0.4958409117
          0,           0,          57,      -4.795711996,    -0.02775632371,      0.3059495138,      -0.511367506
          0,           0,          58,      -4.798601854,    -0.03512781498,      0.2426846169,     -0.5244648247
          0,           0,          59,      -4.801050105,    -0.04154620678,      0.1817083526,     -0.5352035023
          0,           0,          60,      -4.802972806,    -0.04720739398,      0.1230318991,     -0.5436623266
          0,           0,          61,      -4.804349386,    -0.05223593763,     0.06694195443,     -0.5498834954
          0,           0,          62,      -4.805231282,     -0.0567720187,     0.01356312961,     -0.5539370888
          0,           0,          63,      -4.805682695,    -0.06094522692,     -0.0369702902,     -0.5558749589
          0,           0,          64,      -4.805856683,    -0.06487927775,    -0.08453085905,     -0.5557763057
          0,           0,          65,       -4.80590875,    -0.06867063311,     -0.1289686277,     -0.5537192426
          0,           0,          66,      -4.805990912,    -0.07237615797,     -0.1700854457,     -0.5497587601
          0,           0,          67,      -4.806255278,    -0.07603803033,     -0.2077022944,     -0.5439684418
          0,           0,          68,      -4.806860482,     -0.0796888528,     -0.2416477085,     -0.5364216258
          0,           0,          69,      -4.807946407,    -0.08334057553,     -0.2717436791,     -0.5271822139
          0,           0,          70,      -4.809606581,    -0.08696428599,     -0.2978069058,      -0.516316893
          0,           0,          71,      -4.811941784,    -0.09052499449,     -0.3196949151,     -0.5039038088
          0,           0,          72,      -4.815026451,    -0.09397049228,     -0.3372894105,     -0.4900256223
          0,           0,          73,        -4.8189087,    -0.09722810673,     -0.3504851914,     -0.4747591669
          0,           0,          74,      -4.823634435,     -0.1002225424,     -0.3592204326,     -0.4582008188
          0,           0,          75,      -4.829226389,     -0.1028764971,     -0.3634586153,     -0.4404507863
          0,           0,          76,      -4.835692722,     -0.1051048355,     -0.3632001323,     -0.4216178532
          0,           0,          77,      -4.842995455,     -0.1068266993,     -0.3584979524,     -0.4018273788
