"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,      -9.148794289,       -9.08864401,      -9.461742289,      -9.112647308,      -8.575712856
          0,           0,          64,      -9.207708106,      -9.143397676,      -9.505726629,      -9.163918412,      -8.631715354
          0,           0,          65,      -9.263909068,      -9.196302615,      -9.551828573,      -9.213966867,      -8.685420646
          0,           0,          66,      -9.327937131,      -9.255469305,      -9.589866315,      -9.273151333,      -8.753419535
          0,           0,          67,      -9.384443411,      -9.310553425,      -9.645666745,      -9.329029803,      -8.809860917
          0,           0,          68,       -9.43524068,      -9.360852835,      -9.712252745,      -9.382527725,      -8.858490583
          0,           0,          69,      -9.483240633,      -9.410693326,      -9.784044335,      -9.436401978,      -8.905551249
          0,           0,          70,      -9.530555916,      -9.462007907,      -9.860556247,      -9.491285413,      -8.952362137
          0,           0,          71,      -9.586685859,      -9.521138498,      -9.923020781,      -9.553239857,      -9.013430254
          0,           0,          72,      -9.639296423,      -9.579399565,      -9.997002964,      -9.613076196,      -9.065481297
          0,           0,          73,      -9.691921626,      -9.637490021,       -10.0653962,      -9.671186518,      -9.114702223
          0,           0,          74,      -9.753293165,      -9.703770191,      -10.10995493,       -9.73725663,      -9.181028303
          0,           0,          75,      -9.812199993,      -9.767890952,      -10.15583071,      -9.798970271,      -9.239154422
          0,           0,          76,      -9.871763972,      -9.828285909,      -10.18863359,      -9.853941497,      -9.294337092
          0,           0,          77,       -9.93615267,      -9.892384605,      -10.21194748,      -9.912855519,        -9.3639478
          0,           0,          78,      -9.994699207,      -9.948670481,      -10.23902103,      -9.958483175,      -9.421209815
          0,           0,          79,      -10.04993877,      -9.996475416,      -10.25993385,      -9.988950405,      -9.472262113
          0,           0,          80,      -10.10589074,      -10.04682718,      -10.28540426,      -10.02473942,      -9.533046303
          0,           0,          81,      -10.15466974,       -10.0916997,      -10.31935585,      -10.05511021,      -9.581038018
          0,           0,          82,      -10.19985819,      -10.13291588,      -10.35162363,      -10.08054769,      -9.622393559
          0,           0,          83,      -10.24974894,      -10.18289633,      -10.38681398,      -10.11623347,      -9.676345446
          0,           0,          84,       -10.2970448,      -10.23355342,      -10.43045189,      -10.15386734,      -9.722280401
          0,           0,          85,      -10.34422835,      -10.28602603,      -10.47589474,       -10.1941617,      -9.765807431
          0,           0,          86,      -10.39925392,      -10.34962822,      -10.51867351,       -10.2439545,      -9.826087061
          0,           0,          87,      -10.45332934,      -10.41480696,      -10.57365669,      -10.30055775,      -9.878548544
          0,           0,          88,      -10.50711952,        -10.479443,      -10.63713217,      -10.36358427,       -9.92737871
          0,           0,          89,      -10.56309348,      -10.55006439,      -10.69352908,      -10.42968871,      -9.992177506
          0,           0,          90,      -10.61464487,      -10.61472355,       -10.7642977,      -10.50158548,       -10.0411435
          0,           0,          91,      -10.66415061,      -10.67021636,      -10.83750871,      -10.57338058,      -10.08335064
          0,           0,          92,      -10.70971247,      -10.72621803,      -10.89902931,      -10.63898891,      -10.13994808
          0,           0,          93,      -10.75090362,       -10.7717283,       -10.9612898,      -10.69784302,      -10.17780025
          0,           0,          94,      -10.79387892,      -10.80923796,      -10.99118841,        -10.733707,      -10.21260182
          0,           0,          95,      -10.83706549,      -10.85522833,      -11.01698365,      -10.76502839,      -10.26542803
          0,           0,          96,      -10.88136482,       -10.8974202,      -11.02615101,       -10.7820863,      -10.30669674
          0,           0,          97,       -10.9310754,      -10.93783966,      -11.00446574,      -10.77765093,      -10.34910571
          0,           0,          98,       -10.9839862,      -10.99077723,      -11.00802912,      -10.78877161,      -10.40975683
          0,           0,          99,      -11.04011027,      -11.04244137,       -11.0085853,      -10.79729446,      -10.46330331
          0,           0,         100,      -11.09796213,      -11.09039333,      -11.00065953,      -10.79777596,      -10.51496859
          0,           0,         101,      -11.15343068,      -11.14533755,      -11.01495282,      -10.81375425,      -10.57807643
          0,           0,         102,      -11.20881153,      -11.19792173,      -11.03415254,       -10.8338729,      -10.63092477
          0,           0,         103,      -11.25694637,      -11.24255474,       -11.0536695,      -10.85303501,      -10.67340005
          0,           0,         104,       -11.2926969,      -11.28615039,      -11.08222518,       -10.8791799,      -10.71792507
          0,           0,         105,      -11.32813374,      -11.33204784,      -11.12018141,      -10.91311555,      -10.75105795
          0,           0,         106,      -11.35895615,      -11.37322695,      -11.16409027,      -10.95186648,      -10.77552527
          0,           0,         107,        -11.383393,      -11.41617448,      -11.20933094,      -10.99339286,      -10.81081212
          0,           0,         108,      -11.41241659,      -11.46467333,      -11.26970884,      -11.04714124,       -10.8369373
          0,           0,         109,      -11.44669214,      -11.51308342,      -11.34183536,      -11.11078615,      -10.86320568
          0,           0,         110,      -11.47936322,      -11.56657367,      -11.40681982,      -11.17183499,      -10.90708061
          0,           0,         111,      -11.51780618,      -11.62404144,      -11.48884513,       -11.2471296,      -10.94242976
          0,           0,         112,      -11.56590754,      -11.68067263,      -11.58000891,      -11.33306813,      -10.98137511
          0,           0,         113,      -11.61058401,      -11.74079314,      -11.65319698,      -11.40988354,      -11.03701928
          0,           0,         114,      -11.66047125,      -11.79850324,       -11.7310365,       -11.4938307,      -11.08415991
          0,           0,         115,      -11.72018103,      -11.84851099,      -11.78786007,      -11.56840807,      -11.13453728
          0,           0,         116,       -11.7725372,      -11.89971159,      -11.81988589,      -11.62096814,      -11.19735307
          0,           0,         117,      -11.82926137,      -11.94409979,      -11.83815082,      -11.65712495,      -11.25193714
          0,           0,         118,      -11.89157748,      -11.97698726,      -11.83322442,      -11.66575714,      -11.30600631
          0,           0,         119,      -11.94247565,      -12.01405766,      -11.83454775,      -11.67466877,      -11.36656202
          0,           0,         120,      -11.99564817,      -12.04811301,      -11.83962991,      -11.68196953,       -11.4182096
          0,           0,         121,      -12.04550837,      -12.07184755,       -11.8414485,      -11.68468276,      -11.46189347
