"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      
          0,           0,           0,      -4.314227713,       4.176019396,        1.25644342,      0.4786457247
          0,           0,           1,      -4.469356509,       2.731112757,       1.192028675,      0.4416234552
          0,           0,           2,      -4.847074111,       2.092136586,       1.224028602,      0.4490047785
          0,           0,           3,      -5.026113924,       1.765555384,       1.256374887,      0.4579105361
          0,           0,           4,      -5.149611898,       1.571809923,       1.277133892,      0.4634578242
          0,           0,           5,      -5.223618595,       1.442832495,        1.29069737,      0.4669216918
          0,           0,           6,      -5.261818942,       1.349660178,        1.30067147,      0.4695264365
          0,           0,           7,      -5.278417224,       1.278211239,       1.308377158,      0.4716368611
          0,           0,           8,      -5.280171328,       1.220843695,       1.314373361,      0.4733478032
          0,           0,           9,      -5.270359241,       1.173007768,       1.319059819,      0.4747194065
          0,           0,          10,      -5.252132586,       1.131770836,       1.322747675,      0.4757995749
          0,           0,          11,      -5.228769105,       1.095091705,       1.325659626,       0.476601738
          0,           0,          12,      -5.203320848,       1.061480686,       1.327948304,      0.4770942836
          0,           0,          13,      -5.178124662,        1.02984763,       1.329687276,      0.4771974671
          0,           0,          14,      -5.154600321,      0.9993914956,       1.330853562,      0.4767755446
          0,           0,          15,      -5.133417363,      0.9695056516,       1.331346645,        0.47565033
          0,           0,          16,      -5.114594807,      0.9397297624,       1.330995567,      0.4736234942
          0,           0,          17,      -5.097915581,      0.9097281361,       1.329577965,      0.4704796528
          0,           0,          18,      -5.083075575,      0.8792701674,       1.326859488,      0.4659935861
          0,           0,          19,      -5.069830798,       0.848191518,       1.322616324,      0.4599465893
          0,           0,          20,       -5.05775101,      0.8163774782,       1.316655454,      0.4521456039
          0,           0,          21,      -5.046428488,      0.7837537975,        1.30882672,      0.4424323571
          0,           0,          22,      -5.035461658,      0.7502932995,       1.299010539,      0.4306914794
          0,           0,          23,      -5.024553763,      0.7159863745,         1.2871326,      0.4168536141
          0,           0,          24,      -5.013554739,      0.6808547814,       1.273202582,      0.4009168321
          0,           0,          25,      -5.002415959,      0.6449468271,       1.257270045,       0.382924443
          0,           0,          26,       -4.99119439,       0.608337369,       1.239421183,      0.3629667553
          0,           0,          27,      -4.980023339,      0.5711175851,       1.219783614,      0.3411810047
          0,           0,          28,      -4.969086649,      0.5334075955,       1.198501914,      0.3177495804
          0,           0,          29,      -4.958562812,       0.495350297,       1.175689079,      0.2928713855
          0,           0,          30,      -4.948652321,      0.4571178831,       1.151462567,      0.2667718536
          0,           0,          31,      -4.939565522,      0.4189001419,       1.125915837,      0.2396872142
          0,           0,          32,       -4.93153333,      0.3809023898,       1.099139729,      0.2118579111
