Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.879786,0,2.53339,-0,6.05894e-08,0,0,0,0,0,0,0.682895,1.07667,-0.0191662,1.27512,1.01336,-0.0114744,0.0014067,7.50932e-05,-0.000118114,0.00141364,1.13024,0,0,0,0,9.86599
1,0.896582,0,2.58276,-0,6.06072e-08,0,0,0,0,0,0,0.672334,1.07667,-0.0181721,1.26948,1.0331,0.0280225,0.00140126,7.97033e-05,-0.00013661,0.00141016,1.13068,0,0,0,0,9.88436
2,0.914205,0,2.63459,-0,6.06256e-08,0,0,0,0,0,0,0.662743,1.07667,-0.017126,1.26441,1.05384,0.0694854,0.00139509,8.8478e-05,-0.000156208,0.00140659,1.13114,0,0,0,0,9.89098
3,0.970769,0,2.80207,-0,6.06986e-08,0,0,0,0,0,0,0.634073,1.07667,-0.0127353,1.24957,1.12083,0.203468,0.0014562,0.000123849,-0.000346783,0.00150204,1.13295,0,0,0,0,10.0619
4,1.01474,0,2.93155,-0,6.07384e-08,0,0,0,0,0,0,0.629283,1.07667,-0.0112522,1.24713,1.17262,0.307055,0.00143477,0.000193828,-0.000518798,0.00153795,1.13393,0,0,0,0,10.2647
5,1.03932,0,3.00371,-0,6.07552e-08,0,0,0,0,0,0,0.628031,1.07667,-0.0106298,1.2465,1.20148,0.36478,0.00137664,0.000252909,-0.000558427,0.00150696,1.13435,0,0,0,0,10.2764
6,0.314722,0,0.889664,-0,5.975e-08,0,0,0,0,0,0,0.662743,1.07667,0.017126,1.26441,0.355866,-1.32645,0.0025004,-0.000528117,0.000331032,0.00257692,1.10955,0,0,0,0,7.96777
7,0.322139,0,0.911483,-0,5.97925e-08,0,0,0,0,0,0,0.672334,1.07667,0.0181721,1.26948,0.364593,-1.309,0.0024213,-0.000482306,0.000276932,0.00248435,1.11059,0,0,0,0,7.97128
8,0.329819,0,0.935984,-0,5.99268e-08,0,0,0,0,0,0,0.682895,1.07667,0.0191662,1.27512,0.374394,-1.2894,0.00218618,-0.000410835,0.000214312,0.00223475,1.11389,0,0,0,0,7.6783
9,0.344578,0,0.982925,-0,6.01596e-08,0,0,0,0,0,0,0.6944,1.07667,0.0200935,1.28133,0.39317,-1.25185,0.00168,-0.000293801,0.000140039,0.00171124,1.11962,0,0,0,0,6.86533
10,0.392496,0,1.12571,-0,6.04005e-08,0,0,0,0,0,0,0.706807,1.07667,0.020944,1.28811,0.450285,-1.13762,0.000940783,-0.000144819,6.58643e-05,0.00095414,1.12557,0,0,0,0,5.36284
11,0.493072,0,1.42031,-0,6.05922e-08,0,0,0,0,0,0,0.720065,1.07667,0.0217104,1.29545,0.568123,-0.901939,0.000216354,-2.36062e-05,1.237e-05,0.000217989,1.13031,0,0,0,0,2.62623
12,0.58697,0,1.69457,-0,6.06992e-08,0,0,0,0,0,0,0.73411,1.07667,0.0223851,1.30332,0.67783,-0.682526,-0.000159038,2.16339e-05,-7.6532e-06,0.000160686,1.13296,0,0,0,0,3.72125
13,0.807387,0,2.32106,-0,6.05138e-08,0,0,0,0,0,0,0.915415,1.07667,-0.0196526,1.41336,0.928423,-0.181339,0.00117008,0.000122463,8.02433e-05,0.0011792,1.12837,0,0,0,0,8.94761
14,0.798097,0,2.29381,-0,6.0503e-08,0,0,0,0,0,0,0.898722,1.07667,-0.020767,1.40262,0.917523,-0.203139,0.00120738,0.000116183,7.38887e-05,0.0012152,1.1281,0,0,0,0,9.0356
15,0.78917,0,2.2677,-0,6.0494e-08,0,0,0,0,0,0,0.881769,1.07667,-0.0217531,1.39184,0.907082,-0.224021,0.00124625,0.000108864,6.52308e-05,0.00125269,1.12788,0,0,0,0,9.12286
16,0.781674,0,2.24583,-0,6.04872e-08,0,0,0,0,0,0,0.864651,1.07667,-0.022577,1.38107,0.898332,-0.241521,0.00128427,0.000101367,5.418e-05,0.0012894,1.12771,0,0,0,0,9.20759
17,0.776632,0,2.2311,-0,6.04823e-08,0,0,0,0,0,0,0.84747,1.07667,-0.0232123,1.37039,0.892442,-0.253301,0.0013207,9.47883e-05,4.10627e-05,0.00132473,1.12759,0,0,0,0,9.29865
18,0.77482,0,2.22576,-0,6.04796e-08,0,0,0,0,0,0,0.830329,1.07667,-0.0236431,1.35986,0.890306,-0.257573,0.00135422,8.98744e-05,2.64466e-05,0.00135746,1.12752,0,0,0,0,9.3898
19,0.776493,0,2.23056,-0,6.04794e-08,0,0,0,0,0,0,0.813335,1.07667,-0.023866,1.34956,0.892223,-0.253738,0.00138239,8.68033e-05,1.10619e-05,0.00138516,1.12752,0,0,0,0,9.4826
20,0.932507,0,2.68844,-0,6.06445e-08,0,0,0,0,0,0,0.654133,1.07667,-0.0160484,1.25991,1.07538,0.112568,0.00138508,0.000101334,-0.000175959,0.00139988,1.1316,0,0,0,0,9.88101
21,0.948505,0,2.73548,-0,6.06598e-08,0,0,0,0,0,0,0.6465,1.07667,-0.0149633,1.25595,1.09419,0.150198,0.00138231,0.000114012,-0.000197332,0.00140097,1.13198,0,0,0,0,9.88441
22,0.957179,0,2.76102,-0,6.06686e-08,0,0,0,0,0,0,0.639819,1.07667,-0.0138951,1.25251,1.10441,0.170635,0.00142396,0.000117716,-0.000242472,0.00144925,1.1322,0,0,0,0,9.98406
23,0.849238,0,2.44364,-0,6.0556e-08,0,0,0,0,0,0,0.706807,1.07667,-0.020944,1.28811,0.977455,-0.0832745,0.00141303,7.49734e-05,-8.56078e-05,0.0014176,1.12941,0,0,0,0,9.81468
24,0.864022,0,2.48707,-0,6.05725e-08,0,0,0,0,0,0,0.6944,1.07667,-0.0200935,1.28133,0.99483,-0.0485251,0.00140992,7.38414e-05,-0.000101024,0.00141546,1.12982,0,0,0,0,9.84396
