Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.84183,0,2.42378,-0,6.05836e-08,0,0,0,0,0,0,1.01711,1.14845,-0.0127224,1.53414,0.969512,-0.0991612,0.00105785,0.000225779,9.30159e-05,0.00108567,1.1301,0,0,0,0,8.6788
1,0.837508,0,2.41094,-0,6.0576e-08,0,0,0,0,0,0,1.00357,1.14845,-0.0139594,1.52521,0.964374,-0.109436,0.00107276,0.000229195,9.07167e-05,0.00110071,1.12991,0,0,0,0,8.72957
2,0.832328,0,2.39556,-0,6.05672e-08,0,0,0,0,0,0,0.989407,1.14845,-0.0152024,1.51595,0.958225,-0.121734,0.00109002,0.000232919,8.84597e-05,0.00111813,1.12969,0,0,0,0,8.77848
3,0.826006,0,2.37684,-0,6.0557e-08,0,0,0,0,0,0,0.974687,1.14845,-0.0164383,1.50639,0.950734,-0.136716,0.00111115,0.000236575,8.59265e-05,0.0011393,1.12944,0,0,0,0,8.83506
4,0.818604,0,2.35494,-0,6.05454e-08,0,0,0,0,0,0,0.959474,1.14845,-0.017647,1.49661,0.941976,-0.154233,0.00113744,0.000239786,8.26984e-05,0.00116538,1.12915,0,0,0,0,8.90033
5,0.978357,0,2.82489,-0,6.07134e-08,0,0,0,0,0,0,0.670186,1.14845,-0.0107869,1.32974,1.12996,0.221729,0.00146676,0.000225749,-0.000520857,0.00157278,1.13331,0,0,0,0,10.352
6,0.979082,0,2.82703,-0,6.07142e-08,0,0,0,0,0,0,0.670114,1.14845,-0.0107645,1.3297,1.13081,0.223438,0.00146602,0.000226594,-0.000523533,0.0015731,1.13333,0,0,0,0,10.3547
7,1.05692,0,3.05651,-0,6.0785e-08,0,0,0,0,0,0,0.666473,1.14845,-0.0089546,1.32786,1.2226,0.407025,0.00125126,0.000386191,-0.000630719,0.00145348,1.13509,0,0,0,0,10.2233
8,1.13637,0,3.29105,-0,6.08515e-08,0,0,0,0,0,0,0.663753,1.14845,-0.00685927,1.32648,1.31642,0.594653,0.000929616,0.000606365,-0.000544604,0.00123631,1.13674,0,0,0,0,9.75998
9,1.1888,0,3.44697,-0,6.09057e-08,0,0,0,0,0,0,0.661866,1.14845,-0.00462561,1.32553,1.37879,0.719389,0.000612297,0.000814561,-0.000215122,0.00104149,1.13809,0,0,0,0,9.0563
