"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          54,      -5.987634094,      -5.966281227,      -6.239940438,      -6.308340356,      -5.379274981,      -9.511064584
          0,           0,          55,      -5.971997122,      -5.969829422,      -6.260686585,      -6.314338154,      -5.362495681,      -9.498612223
          0,           0,          56,       -5.95120174,      -5.973867043,      -6.277659265,      -6.317012858,      -5.340313144,      -9.487817647
          0,           0,          57,      -5.928522234,      -5.978113472,      -6.290643701,       -6.31655695,      -5.316041499,      -9.478737176
          0,           0,          58,      -5.907824779,      -5.982958286,      -6.299447262,      -6.312934519,      -5.293679683,      -9.471317844
          0,           0,          59,      -5.890460123,      -5.987910379,      -6.304442707,      -6.307621062,      -5.274722554,      -9.465461401
          0,           0,          60,      -5.876882324,      -5.993250942,      -6.305833834,      -6.301089885,      -5.259681285,       -9.46108407
          0,           0,          61,      -5.868961603,      -5.999111545,      -6.303904778,      -6.293057555,      -5.250424134,      -9.458026358
          0,           0,          62,       -5.86670165,      -6.005717162,      -6.299426197,      -6.284491239,      -5.246993718,      -9.456154086
          0,           0,          63,      -5.871905436,      -6.013111025,      -6.293048139,      -6.276222431,      -5.251202763,      -9.455308889
          0,           0,          64,      -5.881009907,      -6.022184781,      -6.285932819,      -6.268619116,      -5.259552612,      -9.455342439
          0,           0,          65,      -5.894112521,      -6.031433589,      -6.278432385,      -6.261924158,      -5.272055057,      -9.456092508
          0,           0,          66,       -5.91180649,      -6.040269585,      -6.271043559,      -6.255898696,      -5.289221295,      -9.457394641
          0,           0,          67,      -5.931429003,      -6.048111103,      -6.264455664,      -6.250772782,      -5.308456725,      -9.459069458
          0,           0,          68,      -5.953629532,       -6.05464329,      -6.258867331,       -6.24653591,      -5.330351525,      -9.460995066
          0,           0,          69,      -5.977469166,      -6.060359481,      -6.254442803,      -6.243351352,      -5.353979027,      -9.462993801
          0,           0,          70,      -6.002480227,      -6.065403618,      -6.251363801,      -6.240747156,      -5.378825218,       -9.46495013
