"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -4.295715162,      -4.039732975,      -4.509448332,      -3.981858289
          0,           0,           1,      -3.868439917,      -3.760496977,      -3.738092347,       -4.21205787
          0,           0,           2,      -3.587921608,      -3.492887633,      -3.621236686,      -4.063182776
          0,           0,           3,      -3.580042337,      -3.448613052,      -3.701737562,      -4.069268761
          0,           0,           4,       -3.50055223,      -3.327311756,      -3.670655076,      -4.007638458
          0,           0,           5,       -3.51746197,      -3.312842402,      -3.711020828,      -4.013559916
          0,           0,           6,      -3.524323058,      -3.302222508,      -3.728778899,      -3.981822949
          0,           0,           7,      -3.545362252,       -3.30757212,      -3.734048854,      -3.960991735
          0,           0,           8,      -3.574187701,      -3.329259599,      -3.762096283,      -3.984709183
          0,           0,           9,      -3.602538295,      -3.361888723,      -3.791573848,      -4.021772953
          0,           0,          10,      -3.629050312,      -3.401484846,      -3.820284165,      -4.053954862
          0,           0,          11,      -3.653267991,      -3.445030509,      -3.845767985,      -4.085740413
          0,           0,          12,      -3.672521678,      -3.486586814,      -3.861421795,       -4.11739098
          0,           0,          13,      -3.682116466,      -3.512555543,      -3.866995827,      -4.137608788
          0,           0,          14,      -3.676332633,      -3.511620591,      -3.865339359,      -4.139957324
          0,           0,          15,      -3.656792555,      -3.487561811,      -3.859924754,      -4.129541858
          0,           0,          16,      -3.632771558,      -3.454386662,      -3.855673248,      -4.114506847
          0,           0,          17,      -3.612949222,      -3.424116959,      -3.857271805,      -4.101607045
          0,           0,          18,      -3.602383828,      -3.403054588,      -3.867189756,      -4.095671603
          0,           0,          19,      -3.603405305,      -3.393481686,      -3.884866339,      -4.099298715
          0,           0,          20,      -3.616405862,      -3.395562782,      -3.907163226,      -4.113011405
          0,           0,          21,      -3.640202373,      -3.408448467,      -3.929942698,      -4.135878171
          0,           0,          22,      -3.672273061,      -3.430841584,      -3.950217272,      -4.166234758
          0,           0,          23,      -3.708499719,      -3.460824016,      -3.968243213,      -4.202543268
