"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633181114024860e-05, 1.320480559617008e+00, 6.969713373073367e-01, 1.013642147415832e-01, 3.777443861247131e+00
1, 9.990000128750000e-01, -1.454333976902335e-04, 1.187938707457221e+00, 7.014590201448634e-01, 1.024855464999835e-01, 3.410443175672477e+00
2, 9.977599978450000e-01, -3.270805356876791e-04, 1.179197059007695e+00, 7.538356727231653e-01, 1.118588788140472e-01, 3.395717290677081e+00
3, 9.960200190539999e-01, -5.876236252841220e-04, 1.165989259652752e+00, 7.737703550570461e-01, 1.189237045153730e-01, 3.363198853801979e+00
4, 9.937800168990000e-01, -9.387789225611957e-04, 1.157727155318510e+00, 7.822446587207573e-01, 1.277270658074052e-01, 3.342330466370485e+00
5, 9.910500049590000e-01, -1.399141237195883e-03, 1.152025419148269e+00, 7.901131244585142e-01, 1.402846665250140e-01, 3.328586681035322e+00
6, 9.878399968150000e-01, -1.993430099513760e-03, 1.144423035689103e+00, 7.971942945210309e-01, 1.558265445570463e-01, 3.309655847876722e+00
7, 9.841300249100000e-01, -2.751780846950266e-03, 1.133793649903131e+00, 8.072390995556478e-01, 1.728898920559313e-01, 3.283190300891484e+00
8, 9.799500107769999e-01, -3.683262560780190e-03, 1.118928863285084e+00, 8.214756327185471e-01, 1.887895957605754e-01, 3.246106711861497e+00
9, 9.752799868580000e-01, -4.785675754792572e-03, 1.099934054738164e+00, 8.399171781165632e-01, 2.002182251186824e-01, 3.198664132934856e+00
10, 9.701499938960000e-01, -6.019376212422453e-03, 1.077931991287702e+00, 8.611281586907173e-01, 2.045153557114797e-01, 3.143606601832616e+00
11, 9.645400047300000e-01, -7.336389307793182e-03, 1.055312458096856e+00, 8.823661603360479e-01, 2.005417467503361e-01, 3.086838987229058e+00
12, 9.584699869160000e-01, -8.673975977369528e-03, 1.035734916328746e+00, 9.006960963135727e-01, 1.894377121689121e-01, 3.037635740495106e+00
13, 9.519400000570000e-01, -9.986468583522291e-03, 1.022005842503019e+00, 9.141164278324224e-01, 1.743466910152972e-01, 3.003126173657604e+00
14, 9.449599981310000e-01, -1.125069571306422e-02, 1.014749368709757e+00, 9.222009928076947e-01, 1.590678767507192e-01, 2.984901268253533e+00
15, 9.375399947170000e-01, -1.247028533550715e-02, 1.012445357127962e+00, 9.258729834486612e-01, 1.465616290635049e-01, 2.979102683134295e+00
16, 9.296900033950000e-01, -1.366786885053205e-02, 1.012630168544142e+00, 9.268815102956576e-01, 1.381349933776456e-01, 2.979526388048620e+00
17, 9.214000105860000e-01, -1.487565924391517e-02, 1.013081692490798e+00, 9.269655447312382e-01, 1.335629148215383e-01, 2.980591275128760e+00
18, 9.126999974250000e-01, -1.611589373461388e-02, 1.012416477249464e+00, 9.273389271109059e-01, 1.317072525106851e-01, 2.978824859603912e+00
19, 9.035800099370001e-01, -1.740658214233212e-02, 1.010165969531862e+00, 9.285314606193651e-01, 1.312478330001579e-01, 2.973050082086580e+00
20, 8.940600156780000e-01, -1.875065336874019e-02, 1.006494839257073e+00, 9.305887140441527e-01, 1.311247189205755e-01, 2.963689310625314e+00
21, 8.841500282290000e-01, -2.014436614040085e-02, 1.001836264311227e+00, 9.332565137120897e-01, 1.307062840389412e-01, 2.951828367087487e+00
22, 8.738499879840000e-01, -2.158114807345943e-02, 9.966476092752702e-01, 9.362189176370467e-01, 1.297522339549078e-01, 2.938613732431111e+00
23, 8.631799817090000e-01, -2.305064193856111e-02, 9.913014007203369e-01, 9.392387968577708e-01, 1.282818766648886e-01, 2.924989431697132e+00
24, 8.521599769590000e-01, -2.454358460022748e-02, 9.860030346633785e-01, 9.421471502124459e-01, 1.264237332456065e-01, 2.911468032647512e+00
25, 8.407700061800000e-01, -2.605776536687062e-02, 9.808359435142735e-01, 9.448910282345275e-01, 1.243314616147392e-01, 2.898264168402466e+00
26, 8.290500044819999e-01, -2.758446081778498e-02, 9.757944755888638e-01, 9.474616571865028e-01, 1.221123538877664e-01, 2.885362720850364e+00
27, 8.170099854470000e-01, -2.912004449776915e-02, 9.708368191087982e-01, 9.498923460600552e-01, 1.198295318103052e-01, 2.872661662245746e+00
28, 8.046399950980000e-01, -3.066379923766199e-02, 9.659116356893945e-01, 9.521936348213159e-01, 1.175015791250631e-01, 2.860026007555949e+00
29, 7.919700145720000e-01, -3.221000016588303e-02, 9.609968339829313e-01, 9.543915352416470e-01, 1.151194316513467e-01, 2.847402985704630e+00
30, 7.790099978450000e-01, -3.375530896720282e-02, 9.560810422096517e-01, 9.565129604425903e-01, 1.126690296577534e-01, 2.834769010961833e+00
31, 7.657799720760000e-01, -3.529496272964615e-02, 9.511340700278897e-01, 9.585478455239747e-01, 1.101273884615329e-01, 2.822039607465826e+00
32, 7.522799968720000e-01, -3.682631394048258e-02, 9.461281864651048e-01, 9.605015307006604e-01, 1.074803286922100e-01, 2.809141849591746e+00
33, 7.385200262070000e-01, -3.834535655878947e-02, 9.410799118443804e-01, 9.623800818809262e-01, 1.047202073307295e-01, 2.796121659996575e+00
34, 7.245299816130000e-01, -3.984589778896972e-02, 9.360346882173667e-01, 9.641688523489171e-01, 1.018421764802093e-01, 2.783096034654881e+00
35, 7.103199958800001e-01, -4.132403862087114e-02, 9.310227711882579e-01, 9.658462166291440e-01, 9.884689150905401e-02, 2.770139128668445e+00
36, 6.958900094030001e-01, -4.277697747549006e-02, 9.260838128527183e-01, 9.674376503554915e-01, 9.574488989323991e-02, 2.757364050208127e+00
37, 6.812700033190000e-01, -4.419904388671990e-02, 9.212062893793028e-01, 9.688994312931112e-01, 9.253891680927663e-02, 2.744726601665004e+00
38, 6.664699912070000e-01, -4.558686313383291e-02, 9.164186144380918e-01, 9.702610047546022e-01, 8.924410339490298e-02, 2.732310990743432e+00
39, 6.514999866490000e-01, -4.693727456150359e-02, 9.117300251402227e-01, 9.715187532120355e-01, 8.587206282332401e-02, 2.720140296524101e+00
40, 6.363800168040000e-01, -4.824650111173480e-02, 9.071528408290336e-01, 9.726612143813170e-01, 8.243409579956727e-02, 2.708243246918059e+00
41, 6.211299896240000e-01, -4.951116484023114e-02, 9.027157063067535e-01, 9.737131122452993e-01, 7.894442391062736e-02, 2.696702902926297e+00
42, 6.057599782940000e-01, -5.072904065022285e-02, 8.984072571870046e-01, 9.746528850752928e-01, 7.541264444727658e-02, 2.685481745624337e+00
43, 5.902799963950000e-01, -5.189814753551113e-02, 8.942208040199621e-01, 9.755152199322967e-01, 7.185175186440447e-02, 2.674572172589354e+00
44, 5.747100114820000e-01, -5.301603163220739e-02, 8.901181261760858e-01, 9.762754410291189e-01, 6.826744405319164e-02, 2.663864602593235e+00
45, 5.590599775310000e-01, -5.408125160795511e-02, 8.861522148630604e-01, 9.769674520194556e-01, 6.467139811167232e-02, 2.653509439069960e+00
46, 5.433599948880000e-01, -5.509127927711841e-02, 8.824265351867993e-01, 9.775680497062171e-01, 6.106447320872574e-02, 2.643772075433982e+00
47, 5.276100039480000e-01, -5.604579624487464e-02, 8.790315697820338e-01, 9.781121938168182e-01, 5.745483513774678e-02, 2.634901476556603e+00
48, 5.118399858470000e-01, -5.694278152240185e-02, 8.757938580523225e-01, 9.785801695259219e-01, 5.383770491452956e-02, 2.626431546446379e+00
49, 4.960500001910000e-01, -5.778210587211137e-02, 8.723556810670167e-01, 9.790015554389548e-01, 5.021550110301390e-02, 2.617426693577270e+00
50, 4.802699983120000e-01, -5.856208716607381e-02, 8.686168900264439e-01, 9.793163965721146e-01, 4.657756860180441e-02, 2.607604084643941e+00
51, 4.645099937920000e-01, -5.928218982546180e-02, 8.654580273774573e-01, 9.795207941630740e-01, 4.291743386341288e-02, 2.599285067956594e+00
52, 4.487800002100000e-01, -5.994181276144141e-02, 8.647465395037220e-01, 9.796260919454990e-01, 3.922675552649747e-02, 2.597393211064763e+00
53, 4.331099987030000e-01, -6.053952662060910e-02, 8.683648886534335e-01, 9.797300387291642e-01, 3.549411257498626e-02, 2.606922978974644e+00
54, 4.174999892710000e-01, -6.107503945218960e-02, 8.755746137947040e-01, 9.798769025862439e-01, 3.170717349741180e-02, 2.625957978325102e+00
55, 4.019699990750000e-01, -6.154716479261655e-02, 8.792284548250805e-01, 9.801380572950521e-01, 2.784781330145341e-02, 2.635655989358626e+00
56, 3.865399956700000e-01, -6.195467892256609e-02, 8.669860236960786e-01, 9.803389877636403e-01, 2.389101320397264e-02, 2.603369162015788e+00
57, 3.712300062180000e-01, -6.229630318699168e-02, 8.320382086075214e-01, 9.790821577770173e-01, 1.978519498863732e-02, 2.511017519596362e+00
58, 3.560400009160000e-01, -6.257101978688173e-02, 7.946903442492741e-01, 9.758279189121041e-01, 1.551722036621639e-02, 2.412263405449656e+00
59, 3.409900069240000e-01, -6.277716740887454e-02, 7.769424873446695e-01, 9.731933965942198e-01, 1.111812064224148e-02, 2.365159720629675e+00
60, 3.261100053790000e-01, -6.291295110532950e-02, 7.741883950753261e-01, 9.723383042664653e-01, 6.559242219128409e-03, 2.357690865999404e+00
61, 3.113999962810000e-01, -6.297677699560210e-02, 7.762887680573080e-01, 9.723660319646704e-01, 1.786120703177902e-03, 2.363144503909825e+00
62, 2.968699932100000e-01, -6.296666152854401e-02, 7.779173748726732e-01, 9.726189160863029e-01, -3.243369805452967e-03, 2.367464605930456e+00
63, 2.825500071050000e-01, -6.288057160391837e-02, 7.784798583914913e-01, 9.727248291714999e-01, -8.564680917083031e-03, 2.368974637320556e+00
64, 2.684499919410000e-01, -6.271642812724448e-02, 7.790725684831318e-01, 9.728595124023263e-01, -1.421356734222770e-02, 2.370585625088035e+00
