"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         12,          49,      -6.765808259,      -4.750496396,      -4.210486871,      -1.266371633,      -5.159601658,      0.9329898399,     -0.8376024301,      -2.123269002,                 0,                 0,                 0,    -0.06439958475,     -0.1802194098,      -2.275383495,                 0,       2.534936535,      0.4913935768,      -2.172702028,      -2.478063362,      -2.099756067,       -2.13267686,      -4.029272203,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,          49,      -6.661936685,      -4.645906987,      -4.090030086,      -1.163591983,      -4.941394079,      0.9329898399,     -0.9800200772,      -2.283739802,                 0,                 0,                 0,      -0.097283642,     -0.2694969616,      -2.470481375,                 0,       2.330298996,      0.8074321994,      -2.087870958,      -2.383131877,      -1.993033012,      -2.048478762,      -3.844410363,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,          49,        -6.6940853,      -4.547948498,       -4.10395341,      -1.237647356,      -4.783941198,      0.9329898399,     -0.7915804685,      -1.918135869,                 0,                 0,                 0,      0.0173878654,      -0.196183513,      -2.065758185,                 0,       2.423172305,       1.005024142,      -2.134302448,      -2.295260506,      -2.020544844,      -2.137056974,      -3.714045544,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         15,          49,      -6.785484707,      -4.839437893,      -4.283487779,       -1.33064299,      -4.869506018,      0.9329898399,     -0.4262855272,      -1.101297929,                 0,                 0,                 0,      0.1075046914,    -0.08567052428,      -1.177810273,                 0,       2.583474827,       1.031566729,      -2.227472797,      -2.597647905,      -2.202092672,      -2.232594914,      -3.829722002,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         16,          49,       -6.98189901,      -5.097108006,      -4.449733609,      -1.527000714,      -5.282753887,      0.9329898399,     -0.2464703951,      -0.770943827,                 0,                 0,                 0,      0.0660347673,     -0.0102986501,      -0.809318218,                 0,       3.127936833,      0.8642584485,      -2.416037298,      -2.859007038,      -2.359706731,      -2.422118402,      -4.285211549,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         17,           9,      -7.888398674,      -5.190012642,      -5.288215711,      -2.417325058,        -4.2163404,      0.9329898399,      0.1658020638,      0.1874865091,                 0,                 0,                 0,      0.1356551745,      0.1037415519,      0.2277700724,                 0,       1.130785135,      0.7930419074,      -3.316223118,      -2.947755107,      -3.192835089,       -3.30687153,      -3.236039384,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         18,           9,      -7.950571493,      -5.165660265,      -5.310640814,       -2.46482477,      -4.173194423,      0.9329898399,      0.4948792139,       1.002971187,                 0,                 0,                 0,      0.1684594034,      0.1800149502,       1.103834796,                 0,       2.026698958,      0.8932520376,      -3.375298054,      -2.916870918,      -3.217575103,      -3.351573242,      -3.191006742,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         19,           9,      -7.958810968,      -5.145007943,       -5.31708986,      -2.461920879,      -4.222202103,      0.9329898399,      0.7627334815,       1.909628938,                 0,                 0,                 0,       0.213325879,      0.1710841879,       2.049188924,                 0,       2.503664759,      0.8954494664,      -3.377628636,      -2.889522256,      -3.224810251,      -3.343157164,      -3.243700645,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         20,           9,      -7.896999266,      -5.103055709,      -5.309635071,      -2.389325406,      -4.123099956,      0.9329898399,       1.027851791,       3.096536939,                 0,                 0,                 0,      0.3245411984,     0.07759977238,       3.261747782,                 0,       3.012629804,      0.9064092578,      -3.306466058,      -2.841078421,      -3.213163835,      -3.262096953,      -3.168162728,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         21,          14,      -7.640801472,      -5.111937721,      -5.176532373,      -2.146045474,       -4.44475976,      0.9329898399,       1.432284028,       4.562379015,                 0,                 0,                 0,      0.5581072477,     0.03578949732,       4.781784074,                 0,       3.185387065,       1.114362337,      -3.041461759,      -2.846638155,      -3.077437812,      -3.011251959,      -3.510729328,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         22,          49,      -6.865178848,      -4.825989763,      -4.173961662,      -1.364504366,      -4.675072346,      0.9329898399,       2.061880674,       6.095683713,                 0,                 0,                 0,      0.9285284543,       0.189580856,       6.432166894,                 0,       2.956370749,       1.258760164,      -2.259480697,      -2.565207152,      -2.077032135,      -2.224465865,      -3.746017751,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         23,          49,      -6.611305015,      -4.646077531,      -4.173956502,      -1.113375201,      -5.335773146,      0.9329898399,       2.676066921,        7.34405492,                 0,                 0,                 0,       1.318447623,       0.411941667,       7.805560895,                 0,       2.744346512,       1.275619686,      -2.002448291,       -2.40297232,      -2.082908054,      -1.970835381,      -4.397978886,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         24,          49,      -6.839274361,      -4.805462567,      -4.155319714,       -1.33545439,      -5.355949828,      0.9329898399,       3.028129985,       7.929185766,                 0,                 0,                 0,        1.63067033,      0.5775455468,       8.468057584,                 0,       2.618509049,       1.263550874,      -2.232757988,      -2.597901071,      -2.078895246,      -2.195353684,      -4.418108151,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         25,          49,      -6.647932968,      -4.700294864,      -4.052050659,      -1.148888573,      -4.758056748,      0.9329898399,       2.953942324,       7.462119884,                 0,                 0,                 0,       1.579890525,      0.6431563815,       7.999709888,                 0,       2.526156257,       1.242484392,      -2.048950542,      -2.537001939,      -2.003741954,      -2.015783476,      -3.887023371,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         26,          49,      -6.670308442,      -4.731041118,        -4.1426548,      -1.202306936,       -4.90399892,      0.9329898399,       2.779698558,       6.805762064,                 0,                 0,                 0,       1.525022725,      0.6684266948,       7.321087836,                 0,       2.448381334,       1.181453447,      -2.080839516,      -2.600009759,      -2.129805846,      -2.077434073,      -4.185346623,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
