"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
         12,          11,      -8.572096396,      -6.022281738,      -6.216278832,       -3.07315089,       -5.49536616,      0.9329898399,      0.5192077481,       1.446072948,                 0,                 0,                 0,      0.2012220139,     0.07373002579,       1.534688092,                 0,       2.785152867,      0.9920754475,      -3.092376911,      -2.962733728,      -3.260431278,      -3.061927997,      -3.299540922,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         13,          11,      -8.787934516,      -6.150252014,      -6.282705676,      -3.293044351,      -5.555018479,      0.9329898399,      0.5278128514,        1.38576262,                 0,                 0,                 0,      0.2050919849,     0.09959216047,       1.479528927,                 0,       2.625481014,      0.9916820844,      -3.315742763,      -3.103087095,       -3.33858132,      -3.289290664,      -3.372632235,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         14,          11,      -8.632960257,      -6.192740837,      -6.321140847,      -3.364196908,      -5.597985511,      0.9329898399,      0.5269077737,       1.306180578,                 0,                 0,                 0,      0.1993723862,      0.1219941678,       1.403159623,                 0,       2.478954844,      0.9876404483,      -3.164632091,      -3.157126076,      -3.387645999,      -3.363896999,      -3.426463408,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         15,          11,      -8.763015831,       -6.23177231,      -6.245548891,      -3.276174706,      -5.473775756,      0.9329898399,      0.5163282354,       1.210465144,                 0,                 0,                 0,      0.1837106428,      0.1398613895,        1.30853334,                 0,       2.344371392,       0.978599414,      -3.294537654,      -3.208248893,       -3.31839383,      -3.275686684,       -3.31769543,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         16,          11,      -8.695823632,      -6.233200112,      -6.171236612,      -3.217589373,      -5.480441278,      0.9329898399,      0.4977345328,       1.105728239,                 0,                 0,                 0,      0.1604326032,      0.1527022509,       1.202936667,                 0,       2.221522048,      0.8605617909,      -3.226134461,      -3.220841531,      -3.252220667,      -3.216018886,      -3.349282521,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         17,          10,      -8.602349598,      -6.076566493,      -6.090360358,      -3.110478326,      -5.343686259,      0.9329898399,      0.4746169179,       1.003847656,                 0,                 0,                 0,      0.1349167252,      0.1603817655,       1.098748845,                 0,       2.115069265,      0.7895235249,      -3.132616824,      -3.072203317,      -3.182806951,      -3.108809462,      -3.242015863,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         18,          10,      -8.668609209,      -6.094423996,      -6.232975369,      -3.181116997,      -5.270999999,      0.9329898399,       0.451275036,      0.9161900639,                 0,                 0,                 0,      0.1116653271,      0.1636884124,       1.008096967,                 0,       2.030225452,      0.7484851388,      -3.197345974,      -3.094537501,      -3.336343724,      -3.177146525,       -3.19902538,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         19,          10,      -8.703552807,      -6.074628559,       -6.27777006,      -3.214878812,      -5.370970967,      0.9329898399,       0.431984299,      0.8528088742,                 0,                 0,                 0,     0.09419193382,      0.1637714553,      0.9418451683,                 0,       1.974166367,      0.7244470432,      -3.227227189,      -3.073035282,      -3.388895803,      -3.204121969,      -3.318001942,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         20,          19,      -7.509371778,      -5.079188147,      -5.226244033,      -2.014838319,      -4.910263938,      0.9329898399,      0.4194599435,      0.8181780179,                 0,                 0,                 0,     0.08427099199,       0.161919437,      0.9050657485,                 0,       1.950551013,      0.7224091605,      -2.021553726,      -2.071530591,      -2.343904816,      -1.990273543,      -2.868779129,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         21,          11,      -8.917421669,      -6.270141264,      -6.426482285,      -3.420335105,      -5.521862349,      0.9329898399,      0.4151850324,       0.811322713,                 0,                 0,                 0,     0.08280767075,      0.1598356164,      0.8972601248,                 0,       1.954123221,      0.7383716688,      -3.414705755,      -3.259778478,      -3.544600528,       -3.37925338,      -3.495744551,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         22,          10,      -8.825348401,      -6.163856282,      -6.320027737,      -3.332473744,       -5.49793582,      0.9329898399,      0.4171756257,      0.8243938805,                 0,                 0,                 0,     0.08650663156,      0.1579175907,      0.9103421375,                 0,       1.976131465,      0.7608349293,      -3.307261198,      -3.155032437,      -3.435934305,       -3.27464604,      -3.490196471,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         23,          10,      -8.816834597,      -6.211738875,      -6.314043161,      -3.303874862,      -5.592825139,      0.9329898399,      0.4229164421,      0.8481028942,                 0,                 0,                 0,     0.09230762341,       0.156475716,      0.9346936324,                 0,       2.005367514,      0.7912989593,      -3.278357078,      -3.201216515,      -3.429060169,      -3.223056251,      -3.607395277,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         24,          11,      -8.914707933,      -6.338827625,      -6.417676913,      -3.422484339,      -5.683418072,      0.9329898399,      0.4300279641,      0.8732764095,                 0,                 0,                 0,     0.09745457949,      0.1559164748,      0.9608463927,                 0,       2.030743306,      0.8352636826,      -3.348348615,      -3.338270358,      -3.532115739,      -3.310801887,      -3.722054761,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         25,          10,      -9.082457008,      -6.339933269,      -6.558948038,       -3.58132975,      -5.627011282,      0.9329898399,      0.4357977458,      0.8909297399,                 0,                 0,                 0,     0.09948339868,      0.1562728101,      0.9794152774,                 0,       2.044365187,      0.8912291996,       -3.48858868,      -3.340019515,      -3.676588427,      -3.441387778,      -3.684456828,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         26,          10,      -8.996770678,      -6.381662841,      -6.498618692,      -3.494265484,      -5.665437522,      0.9329898399,      0.4388978485,      0.8966901478,                 0,                 0,                 0,     0.09804647438,      0.1575532727,      0.9858303651,                 0,       2.043049769,       0.973195184,      -3.370320575,      -3.380840721,      -3.627381236,      -3.321010045,      -3.734773471,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         27,          13,      -8.831039409,      -6.279918896,       -6.35756956,      -3.328430401,      -5.937943006,      0.9329898399,      0.4400312367,      0.8921163233,                 0,                 0,                 0,     0.09476042966,      0.1599743942,      0.9817877656,                 0,       2.027393168,      0.9681647075,      -3.173988997,      -3.283610212,      -3.503646646,      -3.125132492,      -4.020488689,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         28,          11,      -8.982124159,      -6.410386882,      -6.512604298,      -3.489063153,      -5.803199506,      0.9329898399,      0.4404274151,      0.8813815764,                 0,                 0,                 0,     0.09145423721,      0.1634917977,      0.9716379074,                 0,       2.001195989,       0.953135778,      -3.298217805,      -3.418449184,      -3.674457622,      -3.260542698,      -3.913552769,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         29,          12,      -8.965433944,      -6.682155969,      -6.680415372,      -3.485594871,      -5.895789863,      0.9329898399,      0.4414943053,      0.8702584854,                 0,                 0,                 0,      0.0897854522,      0.1677641469,      0.9613127712,                 0,       1.971165823,      0.9291084409,       -3.25015067,      -3.697155359,      -3.849700337,      -3.227662997,      -4.056102116,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         30,          11,      -9.175692834,      -6.544988115,       -6.70953828,      -3.682332641,      -5.917906481,      0.9329898399,       0.443505256,      0.8633279276,                 0,                 0,                 0,     0.08997399612,      0.1717135277,      0.9552729909,                 0,       1.946601344,        0.90208258,      -3.427593783,      -3.565710871,      -3.882178561,      -3.393465271,      -4.141996527,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         31,          11,      -9.064901415,      -6.480097799,      -6.615078544,      -3.582717491,      -5.758902139,      0.9329898399,       0.446881643,      0.8640060845,                 0,                 0,                 0,     0.09198363029,      0.1747441088,      0.9569086756,                 0,       1.933411448,       0.893057692,      -3.284427941,      -3.504134202,      -3.792409633,      -3.264394535,        -4.0507545,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         32,          19,      -7.961501343,      -5.479982664,      -5.444389798,      -2.488251746,      -5.362258141,      0.9329898399,      0.4517719732,      0.8735848362,                 0,                 0,                 0,     0.09541296207,      0.1766201988,      0.9674986756,                 0,       1.933685328,       0.897033972,      -2.150297302,       -2.50503257,      -2.631838521,      -2.140049321,       -3.71543709,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         33,          19,       -8.73006363,      -6.198470202,      -6.193473106,      -3.261728215,      -5.960147714,      0.9329898399,      0.4581525546,      0.8914358138,                 0,                 0,                 0,      0.1007333456,      0.1775028584,      0.9864351517,                 0,       1.945718309,      0.9180113612,      -2.898201026,      -3.232577918,      -3.397098167,      -2.898113698,      -4.359864473,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         34,          11,      -9.176473074,      -6.540243637,      -6.684927289,      -3.691361176,      -5.780064887,      0.9329898399,      0.4654664761,      0.9147456888,                 0,                 0,                 0,       0.106771761,      0.1776820484,        1.01086488,                 0,       1.965223568,       0.946990157,      -3.325041048,       -3.59770696,      -3.902927164,      -3.312997476,      -4.208401321,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         35,          12,      -9.224660043,      -6.673213033,      -6.782029861,      -3.737279653,      -5.978205371,      0.9329898399,      0.4734249538,      0.9390871059,                 0,                 0,                 0,      0.1128201914,      0.1781760369,       1.036469526,                 0,       1.983602889,      0.9749706259,      -3.364286632,      -3.770084285,      -4.008529936,      -3.355179717,      -4.418912808,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         36,          12,      -8.985323406,      -6.531648444,      -6.551792289,      -3.489288101,      -5.940912518,      0.9329898399,      0.4810714374,       0.958460587,                 0,                 0,                 0,      0.1174920665,      0.1798241478,       1.057232094,                 0,       1.992345653,      0.9899531553,      -3.110396058,      -3.659197026,      -3.788425981,      -3.097068142,      -4.387385767,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         37,          11,      -9.241846351,      -6.567016324,      -6.748428261,      -3.749834502,      -5.859108116,      0.9329898399,       0.486172424,      0.9672104738,                 0,                 0,                 0,      0.1191118583,      0.1821440262,       1.067091036,                 0,       1.989439191,      0.9939377201,      -3.357136221,      -3.710062192,      -3.996170137,      -3.349719456,      -4.311826894,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         38,          14,      -9.144548375,      -6.688444001,       -6.75412108,       -3.72274003,       -6.11382025,      0.9329898399,      0.4872946825,      0.9618556053,                 0,                 0,                 0,      0.1168777385,      0.1847828594,       1.062298267,                 0,       1.973868462,      0.9919242112,      -3.251675973,      -3.834563629,      -4.009182881,      -3.309218068,      -4.573910149,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         39,          12,       -9.36706407,      -6.715459693,      -6.883462978,      -3.879140936,      -6.035993881,      0.9329898399,      0.4847319112,      0.9438103054,                 0,                 0,                 0,      0.1119240826,      0.1876080041,       1.044292179,                 0,       1.947076897,      0.9819127282,      -3.450974375,      -3.859612561,      -4.147314413,      -3.438561113,      -4.503908777,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         40,          11,      -9.184510943,      -6.533964918,      -6.696580179,      -3.687536252,      -5.838390962,      0.9329898399,      0.4799316853,      0.9190387666,                 0,                 0,                 0,      0.1063880024,      0.1902600223,       1.019199588,                 0,       1.914936635,      0.9659032474,      -3.245982399,      -3.689616753,      -3.973140653,      -3.226555704,      -4.321301939,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         41,          12,      -9.374470511,      -6.659135101,      -6.855078822,      -3.877020085,      -6.016943246,      0.9329898399,      0.4746156494,      0.8941320914,                 0,                 0,                 0,      0.1017096314,      0.1924582789,       0.993826958,                 0,       1.883907732,      0.9408958748,      -3.434171211,      -3.826239706,      -4.149755139,      -3.420576236,      -4.546991183,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         42,          12,      -9.313394433,      -6.654122199,      -6.852358862,       -3.82041513,      -6.024053439,      0.9329898399,      0.4698311316,      0.8750338694,                 0,                 0,                 0,     0.09870708236,      0.1934666016,      0.9741643798,                 0,       1.862443356,      0.9158903772,      -3.367431066,      -3.820533445,      -4.165502921,      -3.320232605,      -4.641201081,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         43,          12,      -9.193761007,      -6.641289536,      -6.805530186,      -3.701041835,      -6.014630305,      0.9329898399,      0.4668316665,      0.8660036512,                 0,                 0,                 0,     0.09797271177,      0.1932383792,      0.9646517805,                 0,       1.855066212,       0.905886397,      -3.280891809,      -3.803811452,      -4.140175919,      -3.303603896,      -4.723984842,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         44,          12,      -8.891171476,      -6.560979801,      -6.532114251,       -3.40864482,      -5.959212567,      0.9329898399,      0.4657305769,      0.8676321738,                 0,                 0,                 0,     0.09913759247,      0.1917092679,      0.9658872169,                 0,       1.862948702,      0.9078840121,      -2.948677959,      -3.723800152,      -3.891056152,      -2.914381045,      -4.734579513,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         45,          12,      -9.264866116,      -6.628403732,      -6.799818543,       -3.77055045,      -6.000365124,      0.9329898399,      0.4666602619,       0.878870762,                 0,                 0,                 0,      0.1020294253,       0.189312485,      0.9769065459,                 0,       1.883320337,        0.92588312,      -3.462956272,      -3.797918176,      -4.174551145,      -3.488016585,       -4.81682091,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         46,          12,      -9.121174939,      -6.553918706,      -6.639980618,       -3.63365241,      -5.902603992,      0.9329898399,      0.4697244297,      0.8967923649,                 0,                 0,                 0,      0.1062475034,      0.1870029936,      0.9949409359,                 0,       1.909188256,      0.9518839365,      -3.263188815,      -3.734812356,      -4.027377077,       -3.28493723,      -4.749613789,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         47,          13,      -9.127588694,      -6.657248335,      -6.691866723,      -3.641403324,      -5.963058374,      0.9329898399,      0.4742672147,      0.9165953096,                 0,                 0,                 0,      0.1108330705,      0.1855574598,       1.015206768,                 0,       1.932655855,      0.9778866695,      -3.270200023,      -3.834816828,      -4.091698825,      -3.296511874,      -4.841169802,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         48,          14,      -9.229067562,       -6.73734708,      -6.740291863,      -3.734692749,      -5.981717049,      0.9329898399,      0.4784386485,       0.931486662,                 0,                 0,                 0,      0.1138626341,      0.1851928117,       1.030667048,                 0,       1.946930217,      0.9918916287,      -3.381367842,      -3.934637286,      -4.148735189,      -3.403350796,      -4.882790209,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         49,          12,      -9.346541799,      -6.679475696,      -6.828925612,      -3.851316128,      -6.009811973,      0.9329898399,      0.4795973364,      0.9349460252,                 0,                 0,                 0,       0.113354975,      0.1852894505,       1.034314021,                 0,        1.94943957,      0.9928988431,      -3.517272051,      -3.889716296,      -4.243317547,      -3.519694464,      -4.928289626,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         50,          12,      -9.218679167,      -6.659754227,      -6.753576635,      -3.732473813,      -5.932999028,      0.9329898399,      0.4764650298,      0.9242842577,                 0,                 0,                 0,      0.1090046779,        0.18541121,       1.023202324,                 0,        1.93987848,       0.987908079,      -3.300799773,      -3.865172037,      -4.171006063,      -3.316149437,      -4.867365612,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         51,          11,      -9.042886162,      -6.462379749,      -6.565662476,      -3.554083485,      -5.783231615,      0.9329898399,      0.4700827909,      0.9029422744,                 0,                 0,                 0,      0.1026817585,      0.1855476366,       1.000926898,                 0,       1.920815422,      0.9739194093,      -3.308217034,      -3.658663839,      -3.981635527,      -3.323510984,      -4.730884219,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         52,          12,      -9.175641222,      -6.609147263,       -6.72712753,      -3.672344444,      -5.934895394,      0.9329898399,      0.4625137518,      0.8776201601,                 0,                 0,                 0,     0.09661336821,      0.1857127983,      0.9744982671,                 0,       1.897500683,      0.9499328186,      -3.229293178,      -3.814654651,      -4.132669248,      -3.226605813,      -4.889792894,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         53,          12,      -9.314768315,      -6.654130768,      -6.809275866,       -3.81847183,      -5.963358528,      0.9329898399,      0.4550010288,      0.8549370793,                 0,                 0,                 0,     0.09203908593,      0.1851602365,      0.9506098215,                 0,       1.878978343,      0.9159483044,      -3.420830226,      -3.869388161,      -4.201609319,      -3.390370022,      -4.917255689,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         54,          12,      -9.317656194,      -6.659802664,      -6.860016809,      -3.821540173,      -6.022251567,      0.9329898399,      0.4484558838,      0.8399227711,                 0,                 0,                 0,     0.08955033013,      0.1832908421,      0.9343379519,                 0,       1.872921733,      0.8959651612,       -3.38886705,       -3.87140134,      -4.245910092,      -3.389970266,      -4.974575934,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         55,          13,      -9.020704648,       -6.73732213,      -6.552364944,      -3.540118281,       -5.94328158,      0.9329898399,      0.4435561892,      0.8349986086,                 0,                 0,                 0,     0.08925011571,      0.1800449266,      0.9281964198,                 0,       1.882509204,      0.8919833141,      -3.249301558,      -3.939410953,      -3.927055667,      -3.278848415,      -4.889744184,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         56,          12,      -9.176493863,      -6.604748654,      -6.676205312,      -3.685970847,      -5.912898457,      0.9329898399,      0.4409695483,      0.8408009469,                 0,                 0,                 0,     0.09125779779,      0.1758748701,      0.9329889629,                 0,       1.906709772,      0.9050027058,      -3.326640537,      -3.800383361,      -4.049085995,      -3.343549026,       -4.84751815,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
         57,          13,      -8.862425625,      -6.582445446,      -6.347603076,      -3.386375724,      -6.006947889,      0.9329898399,      0.4411066619,      0.8557882313,                 0,                 0,                 0,     0.09528784406,      0.1716241346,      0.9473614624,                 0,       1.940093644,      0.9340233016,       -3.06497725,       -3.78687415,      -3.716935835,      -3.098989889,      -4.927963062,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
