"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633488096534463e-05, 1.316779961201991e+00, 6.831700255591862e-01, 9.948941421306344e-02, 3.765068009328152e+00
1, 9.990000128750000e-01, -1.456271931799346e-04, 1.189661607386729e+00, 6.774789960711278e-01, 9.970430225518029e-02, 3.411190821880379e+00
2, 9.977599978450000e-01, -3.292053376779115e-04, 1.187158244796195e+00, 7.209763281910301e-01, 1.097103645181024e-01, 3.411822044334666e+00
3, 9.960200190539999e-01, -5.990903591397690e-04, 1.180002112244704e+00, 7.316914538424045e-01, 1.196759432402767e-01, 3.394190850853638e+00
4, 9.937800168990000e-01, -9.801736813555859e-04, 1.177299853781228e+00, 7.313415403749179e-01, 1.345418642136003e-01, 3.387119606943805e+00
5, 9.910500049590000e-01, -1.513403200122894e-03, 1.175689190255607e+00, 7.314838617325145e-01, 1.567042983621380e-01, 3.383479015251412e+00
6, 9.878399968150000e-01, -2.252692089780316e-03, 1.170077914089854e+00, 7.333046676145518e-01, 1.849727988743004e-01, 3.369486027899219e+00
7, 9.841300249100000e-01, -3.258936993030150e-03, 1.158712708366691e+00, 7.417501114858651e-01, 2.166675610693064e-01, 3.341226073778091e+00
8, 9.799500107769999e-01, -4.557382045673766e-03, 1.139766800779536e+00, 7.592284900876802e-01, 2.473957925314892e-01, 3.294097346973905e+00
9, 9.752799868580000e-01, -6.142735752420125e-03, 1.112919959626188e+00, 7.860835597847358e-01, 2.713253020112916e-01, 3.227236643989112e+00
10, 9.701499938960000e-01, -7.939964605575188e-03, 1.079382390536049e+00, 8.201787418475059e-01, 2.830776555178909e-01, 3.143528440792404e+00
11, 9.645400047300000e-01, -9.849548433580291e-03, 1.041581242923272e+00, 8.567033759125251e-01, 2.792650447342052e-01, 3.048650379343238e+00
12, 9.584699869160000e-01, -1.174737072007916e-02, 1.006344721584105e+00, 8.893179945264700e-01, 2.605947060820689e-01, 2.959834491891321e+00
13, 9.519400000570000e-01, -1.354169740009419e-02, 9.824052610207763e-01, 9.131786569170361e-01, 2.326064567769167e-01, 2.899542106450635e+00
14, 9.449599981310000e-01, -1.518865857604387e-02, 9.729565906641674e-01, 9.267909430981564e-01, 2.032499381308868e-01, 2.875949363789594e+00
15, 9.375399947170000e-01, -1.669969135356925e-02, 9.748017729814451e-01, 9.313960272848943e-01, 1.791288514254579e-01, 2.880804985549770e+00
16, 9.296900033950000e-01, -1.812542933542333e-02, 9.820665722689360e-01, 9.302872323624326e-01, 1.633462834113079e-01, 2.899230165605428e+00
17, 9.214000105860000e-01, -1.953366169133392e-02, 9.895422939691962e-01, 9.270873889358344e-01, 1.555932951069764e-01, 2.918116535566822e+00
18, 9.126999974250000e-01, -2.097686604388070e-02, 9.940746448572478e-01, 9.244006674630375e-01, 1.535468907080546e-01, 2.929510449865177e+00
