"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Nu_Tilde","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Velocity:0","Velocity:1","Velocity:2","Y_Plus","Points:0","Points:1","Points:2"
1.1223,0,3.2242,-0,6.068e-08,0,0,0,0,0,1.2897,0.55231,0.0017113,0.0015543,0.0029341,1.1338,0,0,0,1.8118,0.37557,0.65,0.0021748
0.99164,0,2.845,-0,6.0621e-08,0,0,0,0,0,1.138,0.249,0.00064078,0.00014326,-7.8537e-05,1.1323,0,0,0,0.71687,0.9869,0.65,0.00033675
0.99454,0,2.8537,-0,6.0626e-08,0,0,0,0,0,1.1415,0.2559,4.5922e-05,4.7178e-05,-0.00017286,1.1324,0,0,0,0.39663,0.98933,0.65,1.8468e-05
0.9913,0,2.844,-0,6.062e-08,0,0,0,0,0,1.1376,0.2482,0.0006309,0.00015246,-7.6906e-05,1.1323,0,0,0,0.71338,0.98667,0.65,0.00036631
0.82827,0,2.3665,-0,6.0432e-08,0,0,0,0,0,0.9466,-0.13383,0.001671,0.00011926,-0.00013208,1.1276,0,0,0,1.0476,0.79642,0.65,0.020928
0.71597,0,2.0411,-0,6.0331e-08,0,0,0,0,0,0.81645,-0.39414,0.0020706,3.2008e-05,-0.00010136,1.1251,0,0,0,1.0837,0.69918,0.65,0.027667
0.72101,0,2.0557,-0,6.0336e-08,0,0,0,0,0,0.82229,-0.38246,0.0020481,3.734e-05,-0.00010285,1.1252,0,0,0,1.0809,0.70322,0.65,0.027406
0.77911,0,2.2243,-0,6.0395e-08,0,0,0,0,0,0.8897,-0.24763,0.0018183,9.8596e-05,-0.00012162,1.1267,0,0,0,1.0593,0.7436,0.65,0.024971
0.82578,0,2.3593,-0,6.043e-08,0,0,0,0,0,0.94372,-0.13959,0.001679,0.00011854,-0.00013148,1.1276,0,0,0,1.0483,0.79375,0.65,0.021125
0.85992,0,2.4568,-0,6.0429e-08,0,0,0,0,0,0.98271,-0.06162,0.0022269,8.9026e-05,0.00020886,1.1275,0,0,0,1.2319,0.8548,0.65,-0.015691
0.85399,0,2.4394,-0,6.0422e-08,0,0,0,0,0,0.97577,-0.075483,0.0022685,7.9728e-05,0.00020731,1.1274,0,0,0,1.2392,0.84399,0.65,-0.016735
0.78883,0,2.2476,-0,6.0307e-08,0,0,0,0,0,0.89905,-0.22894,0.0032543,-0.00014285,-3.1231e-05,1.1245,0,0,0,1.4265,0.57983,0.65,-0.029863
