"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633242182329692e-05, 1.321694341916951e+00, 6.900359980730715e-01, 1.003821744043216e-01, 3.779756920258499e+00
1, 9.990000128750000e-01, -1.454719496723848e-04, 1.190726789693261e+00, 6.956849840576291e-01, 1.017894939524181e-01, 3.417179728877977e+00
2, 9.977599978450000e-01, -3.275032266979705e-04, 1.182938065610577e+00, 7.469624101874874e-01, 1.114010989723292e-01, 3.404786937355098e+00
3, 9.960200190539999e-01, -5.899047378053576e-04, 1.170808626858781e+00, 7.653316521689258e-01, 1.191289709267102e-01, 3.374902214969077e+00
4, 9.937800168990000e-01, -9.470137788373464e-04, 1.163675392992229e+00, 7.723214829080357e-01, 1.292846112494509e-01, 3.356864239850012e+00
5, 9.910500049590000e-01, -1.421872194876439e-03, 1.158805489995457e+00, 7.788060999221381e-01, 1.439598658195926e-01, 3.345181728675306e+00
6, 9.878399968150000e-01, -2.045007867922968e-03, 1.151587053095646e+00, 7.850114495321978e-01, 1.623123801417992e-01, 3.327211410294458e+00
7, 9.841300249100000e-01, -2.852677354414248e-03, 1.140693350458981e+00, 7.949586850449858e-01, 1.825851938144718e-01, 3.300096179565315e+00
8, 9.799500107769999e-01, -3.857170760212369e-03, 1.124768746112539e+00, 8.101310819505173e-01, 2.016624055489534e-01, 3.260392272630051e+00
9, 9.752799868580000e-01, -5.055678822360772e-03, 1.103866396855717e+00, 8.305678922999803e-01, 2.156382360334897e-01, 3.208217650354871e+00
10, 9.701499938960000e-01, -6.401524295797864e-03, 1.079167552796256e+00, 8.546232675149331e-01, 2.212800278145566e-01, 3.146440044390024e+00
11, 9.645400047300000e-01, -7.836487202317693e-03, 1.053285848221429e+00, 8.790475518662290e-01, 2.170601106658053e-01, 3.081480416834899e+00
12, 9.584699869160000e-01, -9.285627211816217e-03, 1.030662318394091e+00, 9.002260854982721e-01, 2.041678687340097e-01, 3.024592758198150e+00
13, 9.519400000570000e-01, -1.069412056971904e-02, 1.015030984814859e+00, 9.156425722540494e-01, 1.863179637611507e-01, 2.985289901397182e+00
14, 9.449599981310000e-01, -1.203468418790318e-02, 1.007351704899039e+00, 9.246962452761566e-01, 1.681394125665662e-01, 2.966020066228413e+00
15, 9.375399947170000e-01, -1.331250303984569e-02, 1.005778064432868e+00, 9.284342548417701e-01, 1.532857081858108e-01, 2.962084124884138e+00
16, 9.296900033950000e-01, -1.455578026432948e-02, 1.007236297030029e+00, 9.289448691774254e-01, 1.433882048631633e-01, 2.965732332236928e+00
17, 9.214000105860000e-01, -1.580380626768237e-02, 1.008963423776566e+00, 9.283390403270838e-01, 1.381880914880203e-01, 2.970021731035398e+00
18, 9.126999974250000e-01, -1.708483096388552e-02, 1.009246468679693e+00, 9.280980923699379e-01, 1.363059718242865e-01, 2.970648499783235e+00
19, 9.035800099370001e-01, -1.842095689684580e-02, 1.007531797477490e+00, 9.288708353819732e-01, 1.361390501750065e-01, 2.966222082929816e+00
20, 8.940600156780000e-01, -1.981678175150229e-02, 1.004032686569804e+00, 9.307173070499940e-01, 1.364032832479549e-01, 2.957288832881325e+00
21, 8.841500282290000e-01, -2.126855979231507e-02, 9.992803602504046e-01, 9.333423762543771e-01, 1.363332574416976e-01, 2.945182738326128e+00
22, 8.738499879840000e-01, -2.276885912268872e-02, 9.938287259570658e-01, 9.363691573108643e-01, 1.356338587416140e-01, 2.931292884141654e+00
23, 8.631799817090000e-01, -2.430608864009033e-02, 9.881194099074331e-01, 9.395092434695381e-01, 1.343215571932923e-01, 2.916736389565950e+00
24, 8.521599769590000e-01, -2.586987816711939e-02, 9.823993788649359e-01, 9.425616942452655e-01, 1.325445904750946e-01, 2.902130461131470e+00
25, 8.407700061800000e-01, -2.745741660852283e-02, 9.767671481468677e-01, 9.454583242789919e-01, 1.304786318708560e-01, 2.887727519209725e+00
26, 8.290500044819999e-01, -2.905918594932293e-02, 9.712122043672173e-01, 9.481878868011355e-01, 1.282450144189966e-01, 2.873499762850728e+00
27, 8.170099854470000e-01, -3.067102463275011e-02, 9.656810381070119e-01, 9.507852635394610e-01, 1.259103361014713e-01, 2.859314970744945e+00
28, 8.046399950980000e-01, -3.229174813096417e-02, 9.601136015577229e-01, 9.532601654304922e-01, 1.234880590156052e-01, 2.845015036626035e+00
29, 7.919700145720000e-01, -3.391477435952553e-02, 9.544874357272999e-01, 9.556381409576035e-01, 1.209598703059301e-01, 2.830546391317414e+00
30, 7.790099978450000e-01, -3.553586429878231e-02, 9.487948167596282e-01, 9.579427633736870e-01, 1.183019181214933e-01, 2.815894583634003e+00
31, 7.657799720760000e-01, -3.714913488859144e-02, 9.430044880472711e-01, 9.601554983311895e-01, 1.154822237303312e-01, 2.800970187392264e+00
32, 7.522799968720000e-01, -3.875080183550536e-02, 9.370900599426489e-01, 9.622775254845609e-01, 1.124816083874818e-01, 2.785703226445233e+00
33, 7.385200262070000e-01, -4.033557796212866e-02, 9.310832049470114e-01, 9.643091574542707e-01, 1.092909146275352e-01, 2.770178915421719e+00
34, 7.245299816130000e-01, -4.189587675794069e-02, 9.250549773449314e-01, 9.662215901128987e-01, 1.059061119144121e-01, 2.754578572319470e+00
35, 7.103199958800001e-01, -4.342654135847761e-02, 9.190673551344212e-01, 9.679921186471214e-01, 1.023335551313857e-01, 2.739060600888523e+00
36, 6.958900094030001e-01, -4.492361853254270e-02, 9.131790747060651e-01, 9.696369407793719e-01, 9.859186969028677e-02, 2.723786147934622e+00
37, 6.812700033190000e-01, -4.638032020149055e-02, 9.074015670486189e-01, 9.711108386442275e-01, 9.469418411475512e-02, 2.708771377792829e+00
38, 6.664699912070000e-01, -4.779239983829035e-02, 9.017881234462813e-01, 9.724447048667275e-01, 9.066903318367980e-02, 2.694166835253382e+00
39, 6.514999866490000e-01, -4.915602417295787e-02, 8.963695326497403e-01, 9.736311968922959e-01, 8.654202772012942e-02, 2.680051196281486e+00
40, 6.363800168040000e-01, -5.046697251754940e-02, 8.911818707338311e-01, 9.746653705190199e-01, 8.234034089427125e-02, 2.666517526297256e+00
41, 6.211299896240000e-01, -5.172170054110961e-02, 8.862800819130248e-01, 9.755687785536704e-01, 7.809368318740366e-02, 2.653716802182208e+00
42, 6.057599782940000e-01, -5.291808784550317e-02, 8.817080438118101e-01, 9.763293463783830e-01, 7.382824637224238e-02, 2.641759690670240e+00
43, 5.902799963950000e-01, -5.405452082264800e-02, 8.775266542146741e-01, 9.769822630762500e-01, 6.957241767917592e-02, 2.630816490790848e+00
44, 5.747100114820000e-01, -5.512920399531644e-02, 8.737344123433888e-01, 9.775171934128897e-01, 6.534742640714332e-02, 2.620877883198302e+00
45, 5.590599775310000e-01, -5.614159192369115e-02, 8.703080838278062e-01, 9.779729070365580e-01, 6.117907186939987e-02, 2.611893101803629e+00
46, 5.433599948880000e-01, -5.709036764771555e-02, 8.671968799802677e-01, 9.783359561409219e-01, 5.708068463392783e-02, 2.603722051211499e+00
47, 5.276100039480000e-01, -5.797653012929259e-02, 8.644531486550291e-01, 9.786435249113684e-01, 5.307136288102455e-02, 2.596513317345561e+00
48, 5.118399858470000e-01, -5.879968242398158e-02, 8.622002124008313e-01, 9.788833669782464e-01, 4.915519369737469e-02, 2.590586242135196e+00
49, 4.960500001910000e-01, -5.956133394770263e-02, 8.605915079816281e-01, 9.791021699812470e-01, 4.534238178841089e-02, 2.586358500999892e+00
50, 4.802699983120000e-01, -6.026169371530039e-02, 8.596220346176627e-01, 9.792856632008881e-01, 4.162910478337862e-02, 2.583810471439051e+00
51, 4.645099937920000e-01, -6.090208903132226e-02, 8.590998880285551e-01, 9.794374168743238e-01, 3.801156808618195e-02, 2.582436567327459e+00
52, 4.487800002100000e-01, -6.148380774348183e-02, 8.588796300707495e-01, 9.795140223126984e-01, 3.447959361716692e-02, 2.581838779655442e+00
53, 4.331099987030000e-01, -6.200739129916885e-02, 8.595127386975510e-01, 9.795186821759251e-01, 3.101733235533866e-02, 2.583470290527591e+00
54, 4.174999892710000e-01, -6.247431717737881e-02, 8.626435321045147e-01, 9.794861824888783e-01, 2.760993884185579e-02, 2.591676220470909e+00
55, 4.019699990750000e-01, -6.288517140534636e-02, 8.702445805311676e-01, 9.794650480805092e-01, 2.423499719478951e-02, 2.611686983317199e+00
56, 3.865399956700000e-01, -6.324036325481804e-02, 8.811926681975971e-01, 9.794559290352234e-01, 2.086676791713668e-02, 2.640575454003093e+00
57, 3.712300062180000e-01, -6.354006998496220e-02, 8.859219637536333e-01, 9.794759238263582e-01, 1.747396563655505e-02, 2.653066881430099e+00
58, 3.560400009160000e-01, -6.378448674706731e-02, 8.687719744890435e-01, 9.794972077083320e-01, 1.402324480729268e-02, 2.607747430992874e+00
59, 3.409900069240000e-01, -6.397300936420178e-02, 8.231097155249049e-01, 9.774336127338671e-01, 1.045545152758868e-02, 2.487016669052174e+00
60, 3.261100053790000e-01, -6.410464313772260e-02, 7.812196485896400e-01, 9.733456964473155e-01, 6.753430887995322e-03, 2.376308123712352e+00
61, 3.113999962810000e-01, -6.417831575491367e-02, 7.656651764189574e-01, 9.704952242904061e-01, 2.910499745024735e-03, 2.334923142394999e+00
