"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632992137441646e-05, 1.306918996616725e+00, 7.390454212086114e-01, 1.073951152496438e-01, 3.746554358205631e+00
1, 9.990000128750000e-01, -1.453141166369706e-04, 1.168418028078288e+00, 7.269783674183926e-01, 1.057370746311309e-01, 3.360993544546584e+00
2, 9.977599978450000e-01, -3.257730902026002e-04, 1.158291691017421e+00, 7.790058008939809e-01, 1.137813420922683e-01, 3.342894868486931e+00
3, 9.960200190539999e-01, -5.805710762012425e-04, 1.142956629133325e+00, 8.015200075672372e-01, 1.183282665396203e-01, 3.305254250720956e+00
4, 9.937800168990000e-01, -9.133370209275755e-04, 1.131909169650330e+00, 8.125300929799938e-01, 1.223555881318770e-01, 3.277265704696365e+00
5, 9.910500049590000e-01, -1.328985200024242e-03, 1.124349888099117e+00, 8.230850009490155e-01, 1.276383277622466e-01, 3.258882273877911e+00
6, 9.878399968150000e-01, -1.834474241897159e-03, 1.116469889886677e+00, 8.312744774742312e-01, 1.336388609873019e-01, 3.239216518654255e+00
7, 9.841300249100000e-01, -2.441467631354340e-03, 1.108059297344048e+00, 8.398613077654137e-01, 1.400231559105194e-01, 3.218261916294296e+00
8, 9.799500107769999e-01, -3.149906605450299e-03, 1.098450494554096e+00, 8.492674151063039e-01, 1.458003255073544e-01, 3.194263181857289e+00
9, 9.752799868580000e-01, -3.960822319621241e-03, 1.087712931923977e+00, 8.596039778496490e-01, 1.498322753155129e-01, 3.167412348852713e+00
10, 9.701499938960000e-01, -4.858087192380409e-03, 1.076397911280435e+00, 8.703906335429553e-01, 1.512857847591760e-01, 3.139089171779515e+00
11, 9.645400047300000e-01, -5.827577960040056e-03, 1.065440134293699e+00, 8.807517110620847e-01, 1.499337482459657e-01, 3.111631043653967e+00
12, 9.584699869160000e-01, -6.846419663445007e-03, 1.055863236700166e+00, 8.898261768883475e-01, 1.462999503138466e-01, 3.087622565689510e+00
13, 9.519400000570000e-01, -7.899196109171468e-03, 1.048259480349664e+00, 8.970364013035205e-01, 1.414589538675113e-01, 3.068543543469053e+00
14, 9.449599981310000e-01, -8.976889371821178e-03, 1.042642805560828e+00, 9.023399477466515e-01, 1.366067417804958e-01, 3.054432286775136e+00
15, 9.375399947170000e-01, -1.007923680894491e-02, 1.038514220070477e+00, 9.060978100740431e-01, 1.326382565251978e-01, 3.044030944108414e+00
16, 9.296900033950000e-01, -1.121217286595795e-02, 1.035152990553428e+00, 9.089135613989401e-01, 1.299383346472862e-01, 3.035534108504927e+00
17, 9.214000105860000e-01, -1.238660986209630e-02, 1.031905088340617e+00, 9.113620160272812e-01, 1.284281956648816e-01, 3.027303999334178e+00
18, 9.126999974250000e-01, -1.360638699019173e-02, 1.028360302233790e+00, 9.138436808418782e-01, 1.277462799002475e-01, 3.018316683643611e+00
19, 9.035800099370001e-01, -1.487766915205338e-02, 1.024350708977676e+00, 9.165327855007848e-01, 1.274723222517732e-01, 3.008149049401807e+00
20, 8.940600156780000e-01, -1.619885481852206e-02, 1.019906303875123e+00, 9.194615667375444e-01, 1.272666208035653e-01, 2.996881783460009e+00
21, 8.841500282290000e-01, -1.756705629308013e-02, 1.015137677292085e+00, 9.225461166231206e-01, 1.269221438036252e-01, 2.984788138611774e+00
22, 8.738499879840000e-01, -1.897931207158857e-02, 1.010156074923361e+00, 9.256791241652230e-01, 1.263547605295308e-01, 2.972140127993800e+00
23, 8.631799817090000e-01, -2.042945767727163e-02, 1.005070602639473e+00, 9.288152503864626e-01, 1.255649024704015e-01, 2.959221738811758e+00
24, 8.521599769590000e-01, -2.191154656903341e-02, 9.999086802120282e-01, 9.318837303712433e-01, 1.245769249930508e-01, 2.946089802380162e+00
25, 8.407700061800000e-01, -2.342528832608034e-02, 9.946861622546493e-01, 9.348860874349898e-01, 1.234264482940711e-01, 2.932789015939614e+00
26, 8.290500044819999e-01, -2.496259402962385e-02, 9.893898245217190e-01, 9.378131005925064e-01, 1.221266737992301e-01, 2.919282065165234e+00
27, 8.170099854470000e-01, -2.651943608290814e-02, 9.840040359069707e-01, 9.406809670837643e-01, 1.206790079534509e-01, 2.905531747868962e+00
28, 8.046399950980000e-01, -2.809412939567660e-02, 9.785159737690203e-01, 9.434814737769907e-01, 1.190702153968015e-01, 2.891501490876936e+00
29, 7.919700145720000e-01, -2.967955613664924e-02, 9.729344756906688e-01, 9.462129785093277e-01, 1.172792021730584e-01, 2.877214483191011e+00
30, 7.790099978450000e-01, -3.127086201063715e-02, 9.672764780458596e-01, 9.488852815366008e-01, 1.152905619408209e-01, 2.862719005804231e+00
31, 7.657799720760000e-01, -3.286167390722753e-02, 9.615381524245543e-01, 9.514738860936898e-01, 1.130853922087687e-01, 2.847997930438052e+00
32, 7.522799968720000e-01, -3.444779906372076e-02, 9.557085980043835e-01, 9.539649607935644e-01, 1.106540699994904e-01, 2.833018444894524e+00
33, 7.385200262070000e-01, -3.602366002028289e-02, 9.498233612167719e-01, 9.563668353299861e-01, 1.079965287834869e-01, 2.817878649005221e+00
34, 7.245299816130000e-01, -3.758143483082339e-02, 9.439380748157524e-01, 9.586505006212656e-01, 1.051139318923620e-01, 2.802719301113085e+00
35, 7.103199958800001e-01, -3.911573170358542e-02, 9.380981899337908e-01, 9.607872305355004e-01, 1.020147854753550e-01, 2.787653526807166e+00
36, 6.958900094030001e-01, -4.062237930652679e-02, 9.323686456013365e-01, 9.628022605140240e-01, 9.872009980834157e-02, 2.772862018109001e+00
37, 6.812700033190000e-01, -4.209434764858998e-02, 9.267529878850823e-01, 9.646338153369703e-01, 9.524250785589938e-02, 2.758335416473821e+00
38, 6.664699912070000e-01, -4.352714614094925e-02, 9.213114361053636e-01, 9.663235765899914e-01, 9.161236477511106e-02, 2.744246112555663e+00
39, 6.514999866490000e-01, -4.491669586879735e-02, 9.160694696221321e-01, 9.678527143425193e-01, 8.785511620308536e-02, 2.730655496930647e+00
40, 6.363800168040000e-01, -4.625851028194793e-02, 9.110654681564674e-01, 9.692219790621479e-01, 8.399960019543116e-02, 2.717664865641854e+00
41, 6.211299896240000e-01, -4.754877362100118e-02, 9.063384115591506e-01, 9.704445414333496e-01, 8.007614709721919e-02, 2.705380602118787e+00
42, 6.057599782940000e-01, -4.878512010163714e-02, 9.019096807765896e-01, 9.715127002773333e-01, 7.611275676760626e-02, 2.693855686142911e+00
43, 5.902799963950000e-01, -4.996570345655647e-02, 8.978197203072765e-01, 9.724503668948388e-01, 7.213858198148825e-02, 2.683203246532321e+00
44, 5.747100114820000e-01, -5.108847732442504e-02, 8.940963856034511e-01, 9.732509542469950e-01, 6.817682500482598e-02, 2.673493339923875e+00
45, 5.590599775310000e-01, -5.215268488560126e-02, 8.907803530497909e-01, 9.739444594329466e-01, 6.425425731746939e-02, 2.664841347479681e+00
46, 5.433599948880000e-01, -5.315673903445175e-02, 8.878563046892191e-01, 9.745279682840230e-01, 6.038658546297258e-02, 2.657203910255777e+00
47, 5.276100039480000e-01, -5.410148120483070e-02, 8.852677733796305e-01, 9.750347856940190e-01, 5.659400905675251e-02, 2.650440477949426e+00
48, 5.118399858470000e-01, -5.498625702017727e-02, 8.829142353719761e-01, 9.754573673422609e-01, 5.288235160126929e-02, 2.644281303601749e+00
49, 4.960500001910000e-01, -5.581243984955581e-02, 8.808193508489048e-01, 9.758287552676196e-01, 4.926228328525838e-02, 2.638798402943063e+00
50, 4.802699983120000e-01, -5.657998917949938e-02, 8.792167228238341e-01, 9.761406103149263e-01, 4.573150300067592e-02, 2.634605536916208e+00
51, 4.645099937920000e-01, -5.729006702952928e-02, 8.784251495158216e-01, 9.764105065922498e-01, 4.228775869305596e-02, 2.632549480157353e+00
52, 4.487800002100000e-01, -5.794380228064032e-02, 8.783700890617466e-01, 9.766262985987928e-01, 3.892258133112558e-02, 2.632428040673297e+00
53, 4.331099987030000e-01, -5.854148618996150e-02, 8.783508876025115e-01, 9.767777098096764e-01, 3.562002043122910e-02, 2.632385352781378e+00
54, 4.174999892710000e-01, -5.908448620242367e-02, 8.778118464352410e-01, 9.768232764129468e-01, 3.236310996430142e-02, 2.630939094149911e+00
55, 4.019699990750000e-01, -5.957318481609380e-02, 8.782887319007504e-01, 9.767430941041243e-01, 2.912872631492676e-02, 2.632141703438487e+00
56, 3.865399956700000e-01, -6.000778444303480e-02, 8.839450224198843e-01, 9.765045937075999e-01, 2.589188650413000e-02, 2.646994872452713e+00
57, 3.712300062180000e-01, -6.038825154626581e-02, 8.974609538021734e-01, 9.759229343831208e-01, 2.261876721558366e-02, 2.682582043554969e+00
58, 3.560400009160000e-01, -6.071467661362746e-02, 9.089433576547027e-01, 9.751061601008201e-01, 1.928266047098211e-02, 2.712774466338634e+00
59, 3.409900069240000e-01, -6.098624555234268e-02, 8.929220018738742e-01, 9.748922481032865e-01, 1.586335376388766e-02, 2.670189716252882e+00
60, 3.261100053790000e-01, -6.120169464898341e-02, 8.244889775797709e-01, 9.727007506857789e-01, 1.228137519801534e-02, 2.489071460237456e+00
61, 3.113999962810000e-01, -6.135985071566114e-02, 7.593037086544251e-01, 9.668910919143751e-01, 8.504073738555443e-03, 2.317186211088178e+00
62, 2.968699932100000e-01, -6.145886861788317e-02, 7.413612104893862e-01, 9.635030320103036e-01, 4.561051701756045e-03, 2.269574306746602e+00
63, 2.825500071050000e-01, -6.149642142468349e-02, 7.437820795256596e-01, 9.636452512028011e-01, 3.775379546687617e-04, 2.275867721887486e+00
64, 2.684499919410000e-01, -6.147000303600788e-02, 7.473232578959338e-01, 9.641296676459864e-01, -4.128672749228498e-03, 2.285190660523184e+00
65, 2.545700073240000e-01, -6.137660324410483e-02, 7.468398417614162e-01, 9.639756555329649e-01, -9.003902960200880e-03, 2.283897860994512e+00
66, 2.409400045870000e-01, -6.121304918541005e-02, 7.451326577396662e-01, 9.636293465171780e-01, -1.430307822204331e-02, 2.279386473532674e+00
67, 2.275699973110000e-01, -6.097584411757173e-02, 7.438970406381953e-01, 9.631671555836293e-01, -2.008036094465811e-02, 2.276064856595204e+00
68, 2.144699990750000e-01, -6.066119558263020e-02, 7.433377094305148e-01, 9.628423331955354e-01, -2.640088016997305e-02, 2.274557848301934e+00
69, 2.016600072380000e-01, -6.026539909501833e-02, 7.434031511878693e-01, 9.626275529118460e-01, -3.333653163484265e-02, 2.274726849286048e+00
70, 1.891400069000000e-01, -5.978399849545153e-02, 7.444251367174862e-01, 9.627060405962293e-01, -4.096526581927511e-02, 2.277501926806217e+00
71, 1.769299954180000e-01, -5.921308253606884e-02, 7.465089999650451e-01, 9.630077096046008e-01, -4.937377787177168e-02, 2.283137703611499e+00
72, 1.650400012730000e-01, -5.854838188234623e-02, 7.493442762902165e-01, 9.633808666443237e-01, -5.864058211370026e-02, 2.290787964404225e+00
73, 1.534900069240000e-01, -5.778630044228032e-02, 7.525205482161217e-01, 9.636718035327627e-01, -6.885464719727565e-02, 2.299349305314543e+00
74, 1.422899961470000e-01, -5.692288700852668e-02, 7.561843570248374e-01, 9.639141950331963e-01, -8.012665515674275e-02, 2.309228454621632e+00
75, 1.314399987460000e-01, -5.595336405584073e-02, 7.609135147932821e-01, 9.641718137596077e-01, -9.258643294724116e-02, 2.321963764998397e+00
76, 1.209499984980000e-01, -5.487367313063995e-02, 7.670942156002630e-01, 9.644579675898791e-01, -1.063724692747284e-01, 2.338588076166760e+00
77, 1.108499988910000e-01, -5.368244173413931e-02, 7.747199647833529e-01, 9.646772286849717e-01, -1.216555057325428e-01, 2.359087896937229e+00
78, 1.011300012470000e-01, -5.237417203588006e-02, 7.834555514286881e-01, 9.643440012245964e-01, -1.385353714587846e-01, 2.382462615609216e+00
79, 9.181000292300000e-02, -5.094720108282499e-02, 7.933563093682445e-01, 9.634335914108679e-01, -1.572218349543466e-01, 2.408902642179175e+00
80, 8.290000259900000e-02, -4.939923545051917e-02, 8.046138304241900e-01, 9.617618268229846e-01, -1.779197845030628e-01, 2.438908953818161e+00
81, 7.440000027400000e-02, -4.772646198389427e-02, 8.174092478817857e-01, 9.589299646199010e-01, -2.008040888703006e-01, 2.472898148825075e+00
82, 6.633000075800000e-02, -4.592940528040858e-02, 8.320137882666081e-01, 9.546357796885163e-01, -2.261316461396864e-01, 2.511584940567777e+00
83, 5.869000032500000e-02, -4.400511796462768e-02, 8.485972758533969e-01, 9.482567492174133e-01, -2.540667422632765e-01, 2.555336685585927e+00
84, 5.149000138000000e-02, -4.195331937301153e-02, 8.674732745902867e-01, 9.391123975064065e-01, -2.847880139813753e-01, 2.604921810044344e+00
85, 4.473999887700000e-02, -3.977474765116781e-02, 8.890511390329676e-01, 9.262769234753242e-01, -3.183958951276697e-01, 2.661333554162968e+00
86, 3.844000026600000e-02, -3.746754769846780e-02, 9.136696324542136e-01, 9.085246347717748e-01, -3.547960482035500e-01, 2.725344114578442e+00
87, 3.260000050100000e-02, -3.503384874303385e-02, 9.416615385577718e-01, 8.843838344559276e-01, -3.936743943434183e-01, 2.797709854613398e+00
