Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.26504,284258,0,-246.877,31.4441,248.871,0.30257,0.787888,-134.049,2.09015,134.068,0.00916574,0.120108,0.943,0.950662,110861,0.174803,305.286,0.622818,-105.967,1.65252,105.982
1,1.40336,314304,0,-246.877,31.8274,248.92,0.317567,0.60213,-155.635,-0.682887,155.637,0.00916824,0.121572,0.943,0.950848,122267,0.383895,303.507,0.429401,-110.883,-0.52763,110.885
2,1.39392,299958,0,-246.877,30.9825,248.813,0.177677,1.46895,-85.4158,3.20206,85.4884,0.00915993,0.118344,0.943,0.950441,118931,0.322736,297.226,1.0538,-61.2791,2.30047,61.3313
3,1.25566,271376,0,-246.877,30.4289,248.745,0.189275,1.72716,-81.9608,7.17081,82.292,0.00914895,0.11623,0.943,0.95018,107470,0.112646,298.156,1.37557,-65.2545,5.70555,65.5179
4,1.04893,208939,0,-246.877,3.78143,246.906,0.164672,45.1829,33.8788,10.6562,57.4702,-0.016174,0.014444,0.943,0.943249,82945.7,-0.336911,275.471,43.0756,32.298,10.1592,54.7894
5,1.03029,203649,0,-246.877,1.75323,246.883,0.170149,39.459,41.6005,9.29574,58.0864,-0.0172916,0.00669683,0.943,0.943182,80804.7,-0.376158,273.214,38.3001,40.3783,9.02193,56.3799
6,1.07087,214747,0,-246.877,5.94134,246.948,0.16114,50.1954,26.0616,10.9904,57.6158,-0.0148201,0.0226942,0.943,0.943389,85278.6,-0.294146,277.418,46.8739,24.3367,10.2631,53.803
7,1.08924,220106,0,-246.877,8.19761,247.013,0.159612,54.154,17.711,12.228,58.274,-0.0132562,0.0313126,0.943,0.943613,87418.9,-0.254914,279.584,49.7173,16.26,11.2262,53.4998
8,1.18174,247131,0,-246.877,21.2789,247.792,0.179644,65.8287,-25.8169,15.1872,72.3227,-0.00217183,0.0812793,0.943,0.946499,97967.2,-0.0615519,288.795,55.7045,-21.8463,12.8517,61.1998
9,1.16713,242850,0,-246.877,19.3618,247.635,0.174446,64.8429,-19.0076,14.9385,69.203,-0.00396066,0.0739568,0.943,0.945904,96319.2,-0.0917611,287.491,55.5576,-16.2858,12.7993,59.2933
10,1.19626,251141,0,-246.877,23.0247,247.948,0.185463,66.7031,-32.1108,15.8374,75.705,-0.000501835,0.0879479,0.943,0.947092,99498,-0.0334905,289.746,55.7596,-26.8427,13.2391,63.2846
