Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.10416,220967,0,-168.337,-6.81097,168.475,0.122602,-11.6108,43.5943,2.93557,45.2094,-0.016686,-0.026016,0.643,0.643742,88015.9,-0.243969,277.69,-10.5153,39.4877,2.65706,40.9501
1,1.10598,221849,0,-168.337,-7.65661,168.511,0.120785,-21.4618,39.1057,1.84292,44.6459,-0.0164508,-0.0292461,0.643,0.643875,88377.9,-0.237334,278.374,-19.4052,35.3595,1.66579,40.3687
2,1.11767,224225,0,-168.337,-5.81623,168.437,0.111563,-2.61678,41.4785,3.55667,41.7128,-0.0168037,-0.0222164,0.643,0.643603,89378.4,-0.218993,278.576,-2.34148,37.1145,3.18482,37.3244
3,1.11842,224390,0,-168.337,-4.65839,168.401,0.112793,5.42704,41.6657,3.93639,42.2016,-0.0167766,-0.0177937,0.643,0.643465,89437.5,-0.21791,278.578,4.85243,37.2543,3.51947,37.7335
4,1.12303,225768,0,-168.337,-3.32613,168.37,0.109564,12.5813,38.9619,4.62875,41.2037,-0.0165759,-0.0127049,0.643,0.643339,90004.6,-0.207514,279.191,11.2034,34.6932,4.12401,36.6898
5,1.12817,227336,0,-168.337,-1.81253,168.347,0.10988,19.0056,36.6801,4.59532,41.5663,-0.0161733,-0.00692334,0.643,0.643241,90628,-0.196086,279.846,16.8468,32.5129,4.0742,36.8443
6,1.13582,229371,0,-168.337,-0.116957,168.337,0.109485,24.6677,33.2594,5.25782,41.7412,-0.0155446,-0.000446744,0.643,0.643188,91441.5,-0.181174,280.455,21.7186,29.2813,4.63066,36.7496
7,1.14075,230916,0,-168.337,1.75323,168.346,0.110645,29.5896,29.7937,6.03341,42.4218,-0.0146735,0.00669683,0.643,0.643202,92050.9,-0.170003,281.104,25.939,26.1178,5.28918,37.188
8,1.14888,233180,0,-168.337,3.78143,168.379,0.111767,33.8884,26.0652,6.26628,43.2098,-0.0135559,0.014444,0.643,0.643305,92947,-0.153577,281.832,29.4978,22.6874,5.45534,37.6112
9,1.1562,235344,0,-168.337,5.94134,168.442,0.111639,37.3183,21.1449,7.23473,43.4983,-0.012202,0.0226942,0.643,0.643516,93810.3,-0.137752,282.65,32.2777,18.2882,6.25826,37.6227
10,1.16316,237354,0,-168.337,8.19761,168.536,0.113269,40.2682,17.1352,7.78878,44.4501,-0.0106382,0.0313126,0.643,0.64385,94601.9,-0.123241,283.328,34.6205,14.7312,6.69734,38.2158
11,1.10277,221272,0,-168.337,-8.36834,168.545,0.13664,-32.9643,38.007,2.16263,50.3573,-0.0161217,-0.0319647,0.643,0.643996,88048.2,-0.243376,278.137,-29.8946,34.4709,1.96375,45.6704
12,1.10457,222285,0,-168.337,-8.96135,168.575,0.151588,-45.7864,32.2046,1.90126,56.0102,-0.0157184,-0.0342298,0.643,0.644102,88345.4,-0.23793,278.624,-41.4527,29.1573,1.72234,50.7094
13,1.20188,248698,0,-168.337,21.2789,169.677,0.12276,48.2621,-7.60745,11.171,50.1188,0.000446232,0.0812793,0.643,0.648117,99061.2,-0.041497,287.127,40.1553,-6.32959,9.29449,41.7001
14,1.19542,246908,0,-168.337,19.3618,169.447,0.120738,47.566,-4.04528,10.9823,48.9847,-0.0013426,0.0739568,0.643,0.647241,98361.7,-0.0543202,286.639,39.7908,-3.38436,9.18719,40.9776
15,1.20662,250294,0,-168.337,23.0247,169.904,0.124986,48.4481,-12.1984,11.5885,51.2866,0.00211623,0.0879479,0.643,0.64899,99681.5,-0.0301263,287.79,40.1526,-10.1099,9.60445,42.5051
16,1.2118,251842,0,-168.337,24.5897,170.123,0.127655,48.6538,-16.1911,11.9487,52.6508,0.00364605,0.0939256,0.643,0.649834,100279,-0.0191729,288.276,40.1502,-13.3611,9.86037,43.4486
17,1.18339,242228,0,-168.337,-0.829196,168.339,0.0936435,35.7812,10.0441,4.7728,37.4694,0.00381389,-0.0031673,0.643,0.643019,96653.8,-0.0856283,284.525,30.2368,8.4881,4.03332,31.6635
18,1.18184,241969,0,-168.337,1.03139,168.34,0.0826941,30.862,10.4697,5.5197,33.0536,0.0049457,0.00393963,0.643,0.643031,96602.6,-0.0865672,284.748,26.1143,8.85993,4.67051,27.9691
