Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.64994,393061,0,-288.765,32.1446,290.548,0.309861,0.104899,-180.875,35.1519,184.259,0.00777233,0.122784,1.103,1.10984,153108,0.949231,323.265,0.0635928,-109.628,21.3033,111.679
1,1.65248,333208,0,-288.765,32.4064,290.577,0.967145,-3.0527,-476.72,35.7131,478.066,0.00777156,0.123784,1.103,1.10995,105621,0.078754,222.661,-1.85003,-288.491,21.6057,289.305
2,1.09948,219680,0,-288.765,3.06167,288.781,0.124731,41.5122,11.1214,15.5819,45.7137,0.00199248,0.0116947,1.103,1.10306,87490.7,-0.253596,277.208,37.7563,10.1158,14.1696,41.577
3,1.11018,222582,0,-288.765,5.23561,288.812,0.106344,35.4699,7.39245,15.6356,39.4618,0.00296521,0.0199985,1.103,1.10319,88751.5,-0.230484,278.493,31.9497,6.659,14.0819,35.5447
4,1.08539,215877,0,-288.765,1.03139,288.767,0.146948,48.2909,14.7408,16.1138,52.9996,0.000931343,0.00393963,1.103,1.10301,85831.4,-0.284014,275.48,44.4919,13.5819,14.8425,48.8292
5,1.35766,307968,0,-288.765,-9.77985,288.93,0.46392,143.382,-162.154,25.5432,217.956,-0.0103041,-0.0373563,1.103,1.10368,116186,0.27241,298.128,105.624,-119.422,18.8325,160.539
6,1.26689,279892,0,-288.765,-9.34351,288.916,0.405438,132.494,-114.242,23.6807,176.541,-0.00934562,-0.0356896,1.103,1.10362,107031,0.104595,294.304,104.597,-90.1543,18.7161,139.35
7,1.40582,324813,0,-288.765,-10.1247,288.942,0.532876,146.617,-212.203,26.2394,259.258,-0.0112112,-0.0386735,1.103,1.10373,120355,0.348845,298.25,104.326,-150.912,18.6873,184.412
8,1.44518,328999,0,-288.765,31.8274,290.513,0.339141,0.414608,-169.754,29.159,172.241,0.00777194,0.121572,1.103,1.10971,127494,0.4797,307.325,0.286875,-117.465,20.1786,119.186
9,1.30446,298551,0,-288.765,31.4441,290.472,0.320628,0.730519,-145.391,25.5518,147.621,0.00776944,0.120108,1.103,1.10955,116079,0.270456,309.993,0.560005,-111.455,19.5903,113.165
10,1.40142,301100,0,-288.765,30.9825,290.422,0.157873,1.59397,-71.9606,25.8238,76.4705,0.00776363,0.118344,1.103,1.10936,119605,0.335096,297.312,1.1374,-51.3484,18.427,54.5665
11,1.1859,244412,0,-288.765,20.8917,289.52,0.0675743,12.0045,-19.8176,14.2423,27.1972,0.00695578,0.0798004,1.103,1.1059,97639.9,-0.0675524,286.82,10.1227,-16.711,12.0097,22.9338
12,1.20253,248550,0,-288.765,22.6904,289.655,0.0718635,10.3023,-23.0898,14.9356,29.3657,0.00718865,0.0866709,1.103,1.10642,99276.5,-0.0375503,287.594,8.56716,-19.2009,12.4206,24.4201
