Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.53105,341867,0,-215.461,32.1446,217.846,0.239718,0.315801,-128.419,9.03143,128.737,0.0102159,0.122784,0.823,0.832171,134582,0.609629,306.208,0.206355,-83.8799,5.88795,84.0866
1,1.41401,282637,0,-215.461,32.4064,217.884,0.693588,12.5123,-306.319,27.0021,307.761,0.0102151,0.123784,0.823,0.832319,99634.9,-0.0309804,245.49,8.64639,-216.66,19.0679,217.669
2,1.35312,297463,0,-215.461,31.8274,217.799,0.265672,0.460921,-124.397,10.9625,124.88,0.0102155,0.121572,0.823,0.831993,116679,0.281448,300.393,0.340603,-91.9522,8.10067,92.309
3,1.26084,277139,0,-215.461,31.4441,217.743,0.257391,0.671122,-112.383,9.72493,112.805,0.010213,0.120108,0.823,0.831781,108837,0.137705,300.706,0.53236,-89.1427,7.71268,89.4773
4,1.36626,289936,0,-215.461,30.9825,217.677,0.125174,1.30242,-57.8896,10.3959,58.8301,0.0102072,0.118344,0.823,0.831528,115467,0.25924,294.409,0.953334,-42.3652,7.61052,43.0539
5,1.24317,266144,0,-215.461,30.4289,217.599,0.16119,1.51581,-68.3582,10.1039,69.1175,0.0101962,0.11623,0.823,0.831229,105688,0.0799736,296.157,1.21931,-54.9979,8.1283,55.6087
6,1.26495,267131,0,-215.461,29.7683,217.508,0.119478,2.19872,-51.1497,8.26144,51.8592,0.0101775,0.113707,0.823,0.83088,106427,0.0935235,293.095,1.73821,-40.4381,6.53363,40.9994
7,1.26387,265198,0,-215.461,28.9846,217.402,0.0921123,2.93056,-38.6579,9.2373,39.8541,0.0101478,0.110713,0.823,0.830475,105828,0.0825377,291.694,2.31876,-30.5901,7.3101,31.5368
8,1.23295,258471,0,-215.461,28.0613,217.281,0.0927141,3.55783,-37.8257,9.32531,39.1204,0.0101024,0.107186,0.823,0.830012,103140,0.0332698,291.415,2.88558,-30.6779,7.56272,31.7278
9,1.23848,258043,0,-215.461,26.9825,217.144,0.0686484,4.56975,-27.1569,9.14112,29.0162,0.0100358,0.103065,0.823,0.829489,103081,0.0321829,289.947,3.68981,-21.9282,7.38096,23.4294
10,1.22505,254986,0,-215.461,25.734,216.992,0.0654628,5.48102,-25.0474,9.53642,27.3561,0.0099408,0.0982966,0.823,0.828909,101872,0.0100253,289.689,4.47405,-20.4448,7.78507,22.3297
11,1.21804,252853,0,-215.461,24.3051,216.827,0.0570648,6.59328,-20.7235,9.36268,23.6769,0.00980935,0.0928386,0.823,0.828278,101049,-0.00506589,289.002,5.41305,-17.0143,7.68673,19.4389
12,1.21394,251301,0,-215.461,22.6904,216.652,0.0493136,7.87167,-16.3273,9.27394,20.3605,0.00963218,0.0866709,0.823,0.827607,100452,-0.0160079,288.264,6.4844,-13.4499,7.63954,16.7723
13,1.206,249068,0,-215.461,20.8917,216.471,0.0444551,9.26044,-12.8908,8.91556,18.2049,0.00939931,0.0798004,0.823,0.826913,99571.9,-0.032136,287.622,7.6787,-10.6897,7.3927,15.0958
14,1.19974,247181,0,-215.461,18.9198,216.29,0.040899,10.873,-9.00363,8.80649,16.6386,0.00910038,0.0722684,0.823,0.826217,98826.2,-0.0458047,286.956,9.06288,-7.50519,7.34026,13.8688
15,1.1923,245106,0,-215.461,16.7957,216.115,0.0399425,12.7157,-5.36546,8.336,16.1235,0.00872506,0.0641548,0.823,0.825543,97998.7,-0.0609738,286.328,10.6648,-4.50009,6.99151,13.5229
16,1.18543,243097,0,-215.461,14.5503,215.952,0.0426542,14.8474,-2.22482,8.18202,17.098,0.00826341,0.0555782,0.823,0.824916,97189.2,-0.0758134,285.61,12.525,-1.87695,6.90217,14.4235
17,1.17814,241072,0,-215.461,12.2239,215.807,0.0478494,17.4198,1.69328,7.54332,19.0583,0.00770646,0.0466918,0.823,0.824359,96366.9,-0.0908877,284.944,14.7859,1.43696,6.40268,16.1766
18,1.1715,239187,0,-215.461,9.86298,215.687,0.0560852,20.4502,5.01647,6.99583,22.1882,0.00704706,0.0376738,0.823,0.823892,95590.5,-0.105119,284.251,17.4565,4.28145,5.97162,18.9399
19,1.16519,237420,0,-215.461,7.51732,215.592,0.0665573,24.0309,8.00337,6.5722,26.1674,0.00628107,0.028714,0.823,0.823525,94850.4,-0.118685,283.579,20.6242,6.86809,5.64039,22.4576
20,1.1583,235585,0,-215.461,5.23561,215.524,0.0784481,28.194,10.4798,5.78227,30.6294,0.00540873,0.0199985,0.823,0.823261,94072.1,-0.132954,282.923,24.341,9.04677,4.99193,26.4433
21,1.1517,233913,0,-215.461,3.06167,215.483,0.0924194,33.0387,12.8477,5.31835,35.8456,0.004436,0.0116947,0.823,0.823095,93341.8,-0.14634,282.337,28.6873,11.1546,4.61775,31.1241
22,1.14975,233459,0,-215.461,1.03139,215.463,0.106443,38.5548,13.7639,4.50054,41.1846,0.00337487,0.00393963,0.823,0.823016,93088.4,-0.150985,282.048,33.5332,11.9708,3.91436,35.8204
23,1.14317,232085,0,-215.461,-0.829196,215.463,0.121758,44.4998,13.8535,4.5987,46.8327,0.00224305,-0.0031673,0.823,0.823009,92450.1,-0.162687,281.725,38.9279,12.1184,4.02268,40.9686
24,1.14391,232342,0,-215.461,-2.50445,215.475,0.137061,51.0897,12.1021,4.8937,52.7311,0.00106214,-0.00956629,0.823,0.823056,92450.4,-0.162681,281.545,44.6629,10.5793,4.27763,46.0976
25,1.1448,233179,0,-215.461,-3.98847,215.498,0.153497,58.2136,9.41512,4.30441,59.1269,-0.000144506,-0.0152348,0.823,0.823141,92660.4,-0.15883,281.964,50.8504,8.22401,3.75985,51.6482
26,1.14136,232814,0,-215.461,-5.2836,215.526,0.172327,65.7308,6.26507,4.57391,66.1869,-0.00135432,-0.0201819,0.823,0.823249,92357.6,-0.164381,281.89,57.59,5.48887,4.00723,57.9896
27,1.15489,237822,0,-215.461,-6.39854,215.556,0.187349,72.8864,-4.50416,3.50318,73.1095,-0.00254736,-0.0244406,0.823,0.823367,94202.9,-0.130555,284.153,63.1138,-3.90019,3.03165,63.3069
28,1.15152,237600,0,-215.461,-7.34626,215.586,0.211702,81.8389,-8.42768,3.4374,82.3434,-0.00370781,-0.0280606,0.823,0.823487,93862,-0.136804,283.956,71.0695,-7.31662,2.98493,71.5075
29,1.17669,246193,0,-215.461,-8.14217,215.615,0.232745,89.4774,-25.1371,4.17835,93.0352,-0.00482431,-0.0311008,0.823,0.823602,97005.7,-0.0791779,287.187,76.0414,-21.3625,3.55091,79.0649
30,1.19069,251279,0,-215.461,-8.80258,215.641,0.261459,97.5242,-40.832,5.41548,105.866,-0.00589004,-0.0336234,0.823,0.823708,98624.1,-0.0495102,288.533,81.9294,-34.2622,4.55315,88.9216
31,1.23307,261384,0,-215.461,28.2215,217.301,0.185701,59.0154,-48.4026,18.3969,78.5116,0.00574838,0.107798,0.823,0.83005,103554,0.0408543,292.556,47.8626,-39.2551,14.9214,63.6745
32,1.22724,258922,0,-215.461,27.1797,217.168,0.178815,59.6695,-41.5705,18.7205,75.0934,0.00467658,0.103819,0.823,0.829536,102650,0.0242862,291.378,48.6209,-33.8733,15.254,61.1889
33,1.24543,264721,0,-215.461,29.1123,217.419,0.191188,59.3307,-52.5954,19.7848,81.7181,0.00667691,0.111201,0.823,0.830505,104815,0.0639834,293.182,47.6375,-42.2318,15.8872,65.6144
34,1.24517,267224,0,-215.461,29.8678,217.521,0.209089,55.7585,-67.7837,18.4705,89.6928,0.00747348,0.114087,0.823,0.830903,105597,0.0783076,295.428,44.7812,-54.4357,14.8331,72.0321
35,1.48784,332314,0,-215.461,32.1548,217.847,0.3028,50.0567,-146.845,25.0087,157.145,0.00993868,0.122822,0.823,0.832174,129598,0.518264,303.439,33.6426,-98.6818,16.844,105.611
36,1.24946,271559,0,-215.461,30.5042,217.61,0.231805,52.2487,-83.0882,19.9545,100.159,0.00815111,0.116517,0.823,0.831247,107009,0.104198,298.35,41.8195,-66.4827,15.9763,80.1503
37,1.34223,287658,0,-215.461,31.0371,217.685,0.216876,59.5364,-78.9436,15.7206,100.119,0.00872342,0.118553,0.823,0.831541,113565,0.224367,294.743,44.3573,-58.8062,11.7128,74.585
