"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.992575696,      -13.04635139,               -32,      -13.11060997,      -1.502417719,      -8.874577013
          0,           0,           1,      -4.192479689,      -3.805298021,               -32,      -3.173311087,      -1.702089594,      -9.176922141
          0,           0,           2,      -4.702291187,      -4.345199049,               -32,      -3.718620756,      -2.211299825,      -9.538274511
          0,           0,           3,      -4.858829662,      -4.404729774,               -32,      -3.834783124,      -2.368487241,      -9.865173988
          0,           0,           4,      -4.919787936,      -4.387719141,               -32,      -3.862496195,      -2.429943726,       -9.97072882
          0,           0,           5,      -4.943587531,      -4.301590524,               -32,      -3.854161161,      -2.454044863,      -10.06265254
          0,           0,           6,      -4.953817539,      -4.185251984,               -32,      -3.827933963,      -2.464564418,      -10.13653425
          0,           0,           7,      -4.956887114,      -4.076640646,               -32,      -3.798479171,      -2.467857423,      -10.18623555
          0,           0,           8,      -4.955375701,      -3.987949701,               -32,      -3.774316313,      -2.466338497,      -10.22455893
          0,           0,           9,      -4.951501106,      -3.918749027,               -32,      -3.757947522,      -2.462117611,       -10.2557956
          0,           0,          10,      -4.947470794,      -3.865432977,               -32,      -3.748551142,      -2.457393991,      -10.28914024
          0,           0,          11,      -4.944407539,      -3.824520494,               -32,      -3.744415081,      -2.453328081,      -10.31039966
          0,           0,          12,      -4.941767345,      -3.793485282,               -32,      -3.744217321,      -2.449436867,      -10.32567533
          0,           0,          13,       -4.93783801,      -3.770639141,               -32,      -3.747315727,      -2.444131589,      -10.33619922
          0,           0,          14,      -4.930915572,      -3.754745105,               -32,      -3.753427992,      -2.435914845,      -10.34304699
          0,           0,          15,      -4.920318528,      -3.744692249,               -32,      -3.762162275,      -2.424331996,      -10.34807474
          0,           0,          16,      -4.906592037,      -3.739350089,               -32,      -3.772715894,      -2.410071511,      -10.35305665
          0,           0,          17,      -4.890929661,      -3.737561113,               -32,      -3.783861762,      -2.394342102,      -10.35465009
          0,           0,          18,      -4.874473123,      -3.738212275,               -32,      -3.794182103,      -2.378205307,      -10.35409723
          0,           0,          19,      -4.857931391,       -3.74032935,               -32,      -3.802413272,      -2.362252242,      -10.35176133
          0,           0,          20,      -4.841569355,      -3.743151333,               -32,      -3.807750516,      -2.346633121,      -10.34765292
          0,           0,          21,      -4.825378927,       -3.74615826,               -32,      -3.809947431,      -2.331244928,      -10.34182221
          0,           0,          22,      -4.809285744,      -3.749040546,               -32,      -3.809222989,      -2.315940522,      -10.33488502
          0,           0,          23,      -4.793300568,      -3.751620216,               -32,      -3.806008344,      -2.300678595,      -10.32712388
          0,           0,          24,      -4.777587409,      -3.753755444,               -32,      -3.800754603,      -2.285590535,      -10.31860464
          0,           0,          25,      -4.762444075,      -3.755268174,               -32,      -3.793809264,      -2.270957956,      -10.30995393
          0,           0,          26,      -4.748233091,      -3.755902022,               -32,      -3.785411285,      -2.257141541,      -10.30171423
          0,           0,          27,      -4.735329709,      -3.755320801,               -32,      -3.775740326,      -2.244525757,      -10.29428141
          0,           0,          28,      -4.724015333,      -3.753129648,               -32,      -3.764950729,      -2.233410221,      -10.28781214
          0,           0,          29,      -4.714447917,      -3.748913059,               -32,       -3.75318694,      -2.223978301,      -10.28236889
          0,           0,          30,      -4.706581432,      -3.742286365,               -32,      -3.740569946,      -2.216216055,       -10.2779032
          0,           0,          31,      -4.700176479,      -3.732965703,               -32,      -3.727182537,      -2.209920474,      -10.27401719
          0,           0,          32,      -4.694816038,      -3.720870635,               -32,      -3.713093698,      -2.204711594,      -10.27025074
          0,           0,          33,      -4.689974757,      -3.706232538,               -32,      -3.698410123,      -2.200094357,      -10.26618028
          0,           0,          34,       -4.68513737,       -3.68966468,               -32,      -3.683352188,       -2.19556727,      -10.26138755
          0,           0,          35,       -4.67994701,      -3.672142491,               -32,      -3.668322515,      -2.190762173,      -10.25565122
          0,           0,          36,      -4.674297586,      -3.654883306,               -32,      -3.653914744,      -2.185534691,      -10.24897139
          0,           0,          37,      -4.668363036,      -3.639161832,               -32,      -3.640852988,       -2.18000122,      -10.24163883
          0,           0,          38,      -4.662512865,      -3.626121336,               -32,      -3.629889057,      -2.174469246,      -10.23400633
          0,           0,          39,      -4.657163591,      -3.616625793,               -32,      -3.621680826,      -2.169304817,      -10.22647409
          0,           0,          40,      -4.652616159,      -3.611169355,               -32,      -3.616676339,      -2.164781376,      -10.21933878
          0,           0,          41,      -4.648949052,       -3.60983268,               -32,      -3.615042751,      -2.160978101,      -10.21275171
          0,           0,          42,      -4.645980418,      -3.612276119,               -32,      -3.616619493,      -2.157741026,      -10.20668135
          0,           0,          43,      -4.643317473,      -3.617765198,               -32,      -3.620910263,      -2.154726476,      -10.20099576
          0,           0,          44,      -4.640475186,      -3.625238973,               -32,      -3.627117493,      -2.151509643,       -10.1954376
          0,           0,          45,       -4.63702155,      -3.633435836,               -32,      -3.634221649,      -2.147716063,      -10.18975537
          0,           0,          46,      -4.632704241,      -3.641073811,               -32,      -3.641113547,      -2.143135037,       -10.1838008
          0,           0,          47,      -4.627521872,      -3.647064758,               -32,      -3.646764839,      -2.137782508,      -10.17756923
          0,           0,          48,      -4.621694581,      -3.650691749,               -32,      -3.650395499,       -2.13187245,       -10.1711431
          0,           0,          49,      -4.615586379,      -3.651679742,               -32,      -3.651583266,      -2.125747083,      -10.16471598
          0,           0,          50,      -4.609597547,      -3.650147932,               -32,      -3.650274201,      -2.119779693,       -10.1585255
          0,           0,          51,      -4.604078953,      -3.646480014,               -32,      -3.646709656,      -2.114297443,      -10.15273063
          0,           0,          52,      -4.599281528,      -3.641182811,               -32,      -3.641301778,      -2.109535168,      -10.14743153
          0,           0,          53,      -4.595340878,      -3.634780813,               -32,       -3.63452985,      -2.105620478,      -10.14269049
          0,           0,          54,      -4.592290953,      -3.627756654,               -32,      -3.626862779,      -2.102585522,      -10.13847435
          0,           0,          55,      -4.590085208,      -3.620525744,               -32,      -3.618732631,      -2.100385565,      -10.13467539
          0,           0,          56,      -4.588620264,      -3.613428379,               -32,       -3.61052361,      -2.098920038,      -10.13119607
          0,           0,          57,      -4.587754366,      -3.606725936,               -32,      -3.602576337,      -2.098049125,      -10.12791959
          0,           0,          58,      -4.587323255,      -3.600600626,               -32,      -3.595188202,      -2.097608598,      -10.12474928
          0,           0,          59,      -4.587151804,      -3.595158368,               -32,      -3.588608967,      -2.097421226,      -10.12154076
          0,           0,          60,      -4.587063917,      -3.590437125,               -32,      -3.583031364,       -2.09730715,      -10.11827026
          0,           0,          61,      -4.586894429,      -3.586420241,               -32,      -3.578580246,      -2.097096719,      -10.11485003
          0,           0,          62,      -4.586499487,      -3.583054185,               -32,      -3.575303508,      -2.096642026,      -10.11121453
          0,           0,          63,      -4.585769376,      -3.580266866,               -32,      -3.573167538,      -2.095830887,      -10.10733986
          0,           0,          64,      -4.584633364,      -3.577984479,               -32,      -3.572058895,      -2.094592463,      -10.10319712
          0,           0,          65,      -4.583060616,      -3.576143355,               -32,      -3.571789691,      -2.092898452,      -10.09881733
          0,           0,          66,      -4.581057297,      -3.574695385,               -32,      -3.572110866,      -2.090759939,      -10.09421636
          0,           0,          67,       -4.57865644,      -3.573606023,               -32,      -3.572730434,      -2.088216461,      -10.08944494
          0,           0,          68,      -4.575903055,      -3.572846417,               -32,      -3.573334617,      -2.085320202,      -10.08456858
          0,           0,          69,      -4.572841455,      -3.572382284,               -32,      -3.573612765,      -2.082122299,      -10.07962143
          0,           0,          70,       -4.56950507,      -3.572163195,               -32,      -3.573281625,      -2.078661976,      -10.07463899
          0,           0,          71,      -4.565912934,      -3.572114303,               -32,      -3.572107393,      -2.074962524,      -10.06965463
          0,           0,          72,      -4.562069254,      -3.572133763,               -32,       -3.56992331,       -2.07103077,      -10.06467633
          0,           0,          73,      -4.557973464,      -3.572096913,               -32,      -3.566640066,      -2.066867213,      -10.05969441
          0,           0,          74,      -4.553628642,      -3.571867405,               -32,      -3.562251824,      -2.062474719,      -10.05467885
          0,           0,          75,      -4.549051222,      -3.571313395,               -32,      -3.556835372,      -2.057868532,      -10.04963148
          0,           0,          76,       -4.54428115,      -3.570326398,               -32,      -3.550542226,      -2.053086582,      -10.04457831
          0,           0,          77,      -4.539389837,      -3.568840752,               -32,      -3.543594291,      -2.048197805,      -10.03953542
          0,           0,          78,      -4.534479982,      -3.566848051,               -32,      -3.536269083,      -2.043302209,      -10.03452834
          0,           0,          79,      -4.529680457,      -3.564403883,               -32,      -3.528881152,      -2.038525865,      -10.02957687
          0,           0,          80,      -4.525139482,      -3.561625056,               -32,      -3.521760909,      -2.034014215,      -10.02474736
          0,           0,          81,       -4.52101519,      -3.558678299,               -32,       -3.51523391,      -2.029922662,      -10.02010009
          0,           0,          82,      -4.517467649,      -3.555762502,               -32,       -3.50960198,      -2.026408633,      -10.01566906
          0,           0,          83,      -4.514637676,      -3.553087786,               -32,      -3.505125949,      -2.023610399,      -10.01149114
          0,           0,          84,      -4.512642186,      -3.550856015,               -32,       -3.50200939,      -2.021642407,      -10.00759238
          0,           0,          85,      -4.511561781,      -3.549242097,               -32,      -3.500385154,      -2.020582788,      -10.00400029
          0,           0,          86,      -4.511427511,      -3.548379529,               -32,      -3.500303366,      -2.020460081,      -10.00073237
