"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.748326016,      -3.630041681,      -3.626412814,      -2.690910441,      -10.00319216
          0,           0,          64,      -4.763203811,      -3.641774006,      -3.646360143,      -2.707477529,      -10.00260311
          0,           0,          65,      -4.760382378,       -3.65741721,      -3.673333455,      -2.707054166,      -10.00204109
          0,           0,          66,      -4.747410616,      -3.677008996,      -3.705980614,      -2.696318208,      -10.00130593
          0,           0,          67,      -4.733085386,      -3.699713117,      -3.741170253,      -2.683735383,      -10.00014361
          0,           0,          68,      -4.723490468,      -3.723794312,      -3.773732772,      -2.675516089,      -9.999201019
          0,           0,          69,      -4.721780122,      -3.746952171,      -3.797636957,      -2.675059688,       -9.99817049
          0,           0,          70,      -4.729193455,      -3.767155069,      -3.809230458,      -2.683788075,      -9.996792976
          0,           0,          71,      -4.745788067,      -3.783706072,      -3.810180105,      -2.701822964,      -9.994867725
          0,           0,          72,      -4.770607852,      -3.797802296,      -3.806619558,      -2.728130634,      -9.992863525
          0,           0,          73,      -4.801386877,      -3.812073063,      -3.805615115,      -2.760201968,      -9.990890144
          0,           0,          74,      -4.834089222,      -3.829448992,      -3.812668522,      -2.793605203,      -9.988053743
          0,           0,          75,      -4.863032635,      -3.852066005,      -3.831193567,      -2.822281969,      -9.984928495
          0,           0,          76,      -4.882726351,      -3.880514361,      -3.862780589,       -2.84077706,      -9.981773462
          0,           0,          77,      -4.891187491,      -3.913339182,      -3.907192511,       -2.84777174,      -9.978370339
          0,           0,          78,      -4.891644635,      -3.946843095,       -3.96153402,      -2.847345561,        -9.9749222
          0,           0,          79,      -4.890489659,      -3.975804171,      -4.018545105,       -2.84632968,      -9.971287338
          0,           0,          80,       -4.89393529,       -3.99583902,      -4.065898557,      -2.850912637,      -9.967485584
          0,           0,          81,      -4.906245851,      -4.006401159,      -4.091661869,      -2.865135625,      -9.963530613
          0,           0,          82,      -4.929496222,      -4.011425938,      -4.095164836,      -2.890810073,      -9.959208089
          0,           0,          83,      -4.963676613,      -4.016901016,      -4.088037146,       -2.92760075,      -9.954874582
          0,           0,          84,      -5.006448678,      -4.028104115,       -4.08370363,      -2.972644736,      -9.950455611
          0,           0,          85,      -5.052583118,      -4.048376982,      -4.090951931,      -3.019861512,      -9.945870544
          0,           0,          86,      -5.094202689,      -4.078984411,      -4.114283743,      -3.060451496,       -9.94089859
          0,           0,          87,      -5.123823314,      -4.119069519,       -4.15574991,      -3.086896159,      -9.935762279
          0,           0,          88,       -5.13963922,      -4.165218697,      -4.215788186,      -3.098829085,      -9.930329241
          0,           0,          89,      -5.147200123,      -4.211001766,      -4.292365087,       -3.10352695,      -9.924727924
          0,           0,          90,      -5.155126513,      -4.247992572,      -4.377466025,      -3.110323258,      -9.919056566
          0,           0,          91,       -5.17050623,       -4.26993951,      -4.451619555,      -3.126164378,       -9.91314426
          0,           0,          92,      -5.197457125,      -4.277431346,      -4.489308918,        -3.1547936,      -9.906853495
          0,           0,          93,      -5.237371423,       -4.27713233,         -4.487103,       -3.19725469,      -9.900427912
          0,           0,          94,      -5.288953674,       -4.27660487,      -4.468814109,      -3.251839175,      -9.894077032
          0,           0,          95,      -5.347337927,      -4.280781428,      -4.456780787,      -3.312890543,      -9.887809313
          0,           0,          96,      -5.402972093,      -4.291412273,      -4.461339171,      -3.369413998,       -9.88158201
          0,           0,          97,      -5.443695605,       -4.30770123,      -4.485603556,       -3.40791228,      -9.875443457
          0,           0,          98,      -5.463047364,      -4.326990075,      -4.529307082,      -3.422673182,      -9.869216562
          0,           0,          99,      -5.466686748,      -4.345592995,      -4.589200239,      -3.421841042,      -9.863038342
          0,           0,         100,      -5.466820137,      -4.360023755,      -4.656549615,      -3.419128161,      -9.856884593
          0,           0,         101,      -5.473551356,      -4.368452263,      -4.713915277,      -3.424640348,      -9.850895188
          0,           0,         102,      -5.492334689,      -4.371437748,      -4.741247046,      -3.443314575,       -9.84493508
          0,           0,         103,       -5.52494833,      -4.371314571,      -4.736064119,      -3.476434454,      -9.838984662
          0,           0,         104,      -5.570223707,      -4.370811473,      -4.716248791,      -3.522404495,      -9.833049898
          0,           0,         105,      -5.623535945,      -4.371956036,      -4.699887972,      -3.576104959,       -9.82706403
          0,           0,         106,      -5.675590425,      -4.375649333,      -4.696057489,      -3.627674036,       -9.82117571
          0,           0,         107,      -5.713788431,      -4.381749441,      -4.707260703,      -3.664268568,      -9.815431837
          0,           0,         108,      -5.729916785,      -4.389347103,      -4.732310088,      -3.678347728,      -9.809841169
          0,           0,         109,      -5.728125925,      -4.397200841,      -4.767140719,      -3.675153313,      -9.804266783
          0,           0,         110,      -5.720531502,       -4.40415678,      -4.804536272,      -3.667158415,      -9.798664658
          0,           0,         111,      -5.717849753,      -4.409527236,      -4.834880589,      -3.664776958,      -9.793213479
          0,           0,         112,      -5.726094012,      -4.413260093,      -4.850496789,      -3.673594819,      -9.787655595
          0,           0,         113,      -5.747619966,      -4.415849317,      -4.851341109,      -3.695615385,      -9.782222076
          0,           0,         114,      -5.782257256,      -4.418023347,      -4.844728627,       -3.73027633,      -9.776886171
          0,           0,         115,      -5.827487767,      -4.420483991,      -4.839523026,      -3.774560686,      -9.771699931
          0,           0,         116,      -5.877710131,      -4.423676598,      -4.842084355,      -3.822282886,      -9.766705988
          0,           0,         117,      -5.923514412,      -4.427686629,       -4.85575341,      -3.863825614,       -9.76190036
          0,           0,         118,      -5.954210765,      -4.432306246,       -4.88158935,       -3.88954305,      -9.757100196
          0,           0,         119,      -5.965325454,      -4.437124462,      -4.918961202,      -3.896909414,      -9.752447112
          0,           0,         120,      -5.962436776,      -4.441698496,      -4.965292999,      -3.892520668,      -9.747695411
          0,           0,         121,      -5.955875388,      -4.445659964,      -5.015393272,      -3.886174714,      -9.742994788
          0,           0,         122,      -5.954137318,       -4.44884789,      -5.061242012,      -3.885362591,      -9.738383121
          0,           0,         123,      -5.961877275,      -4.451323659,      -5.094293916,      -3.893947387,      -9.733901792
          0,           0,         124,       -5.98063848,      -4.453334311,      -5.110742311,      -3.912986405,      -9.729594682
          0,           0,         125,       -6.00977024,      -4.455182364,      -5.114664487,      -3.941304632,      -9.725478072
          0,           0,         126,      -6.046925202,      -4.457160222,      -5.114419091,      -3.975951466,      -9.721549582
          0,           0,         127,      -6.087692221,      -4.459472884,      -5.117379286,      -4.011997049,      -9.717805979
          0,           0,         128,      -6.126062696,      -4.462201559,      -5.127969692,      -4.043420559,      -9.714162928
          0,           0,         129,      -6.155666645,      -4.465294175,      -5.147847226,      -4.064898081,      -9.710339627
          0,           0,         130,      -6.173387731,      -4.468620889,      -5.176810866,      -4.075122659,       -9.70639608
          0,           0,         131,      -6.181391446,      -4.472019699,      -5.213048817,      -4.077431952,      -9.702528339
          0,           0,         132,      -6.185032179,      -4.475327816,      -5.253169228,      -4.077228868,      -9.698781706
          0,           0,         133,      -6.189929858,      -4.478418131,       -5.29216156,      -4.079230174,      -9.695170945
          0,           0,         134,      -6.199689269,      -4.481221714,      -5.324235913,      -4.086122941,      -9.691699525
          0,           0,         135,      -6.216524497,      -4.483718328,      -5.345189519,      -4.099156402,      -9.688377704
          0,           0,         136,      -6.240186427,      -4.485944384,      -5.354039276,      -4.117658802,      -9.685208585
          0,           0,         137,      -6.269297798,      -4.487929392,      -5.353020963,       -4.13995056,        -9.6821771
          0,           0,         138,      -6.302183287,      -4.489716615,       -5.34596866,      -4.164077586,      -9.679248926
          0,           0,         139,      -6.335622473,      -4.491369793,      -5.336061914,      -4.187249773,      -9.676250277
          0,           0,         140,      -6.365994305,      -4.492940044,      -5.325319978,      -4.206929479,      -9.673099679
          0,           0,         141,      -6.390789584,      -4.494475197,       -5.31518022,       -4.22170075,      -9.669956035
          0,           0,         142,      -6.407445752,      -4.496034134,      -5.306444326,      -4.230856149,      -9.666911153
          0,           0,         143,      -6.415785155,      -4.497665106,      -5.299894086,      -4.235068841,      -9.663961387
          0,           0,         144,       -6.41677142,      -4.499415042,      -5.296330684,      -4.235381492,      -9.661041194
          0,           0,         145,      -6.412330839,      -4.501336913,      -5.296346816,      -4.233150724,      -9.658228472
          0,           0,         146,      -6.404571446,      -4.503448755,       -5.30029342,      -4.229477923,      -9.655527859
          0,           0,         147,       -6.39539677,      -4.505751834,       -5.30810438,      -4.225402655,       -9.65291808
          0,           0,         148,      -6.386888479,      -4.508229584,      -5.319232813,      -4.221974496,      -9.650423256
          0,           0,         149,      -6.381100721,      -4.510840593,      -5.332613067,      -4.220244833,      -9.648011663
          0,           0,         150,       -6.37977061,      -4.513525553,       -5.34673738,      -4.221124537,      -9.645662756
          0,           0,         151,      -6.383760699,      -4.516216612,      -5.359798411,      -4.224994821,      -9.643304725
          0,           0,         152,      -6.393718006,      -4.518852939,      -5.370218447,      -4.232319907,      -9.640663026
          0,           0,         153,      -6.409564099,      -4.521383153,      -5.377209285,      -4.242843647,      -9.638080322
          0,           0,         154,      -6.430641519,      -4.523773288,      -5.380848951,      -4.255887219,      -9.635572396
          0,           0,         155,      -6.455624814,      -4.526017058,      -5.382124572,       -4.27048754,      -9.633143818
          0,           0,         156,      -6.481218123,      -4.528125167,      -5.382343317,       -4.28482339,      -9.630804665
          0,           0,         157,      -6.503840032,      -4.530126373,      -5.382855537,      -4.297251205,      -9.628551247
          0,           0,         158,      -6.519230515,      -4.532065002,      -5.384631833,      -4.306243955,      -9.626323481
          0,           0,         159,      -6.526203073,      -4.533990321,      -5.388213824,      -4.311517794,      -9.624163032
          0,           0,         160,      -6.523167001,      -4.535945841,      -5.393546378,      -4.312580285,      -9.622069926
          0,           0,         161,      -6.514191004,      -4.537972826,      -5.400213974,      -4.311007222,      -9.620061388
          0,           0,         162,      -6.503067459,      -4.540103908,      -5.407692291,      -4.308235264,      -9.618145345
          0,           0,         163,      -6.493194568,      -4.542353088,      -5.415537963,      -4.305784874,      -9.616249826
          0,           0,         164,       -6.48801482,      -4.544728947,      -5.423397028,      -4.305459177,      -9.614252756
          0,           0,         165,      -6.487432971,      -4.547221584,      -5.431048526,      -4.307180202,      -9.612123853
          0,           0,         166,      -6.492495645,      -4.549809106,      -5.438787672,      -4.311396261,      -9.610057974
          0,           0,         167,      -6.503608056,      -4.552454825,      -5.447066256,      -4.318408551,      -9.608062566
          0,           0,         168,      -6.519417453,      -4.555121262,      -5.455978798,      -4.327485612,      -9.606140726
