"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -5.238204971,      -4.334784218,      -4.355560999,      -3.189395783,       -10.9627925
          0,           0,          64,      -5.251939954,      -4.332594832,      -4.351113653,      -3.202228528,      -10.95874268
          0,           0,          65,      -5.261814866,      -4.326786256,      -4.342822097,      -3.210500304,      -10.95539183
          0,           0,          66,      -5.269085504,      -4.320064654,      -4.332918772,       -3.21597627,      -10.95279666
          0,           0,          67,      -5.274247951,      -4.314219646,      -4.323147762,      -3.219581932,      -10.95076054
          0,           0,          68,      -5.277047521,      -4.310144926,      -4.314665153,      -3.221363379,      -10.94908844
          0,           0,          69,      -5.276816317,       -4.30809227,      -4.308091212,      -3.220811757,      -10.94752835
          0,           0,          70,       -5.27297608,       -4.30790371,      -4.303644423,      -3.217356708,      -10.94584883
          0,           0,          71,      -5.265361839,       -4.30917311,      -4.301275455,       -3.21070806,        -10.943957
          0,           0,          72,      -5.254348162,       -4.31137386,      -4.300725004,      -3.201030384,       -10.9417181
          0,           0,          73,      -5.240757681,      -4.313961728,       -4.30158369,        -3.1889202,       -10.9391381
          0,           0,          74,      -5.225635938,      -4.316450699,      -4.303362854,       -3.17523807,      -10.93624002
          0,           0,          75,      -5.210061255,      -4.318466365,      -4.305571291,       -3.16094227,      -10.93325742
          0,           0,          76,      -5.194986804,      -4.319796376,      -4.307788789,      -3.146926731,      -10.93016193
          0,           0,          77,      -5.181173468,      -4.320420302,      -4.309731926,      -3.133934955,      -10.92705911
          0,           0,          78,      -5.169196147,      -4.320511638,      -4.311300028,      -3.122548192,      -10.92400784
          0,           0,          79,      -5.159483933,      -4.320407496,      -4.312586501,      -3.113213207,      -10.92101204
          0,           0,          80,      -5.152331368,      -4.320553797,      -4.313864937,      -3.106246613,      -10.91810875
          0,           0,          81,      -5.147929132,      -4.321454068,      -4.315615244,      -3.101864464,      -10.91528224
          0,           0,          82,       -5.14644926,      -4.323596992,      -4.318256583,      -3.100265749,      -10.91237974
          0,           0,          83,      -5.147967033,      -4.327394977,      -4.322282145,      -3.101555684,       -10.9092724
          0,           0,          84,      -5.152405348,      -4.333144311,      -4.328049755,      -3.105691001,      -10.90575356
          0,           0,          85,      -5.159607522,      -4.340965883,      -4.335745397,      -3.112554699,      -10.90160562
          0,           0,          86,      -5.169365746,      -4.350758724,      -4.345369466,      -3.121986344,      -10.89661556
          0,           0,          87,      -5.181340236,       -4.36216646,      -4.356678452,      -3.133701061,      -10.89058615
          0,           0,          88,      -5.195028679,      -4.374532003,      -4.369107923,      -3.147257046,      -10.88334243
          0,           0,          89,      -5.209733845,       -4.38688545,      -4.381760088,      -3.162017805,      -10.87480605
          0,           0,          90,      -5.224543112,      -4.397995729,      -4.393429238,      -3.177120344,      -10.86489202
          0,           0,          91,      -5.238359623,      -4.406520386,      -4.402730799,      -3.191489697,      -10.85361245
          0,           0,          92,      -5.249997472,      -4.411275354,      -4.408351208,      -3.203913881,      -10.84100541
          0,           0,          93,      -5.258325844,      -4.411525015,      -4.409378396,      -3.213173087,      -10.82721016
          0,           0,          94,      -5.262514569,      -4.407209069,      -4.405586701,      -3.218292386,      -10.81249318
          0,           0,          95,      -5.262240883,      -4.398958879,      -4.397507828,      -3.218782023,      -10.79707769
          0,           0,          96,      -5.257767572,      -4.387912942,      -4.386270961,      -3.214766447,      -10.78119182
          0,           0,          97,       -5.24987155,      -4.375414415,      -4.373287765,       -3.20695202,      -10.76507408
          0,           0,          98,      -5.239648151,      -4.362748382,      -4.359952131,      -3.196439293,      -10.74895529
          0,           0,          99,      -5.228286576,      -4.350991323,       -4.34745106,      -3.184478134,      -10.73302055
          0,           0,         100,       -5.21688898,      -4.340943383,      -4.336686771,      -3.172255905,      -10.71744281
          0,           0,         101,      -5.206384322,      -4.333142683,      -4.328284525,      -3.160786459,      -10.70230811
          0,           0,         102,      -5.197487628,      -4.327901072,      -4.322630172,      -3.150856677,      -10.68765658
          0,           0,         103,      -5.190698381,      -4.325360878,      -4.319922813,      -3.143021456,      -10.67359452
          0,           0,         104,       -5.18642059,       -4.32552228,      -4.320221583,      -3.137725238,      -10.66017069
          0,           0,         105,      -5.184935161,      -4.328274451,      -4.323507783,      -3.135278061,      -10.64735913
          0,           0,         106,      -5.186442053,      -4.333417234,       -4.32963949,      -3.135900156,      -10.63510457
          0,           0,         107,      -5.191081915,      -4.340685673,      -4.338422779,      -3.139747958,      -10.62339527
          0,           0,         108,      -5.198821728,      -4.349759955,      -4.349604866,      -3.146805671,      -10.61216154
          0,           0,         109,       -5.20967871,      -4.360274509,      -4.362829076,      -3.157107126,      -10.60132972
          0,           0,         110,      -5.223619552,      -4.371842844,      -4.377720782,      -3.170638044,      -10.59084209
          0,           0,         111,        -5.2405442,      -4.384067114,      -4.393839463,      -3.187321849,      -10.58065022
          0,           0,         112,      -5.260290889,      -4.396551012,      -4.410702755,      -3.207023841,      -10.57069863
          0,           0,         113,      -5.282585935,      -4.408941311,      -4.427779645,       -3.22950097,      -10.56091786
          0,           0,         114,      -5.306979264,      -4.420922678,      -4.444514742,      -3.254333957,      -10.55125492
          0,           0,         115,      -5.332781693,      -4.432231706,      -4.460358675,      -3.280856176,      -10.54166688
          0,           0,         116,      -5.358990087,       -4.44267992,      -4.474797157,      -3.308064761,      -10.53211875
          0,           0,         117,      -5.384245535,      -4.452135672,      -4.487400022,      -3.334554462,      -10.52260598
          0,           0,         118,      -5.406837597,      -4.460500817,      -4.497861223,      -3.358495253,      -10.51315265
          0,           0,         119,       -5.42488515,      -4.467712288,      -4.506025589,      -3.377806256,      -10.50373535
          0,           0,         120,      -5.436719635,      -4.473731558,      -4.511895482,      -3.390568598,      -10.49433358
          0,           0,         121,      -5.441364003,      -4.478539333,      -4.515623925,      -3.395592628,      -10.48495664
          0,           0,         122,      -5.438864306,      -4.482122893,      -4.517478112,      -3.392846914,      -10.47560645
          0,           0,         123,      -5.430278973,      -4.484494423,      -4.517801416,      -3.383476114,      -10.46631185
          0,           0,         124,      -5.417349405,      -4.485712881,      -4.516976307,      -3.369414699,      -10.45709138
          0,           0,         125,      -5.401988316,      -4.485889517,      -4.515386714,      -3.352781687,      -10.44798302
          0,           0,         126,      -5.385920507,      -4.485193536,      -4.513393444,      -3.335465398,      -10.43902025
