"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -4.239106586,      -3.272456297,      -3.299376314,      -2.186445803,      -9.555377016
          0,           0,          64,      -4.253027372,      -3.294673427,      -3.301363947,      -2.198836458,      -9.549125072
          0,           0,          65,      -4.266529648,      -3.305843062,       -3.29984893,      -2.211115145,      -9.542043975
          0,           0,          66,      -4.281701546,      -3.307442976,      -3.298856712,      -2.225646813,      -9.533337568
          0,           0,          67,      -4.300086416,      -3.304404794,      -3.301846272,      -2.244109464,      -9.524632403
          0,           0,          68,      -4.321786407,      -3.302393208,      -3.311125017,      -2.266655548,      -9.515587953
          0,           0,          69,      -4.344841835,      -3.305775131,      -3.327832319,      -2.291303089,      -9.506816577
          0,           0,          70,       -4.36563377,      -3.317098685,      -3.352021463,      -2.314257226,      -9.498692848
          0,           0,          71,      -4.380355364,      -3.337289401,      -3.382545554,      -2.331274344,      -9.491494108
          0,           0,          72,      -4.387086184,      -3.365778761,      -3.416944262,      -2.339850203,      -9.485713748
          0,           0,          73,       -4.38770579,      -3.400351646,      -3.451436239,      -2.341466838,      -9.481168187
          0,           0,          74,      -4.386816565,      -3.436752665,      -3.481537659,      -2.340727153,       -9.47861158
          0,           0,          75,      -4.389269166,      -3.469053868,      -3.503616926,      -2.342731188,      -9.477796552
          0,           0,          76,      -4.399057291,      -3.491094298,      -3.516866887,      -2.351740569,      -9.478747619
          0,           0,          77,      -4.418333791,      -3.499967674,       -3.52362779,      -2.370108481,      -9.481575991
          0,           0,          78,      -4.447909712,      -3.497912072,      -3.528051072,      -2.398792123,      -9.485764357
          0,           0,          79,      -4.486767313,      -3.490582037,       -3.53406749,      -2.436908201,      -9.491250484
          0,           0,          80,      -4.532181119,      -3.483690273,      -3.544461082,      -2.481893894,      -9.497218397
          0,           0,          81,      -4.578518766,      -3.481281417,      -3.560532318,       -2.52827821,      -9.504080489
          0,           0,          82,      -4.617828275,      -3.485585744,      -3.582266994,      -2.568134212,      -9.511081395
          0,           0,          83,      -4.643570399,      -3.497273421,      -3.608562025,      -2.594581127,       -9.51830514
          0,           0,          84,       -4.65426821,      -3.515968484,      -3.637177592,      -2.605571498,      -9.525482595
          0,           0,          85,      -4.655278003,      -3.540331618,       -3.66504176,      -2.606121562,      -9.532373744
          0,           0,          86,       -4.65455066,      -3.568227735,      -3.688918579,      -2.604254195,      -9.539025339
          0,           0,          87,      -4.658680767,      -3.596704184,      -3.706573243,      -2.606790456,      -9.544660799
          0,           0,          88,       -4.67167469,      -3.622649547,      -3.717670542,      -2.617941773,      -9.549729455
          0,           0,          89,      -4.695503662,      -3.643713654,      -3.723986264,      -2.639839896,      -9.553533296
          0,           0,          90,      -4.731082915,      -3.659167834,      -3.728552219,      -2.673535264,      -9.556310546
          0,           0,          91,      -4.777566107,      -3.670333867,      -3.734407905,      -2.718424273,      -9.557802309
          0,           0,          92,      -4.832165189,      -3.679690814,       -3.74397769,      -2.772170338,      -9.558210584
          0,           0,          93,       -4.88878519,      -3.689918085,      -3.758779297,      -2.829460931,      -9.557565937
          0,           0,          94,        -4.9362571,      -3.702878151,       -3.77944061,      -2.879962594,      -9.555834686
          0,           0,          95,      -4.962032151,      -3.719338878,      -3.805699808,      -2.910848062,      -9.553367065
          0,           0,          96,      -4.963230232,      -3.738643308,      -3.836385554,      -2.917079493,      -9.549979312
          0,           0,          97,      -4.946937854,      -3.758966998,      -3.869225709,      -2.903892926,      -9.545969198
          0,           0,          98,       -4.92647295,      -3.777416949,      -3.900965974,        -2.8845757,      -9.541275782
          0,           0,          99,      -4.911500398,      -3.790837423,      -3.927867099,      -2.869626335,      -9.535978221
          0,           0,         100,      -4.906110717,      -3.797153374,      -3.946859954,       -2.86382659,      -9.530050917
          0,           0,         101,      -4.912841148,      -3.796363281,      -3.957007866,       -2.87010058,      -9.523408224
          0,           0,         102,      -4.932146839,      -3.790499865,      -3.959944921,      -2.889047672,      -9.516082671
          0,           0,         103,      -4.964346673,      -3.782539276,      -3.958852155,      -2.920987276,      -9.507985817
          0,           0,         104,      -5.008699963,      -3.775366962,      -3.956913941,      -2.965026306,       -9.49914886
          0,           0,         105,      -5.063327659,       -3.77103602,       -3.95645849,      -3.018880867,      -9.489583113
          0,           0,         106,      -5.123814365,      -3.770635717,       -3.95862569,      -3.077331006,      -9.479329135
          0,           0,         107,      -5.181748172,      -3.774389344,      -3.963455056,      -3.130841235,      -9.468488462
          0,           0,         108,      -5.225719547,      -3.781822501,      -3.970129834,      -3.167561639,      -9.457042767
          0,           0,         109,      -5.246393344,      -3.791953632,       -3.97725648,      -3.179900788,      -9.445148013
          0,           0,         110,      -5.245908339,      -3.803469952,      -3.983316419,      -3.172713773,       -9.43283413
          0,           0,         111,      -5.235481402,      -3.814970009,       -3.98711547,      -3.158160865,      -9.420146603
          0,           0,         112,      -5.226210562,      -3.825288632,      -3.988212437,      -3.146663468,      -9.407116725
          0,           0,         113,      -5.224540092,      -3.833758165,      -3.987034103,      -3.143859021,      -9.393721764
          0,           0,         114,      -5.233242557,      -3.840389962,      -3.984720398,      -3.152114111,      -9.379985892
          0,           0,         115,      -5.252128228,      -3.845761704,      -3.982715448,      -3.171338839,       -9.36587105
          0,           0,         116,      -5.278526299,      -3.850758768,      -3.982360591,      -3.199492942,        -9.3514236
          0,           0,         117,      -5.306700777,      -3.856226653,      -3.984622156,      -3.231956917,      -9.336559412
          0,           0,         118,      -5.328373128,      -3.862735826,      -3.989941739,      -3.261426417,      -9.321298792
          0,           0,         119,      -5.335193304,      -3.870410097,      -3.998201428,      -3.279014399,      -9.305609152
          0,           0,         120,      -5.324709381,      -3.878881158,      -4.008750007,      -3.279488751,      -9.289472381
          0,           0,         121,      -5.302235294,      -3.887339421,      -4.020441158,      -3.265292481,      -9.272929449
          0,           0,         122,      -5.276248957,      -3.894702257,      -4.031772708,      -3.244189628,       -9.25602591
          0,           0,         123,      -5.253475485,      -3.899915938,      -4.041193017,      -3.223756743,      -9.238704594
          0,           0,         124,      -5.238144736,      -3.902248285,      -4.047491307,      -3.209317774,      -9.221000875
          0,           0,         125,      -5.232410882,      -3.901524339,      -4.050165891,      -3.203783153,      -9.203010252
          0,           0,         126,       -5.23680316,      -3.898199697,        -4.0495375,      -3.208023347,      -9.184755517
          0,           0,         127,      -5.251072371,      -3.893194859,      -4.046586782,      -3.221851762,      -9.166278826
          0,           0,         128,      -5.274240746,      -3.887606383,      -4.042594374,      -3.244109148,      -9.147566895
          0,           0,         129,      -5.304760993,      -3.882458801,      -4.038746497,      -3.272845806,      -9.128761011
          0,           0,         130,      -5.339791487,      -3.878502482,      -4.035899524,      -3.304541647,      -9.109975543
          0,           0,         131,      -5.375285296,      -3.876199862,      -4.034471569,      -3.334454139,      -9.091080324
