Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
305,0.997105,0,79.5168,-0,1.6729e-07,0,0,0,0,0,0,0.618626,-0.0432075,0,0.620133,31.8067,0.121404,0.0029344,0.000253397,0,0.00294532,1.00482,0,0,0,0,1.02648
306,0.997102,0,79.5155,-0,1.67288e-07,0,0,0,0,0,0,0.642363,-0.0411145,0,0.643677,31.8062,0.120302,0.00292083,0.000261905,0,0.00293255,1.00481,0,0,0,0,1.02432
307,0.99708,0,79.5125,-0,1.67286e-07,0,0,0,0,0,0,0.665401,-0.0390132,0,0.666544,31.805,0.117957,0.00291509,0.000270148,0,0.00292758,1.00479,0,0,0,0,1.0235
308,0.997039,0,79.5082,-0,1.67285e-07,0,0,0,0,0,0,0.687659,-0.0369168,0,0.688649,31.8033,0.114486,0.002914,0.0002791,0,0.00292734,1.00478,0,0,0,0,1.02347
309,0.997005,0,79.5047,-0,1.67283e-07,0,0,0,0,0,0,0.709068,-0.0348309,0,0.709923,31.8019,0.111678,0.00290958,0.000288458,0,0.00292384,1.00477,0,0,0,0,1.02289
310,0.997005,0,79.5042,-0,1.67283e-07,0,0,0,0,0,0,0.729571,-0.0327617,0,0.730306,31.8017,0.111291,0.0028979,0.000297076,0,0.00291309,1.00476,0,0,0,0,1.02108
311,0.997043,0,79.507,-0,1.67282e-07,0,0,0,0,0,0,0.749128,-0.0307241,0,0.749758,31.8028,0.113508,0.00288179,0.000304113,0,0.0028978,1.00476,0,0,0,0,1.01851
312,0.997119,0,79.5124,-0,1.67281e-07,0,0,0,0,0,0,0.76771,-0.0287369,0,0.768248,31.805,0.117886,0.00286096,0.000308985,0,0.0028776,1.00475,0,0,0,0,1.0151
313,0.997201,0,79.5181,-0,1.6728e-07,0,0,0,0,0,0,0.785302,-0.0268173,0,0.78576,31.8073,0.122446,0.00283319,0.000311497,0,0.00285026,1.00474,0,0,0,0,1.01043
314,0.997243,0,79.5207,-0,1.67279e-07,0,0,0,0,0,0,0.8019,-0.0249779,0,0.802289,31.8083,0.124474,0.00281588,0.000314214,0,0.00283335,1.00473,0,0,0,0,1.00755
