Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
31,0.982491,2.90247,0.821508,0.94652,0.102656,0,0.95207,0.76578,-0.0295103,0,0.766348,0.976468,-0.0525271,0.993869,0.963387,0.104486,0,0.969037
32,0.978385,2.89196,0.827273,0.948578,0.101059,0,0.953946,0.75228,-0.0309618,0,0.752917,0.970761,-0.0652659,0.992207,0.969534,0.103291,0,0.975021
33,0.974258,2.88139,0.833068,0.950584,0.0994072,0,0.955767,0.73852,-0.0324145,0,0.739231,0.965032,-0.0780534,0.990531,0.975701,0.102034,0,0.981021
34,0.970115,2.87078,0.838888,0.952538,0.0976978,0,0.957535,0.72453,-0.0338638,0,0.725321,0.959289,-0.0908718,0.988841,0.981881,0.100707,0,0.987032
35,0.965941,2.86007,0.84473,0.954418,0.0959246,0,0.959227,0.71032,-0.0353069,0,0.711197,0.953517,-0.103756,0.987139,0.988071,0.099307,0,0.993049
36,0.961756,2.84934,0.850617,0.956271,0.0940885,0,0.960889,0.69589,-0.0367423,0,0.696859,0.947731,-0.116671,0.985417,0.994296,0.0978299,0,0.999098
37,0.957519,2.83845,0.856539,0.958042,0.0921778,0,0.962466,0.68127,-0.0381652,0,0.682338,0.941892,-0.129706,0.98368,1.00055,0.0962674,0,1.00517
38,0.953241,2.82745,0.86253,0.959774,0.090192,0,0.964002,0.66647,-0.0395729,0,0.667644,0.936002,-0.142852,0.981916,1.00685,0.0946161,0,1.01129
39,0.948905,2.81629,0.868601,0.961458,0.0881241,0,0.965488,0.6515,-0.0409627,0,0.652786,0.930043,-0.156155,0.980123,1.01323,0.0928693,0,1.01748
40,0.944498,2.80493,0.874757,0.963086,0.085967,0,0.966915,0.63638,-0.0423308,0,0.637786,0.924001,-0.169642,0.978298,1.01968,0.0910187,0,1.02373
41,0.940023,2.7934,0.881021,0.964676,0.0837153,0,0.968302,0.62113,-0.0436736,0,0.622663,0.917872,-0.183321,0.976435,1.02623,0.0890566,0,1.03008
42,0.935456,2.7816,0.887395,0.966204,0.0813596,0,0.969624,0.60576,-0.0449881,0,0.607428,0.911634,-0.197246,0.974533,1.03287,0.0869731,0,1.03652
43,0.930805,2.76959,0.893903,0.967696,0.0788942,0,0.970906,0.59028,-0.0462713,0,0.592091,0.905288,-0.211412,0.972585,1.03963,0.084759,0,1.04308
