Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
2435,1.13154,3.27858,0.607023,0.832823,-0.0181984,0,0.833022,-0.0867961,-0.0610026,0,0.106089,1.18878,0.42139,1.05058,0.736006,-0.0160828,0,0.736181
2436,1.15029,3.32367,0.572526,0.800532,0.0440305,0,0.801742,1.00282,-0.00277629,0,1.00282,1.21771,0.485954,1.05861,0.695938,0.0382777,0,0.69699
2437,1.1416,3.30167,0.58441,0.809835,0.0462554,0,0.811155,1.00432,-0.00398445,0,1.00433,1.2054,0.458476,1.05588,0.709386,0.040518,0,0.710542
2438,1.10348,3.20716,0.644001,0.858125,-0.00712273,0,0.858154,1.01424,0.0234925,0,1.01451,1.14939,0.333459,1.04161,0.777656,-0.00645481,0,0.777683
2439,1.11963,3.24735,0.619261,0.839679,-0.00575384,0,0.839698,1.00811,0.0110957,0,1.00817,1.17299,0.386141,1.04766,0.749958,-0.00513904,0,0.749975
2440,1.12776,3.26775,0.607509,0.830852,-0.00242637,0,0.830856,1.00668,0.00687679,0,1.0067,1.18468,0.412225,1.05047,0.736727,-0.00215149,0,0.736731
2441,1.08928,3.17241,0.667847,0.875912,-0.00838252,0,0.875953,1.02359,0.0438168,0,1.02452,1.12808,0.285899,1.03563,0.804123,-0.00769549,0,0.80416
2442,1.09226,3.17967,0.66272,0.872114,-0.00803853,0,0.872151,1.02128,0.0382595,0,1.02199,1.13259,0.295953,1.03692,0.798452,-0.00735956,0,0.798486
2443,1.01121,2.97648,0.78393,0.937254,0.0728718,0,0.940083,0.966756,-0.316907,0,1.01737,1.0158,0.0352695,1.00454,0.926864,0.072064,0,0.929662
2444,1.01686,2.99086,0.775967,0.933959,0.0725513,0,0.936773,0.986263,-0.291748,0,1.02851,1.02374,0.0530012,1.00677,0.918471,0.0713481,0,0.921238
2445,1.13702,3.29207,0.598218,0.825681,-0.008473,0,0.825724,-0.0854658,-0.0498494,0,0.0989412,1.1969,0.4395,1.05266,0.726183,-0.00745197,0,0.726221
2446,1.12597,3.26465,0.615257,0.838942,-0.0269837,0,0.839376,-0.0874515,-0.0721564,0,0.113377,1.18071,0.403379,1.04862,0.745083,-0.0239648,0,0.745468
2447,1.12043,3.25104,0.624313,0.845977,-0.0339337,0,0.846657,-0.0878116,-0.0831395,0,0.120926,1.17246,0.384952,1.04643,0.755046,-0.0302863,0,0.755653
2448,0.866605,2.60311,0.986489,0.981339,0.0556696,0,0.982917,0.204038,0.435161,0,0.480621,0.818274,-0.405637,0.94423,1.13239,0.0642387,0,1.13421
2449,1.04053,3.05089,0.742504,0.918389,-0.0747761,0,0.921428,-0.040092,-0.251609,0,0.254783,1.05716,0.127596,1.01598,0.882615,-0.0718633,0,0.885535
2450,0.985889,2.912,0.819811,0.951018,0.0703885,0,0.95362,0.857287,-0.412091,0,0.951188,0.980318,-0.0439337,0.994349,0.96463,0.0713959,0,0.967269
2451,0.992478,2.9288,0.810451,0.947606,0.0716618,0,0.950312,0.888713,-0.390367,0,0.970668,0.989531,-0.0233672,0.997031,0.954788,0.0722049,0,0.957514
2452,1.18577,3.41257,0.520257,0.747772,0.104748,0,0.755073,-0.0495838,0.00771844,0,0.050181,1.26886,0.600143,1.07008,0.630624,0.0883379,0,0.636781
2453,1.14005,3.29922,0.59213,0.811229,0.119982,0,0.820053,-0.0691698,0.0336957,0,0.0769407,1.20171,0.450248,1.05409,0.711576,0.105243,0,0.719317
2454,1.06122,3.1032,0.713245,0.903902,0.0644612,0,0.906197,1.04505,-0.0952529,0,1.04938,1.08652,0.193114,1.02384,0.851759,0.0607427,0,0.853922
2455,1.04047,3.05044,0.74162,0.917779,0.0691566,0,0.920381,1.0374,-0.17622,0,1.05226,1.05735,0.128004,1.01622,0.882085,0.0664669,0,0.884585
2456,1.04554,3.06314,0.733923,0.91366,0.0682935,0,0.916208,1.04167,-0.15327,0,1.05289,1.06468,0.144375,1.01831,0.873864,0.0653189,0,0.876302
2457,1.05668,3.09165,0.719401,0.907028,0.0653738,0,0.909381,1.04606,-0.11008,0,1.05184,1.08014,0.178879,1.0222,0.858377,0.0618673,0,0.860604
2458,1.06173,3.1042,0.711469,0.901735,-0.0717699,0,0.904586,-0.0626537,-0.206498,0,0.215793,1.08754,0.195403,1.02431,0.849306,-0.0675971,0,0.851992
2459,1.05117,3.07761,0.726792,0.910041,-0.0740765,0,0.913051,-0.0524818,-0.22766,0,0.233631,1.07243,0.161674,1.02023,0.865741,-0.0704706,0,0.868605
2460,1.02863,3.02078,0.759475,0.926549,-0.0750043,0,0.92958,-0.0250419,-0.275817,0,0.276951,1.0403,0.0899488,1.01134,0.900757,-0.0729164,0,0.903704
2461,1.01619,2.98924,0.777221,0.934559,-0.0742471,0,0.937504,-0.00647961,-0.29941,0,0.29948,1.02271,0.0506977,1.00642,0.919669,-0.0730642,0,0.922566
2462,1.09603,3.19032,0.661512,0.871901,-0.0560036,0,0.873698,-0.0840501,-0.132936,0,0.157278,1.13683,0.305432,1.03723,0.795509,-0.0510968,0,0.797148
2463,1.08529,3.16336,0.677071,0.881548,-0.0629959,0,0.883796,-0.0789325,-0.155521,0,0.174405,1.1214,0.270988,1.03327,0.812268,-0.0580451,0,0.814339
2464,1.07391,3.13497,0.694369,0.892372,-0.0675321,0,0.894924,-0.0722709,-0.180027,0,0.193991,1.10483,0.234005,1.0288,0.83096,-0.0628846,0,0.833336
2465,1.05448,3.08577,0.721388,0.909459,-0.0233348,0,0.909758,1.03205,0.169448,0,1.04587,1.07733,0.17261,1.02167,0.862474,-0.0221292,0,0.862758
2466,1.04887,3.07151,0.729074,0.913241,-0.0268703,0,0.913636,1.02209,0.20115,0,1.04169,1.06944,0.154993,1.01961,0.870694,-0.0256185,0,0.871071
2467,1.04374,3.05871,0.736869,0.917469,-0.0295999,0,0.917946,1.01197,0.232698,0,1.03838,1.06202,0.138437,1.01751,0.879018,-0.0283594,0,0.879475
2468,1.03845,3.04541,0.744765,0.921533,-0.0324221,0,0.922103,0.996137,0.261544,0,1.0299,1.05441,0.121441,1.01537,0.887414,-0.0312217,0,0.887963
2469,1.03314,3.03207,0.752632,0.925413,-0.0356887,0,0.926101,0.977508,0.289143,0,1.01937,1.0468,0.104463,1.01322,0.895727,-0.0345438,0,0.896392
2470,1.02754,3.01799,0.760976,0.929449,-0.0382524,0,0.930236,0.955974,0.315573,0,1.00671,1.03877,0.0865294,1.01093,0.904539,-0.0372272,0,0.905305
2471,1.0215,3.00272,0.769781,0.933454,-0.0405929,0,0.934336,0.931409,0.340807,0,0.991802,1.03017,0.0673365,1.00849,0.913811,-0.0397387,0,0.914675
2472,1.01488,2.98596,0.77931,0.937568,-0.0425836,0,0.938535,0.903751,0.364896,0,0.974635,1.0208,0.0464191,1.00583,0.923826,-0.0419594,0,0.924778
2473,1.00747,2.96714,0.789801,0.941816,-0.0440882,0,0.942847,0.872642,0.38812,0,0.955061,1.01038,0.0231776,1.00289,0.93483,-0.0437612,0,0.935854
2474,0.999198,2.94605,0.801401,0.946216,-0.0449833,0,0.947285,0.837966,0.410303,0,0.933025,0.998807,-0.00266202,0.999609,0.946975,-0.0450194,0,0.948045
2475,0.990088,2.92276,0.814042,0.950662,-0.0451513,0,0.951733,0.800323,0.430744,0,0.908877,0.986132,-0.030956,0.996004,0.960179,-0.0456034,0,0.961261
2476,0.980597,2.8985,0.827373,0.955175,-0.0442855,0,0.956201,0.760759,0.448745,0,0.883247,0.972919,-0.0604489,0.99217,0.974075,-0.0451617,0,0.975121
2477,0.970991,2.87393,0.840931,0.959492,-0.0426727,0,0.96044,0.720303,0.463949,0,0.856787,0.95957,-0.0902452,0.988238,0.988157,-0.0439476,0,0.989134
2478,0.961199,2.84877,0.854525,0.963325,-0.0405755,0,0.964179,0.679179,0.475316,0,0.828981,0.946073,-0.120373,0.984263,1.00221,-0.0422134,0,1.0031
2479,0.949401,2.81837,0.870844,0.967431,-0.0374431,0,0.968155,0.63153,0.486393,0,0.797126,0.929891,-0.156494,0.97945,1.01899,-0.0394387,0,1.01975
2480,0.926,2.75806,0.903933,0.974701,0.0315511,0,0.975212,0.472499,-0.508557,0,0.69418,0.897815,-0.228092,0.969563,1.05259,0.0340724,0,1.05314
2481,1.07748,3.14379,0.688583,0.880306,0.138088,0,0.891071,-0.0801476,0.10987,0,0.135996,1.11013,0.245831,1.0303,0.817005,0.128158,0,0.826995
2482,1.08745,3.16871,0.673698,0.871088,0.135153,0,0.88151,-0.0819023,0.096013,0,0.1262,1.12457,0.278059,1.03413,0.801037,0.124284,0,0.810621
2483,0.940752,2.79606,0.882876,0.964011,0.114726,0,0.970814,0.0412472,0.328033,0,0.330616,0.918056,-0.18291,0.975874,1.02472,0.121952,0,1.03195
2484,0.956232,2.83613,0.861938,0.958822,0.121148,0,0.966445,0.019274,0.307391,0,0.307995,0.939098,-0.135941,0.982082,1.00271,0.126693,0,1.01068
2485,1.00043,2.94921,0.799691,0.936605,0.137617,0,0.946661,-0.0339631,0.235932,0,0.238364,1.00053,0.00117664,1.00009,0.9362,0.137557,0,0.946252
2486,0.933253,2.77662,0.893091,0.972158,-0.0322556,0,0.972693,0.575026,0.492759,0,0.757275,0.907888,-0.205608,0.972821,1.04169,-0.0345625,0,1.04226
2487,0.912728,2.72341,0.921593,0.977019,-0.0238741,0,0.97731,0.510334,0.494717,0,0.710764,0.88007,-0.267701,0.964219,1.07044,-0.0261568,0,1.07076
2488,0.892264,2.67027,0.950632,0.980891,-0.0111175,0,0.980954,0.44615,0.49244,0,0.66449,0.852415,-0.329431,0.955339,1.09933,-0.0124599,0,1.0994
