"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
         52,              0.52,      -9.630315735,      -10.48287683,      -10.90448311,                 0,       1.219896594,    0.002040465937,      0.1193409216
         53,              0.53,      -9.727911033,      -10.57925576,      -10.99977139,                 0,       1.215856888,    0.001889343221,      0.1193336865
         54,              0.54,      -9.915936536,      -10.76500106,      -11.16369727,                 0,       1.212209881,    0.001720696266,      0.1193272556
         55,              0.55,      -10.19269612,      -11.03850508,      -11.37711105,                 0,       1.208910655,    0.001529967087,      0.1193212173
         56,              0.56,      -10.11156205,      -10.96109644,      -11.32094664,                 0,       1.205955924,    0.001336762439,        0.11931517
         57,              0.57,      -9.891081651,      -10.74451209,      -11.15283277,                 0,       1.203507736,    0.001149613659,      0.1193086962
         58,              0.58,      -9.774498452,      -10.62973834,      -11.05775024,                 0,       1.201141001,   0.0009376369908,      0.1193014359
         59,              0.59,      -9.736970057,      -10.59283238,      -11.02952675,                 0,       1.198729085,   0.0007001655868,      0.1192932191
         60,               0.6,      -9.765923266,      -10.62148013,      -11.06015559,                 0,       1.196346869,   0.0004431260773,      0.1192840813
         61,              0.61,      -9.862509257,      -10.71704276,      -11.14779557,                 0,       1.193986949,   0.0001727810715,      0.1192741925
         62,              0.62,      -10.03834853,      -10.89133776,      -11.29531798,                 0,       1.191590678,  -0.0001084622021,      0.1192637979
         63,              0.63,      -10.26383303,       -11.1145423,      -11.46092982,                 0,       1.189095074,  -0.0004026494552,      0.1192531722
         64,              0.64,      -10.23065828,       -11.0830733,      -11.41535615,                 0,       1.186450896,  -0.0007032561259,      0.1192425932
         65,              0.65,      -10.06116449,      -10.91591301,      -11.29282962,                 0,       1.183873956,  -0.0009877963037,      0.1192322955
         66,              0.66,      -9.964560557,      -10.81936031,      -11.22493511,                 0,       1.181297726,   -0.001271029681,      0.1192224221
         67,              0.67,      -9.937474404,      -10.79264867,      -11.20543825,                 0,       1.178598578,   -0.001562019852,      0.1192130453
         68,              0.68,      -9.968565228,      -10.82479788,      -11.22999941,                 0,       1.175934976,   -0.001847125444,      0.1192041685
         69,              0.69,      -10.05463979,      -10.91240421,      -11.29608511,                 0,       1.173430283,    -0.00211727771,      0.1191957033
         70,               0.7,      -10.18968025,      -11.05024164,      -11.39787816,                 0,       1.171110406,   -0.002367133771,      0.1191874834
         71,              0.71,      -10.30123607,      -11.16277492,      -11.49924443,                 0,       1.168945778,   -0.002591821067,      0.1191793154
