"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -6.774534468,      -6.864234242,      -7.260023751,      -6.068238388
          0,           0,          77,      -6.820154965,      -6.899390017,      -7.306886718,      -6.112365962
          0,           0,          78,      -6.857298619,      -6.933921191,      -7.338921718,      -6.143842351
          0,           0,          79,      -6.907299943,      -6.971790487,      -7.384601672,      -6.199577974
          0,           0,          80,      -6.954334372,      -7.012694111,      -7.433944108,      -6.245354547
          0,           0,          81,      -6.990475551,      -7.052147594,      -7.467841119,      -6.276368308
          0,           0,          82,      -7.039005315,       -7.09328713,       -7.51497001,      -6.330776515
          0,           0,          83,      -7.084496563,      -7.136907132,       -7.56477398,      -6.375057028
          0,           0,          84,      -7.119282247,      -7.178212396,      -7.599234078,      -6.404790159
          0,           0,          85,      -7.152419294,      -7.218119845,      -7.638704687,      -6.435737989
          0,           0,          86,      -7.192279838,      -7.256723158,      -7.679752122,      -6.474382781
          0,           0,          87,      -7.228978442,      -7.295216357,       -7.71535426,      -6.508549852
          0,           0,          88,      -7.288863081,       -7.33707531,      -7.767299583,      -6.576238986
          0,           0,          89,      -7.354439078,      -7.385366324,      -7.828105247,      -6.641490863
          0,           0,          90,      -7.422482108,      -7.436140158,      -7.885494079,      -6.704201752
          0,           0,          91,      -7.489586672,      -7.488474498,      -7.945017698,      -6.766799606
          0,           0,          92,       -7.56972278,      -7.538452027,       -8.00664256,      -6.852389221
          0,           0,          93,      -7.654412603,      -7.595794484,      -8.079930251,      -6.936902111
          0,           0,          94,       -7.74514949,      -7.656764048,      -8.155740632,      -7.022808481
          0,           0,          95,      -7.842584478,      -7.718882106,      -8.232105291,      -7.114946578
          0,           0,          96,      -7.944673747,      -7.778603007,      -8.302029172,      -7.219341855
          0,           0,          97,       -8.05403652,      -7.843689545,      -8.380556537,      -7.327803609
          0,           0,          98,      -8.172576931,      -7.910953849,      -8.461137927,      -7.441652592
          0,           0,          99,      -8.285354516,      -7.972654496,      -8.529290261,      -7.555189325
          0,           0,         100,      -8.402435671,      -8.037754721,      -8.604500308,      -7.670725035
          0,           0,         101,      -8.505139519,      -8.099394978,      -8.668418545,      -7.774496772
          0,           0,         102,      -8.576525893,      -8.156695674,      -8.727991705,      -7.855878769
          0,           0,         103,      -8.604689543,      -8.210239426,      -8.771775721,      -7.890646805
          0,           0,         104,       -8.60367276,      -8.260031345,      -8.814721024,      -7.902499826
          0,           0,         105,      -8.568055337,      -8.302578131,      -8.830015293,      -7.866622669
          0,           0,         106,       -8.54004261,      -8.342892625,      -8.854508217,      -7.846432813
          0,           0,         107,      -8.496255088,      -8.372829197,      -8.848337684,      -7.797573975
          0,           0,         108,      -8.472404771,      -8.403391853,      -8.861266497,      -7.779299525
          0,           0,         109,      -8.437926494,      -8.422156434,       -8.84705339,      -7.738965544
          0,           0,         110,      -8.423648794,      -8.444815457,       -8.85614999,      -7.729530943
          0,           0,         111,      -8.399947993,      -8.455708683,      -8.842850695,      -7.700147969
          0,           0,         112,      -8.381534213,      -8.468013199,      -8.843377795,      -7.678901305
          0,           0,         113,      -8.352725457,      -8.466008586,       -8.81584009,      -7.644290713
          0,           0,         114,      -8.352845512,      -8.474768624,      -8.817827009,      -7.653750415
          0,           0,         115,      -8.346117973,      -8.480503096,      -8.823256524,      -7.644174472
          0,           0,         116,      -8.330501115,      -8.478754764,      -8.812033789,      -7.621345244
          0,           0,         117,      -8.340629774,      -8.484973363,      -8.816582374,      -7.639938408
          0,           0,         118,      -8.346469073,      -8.496963893,      -8.842706314,      -7.643444009
          0,           0,         119,      -8.352849269,      -8.501506906,      -8.849983568,      -7.642409224
          0,           0,         120,      -8.381110322,      -8.515946946,      -8.869635695,      -7.677907381
          0,           0,         121,      -8.405871917,      -8.537073401,      -8.907110448,      -7.700645833
