"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633192551994360e-05, 4.849290635380459e-01, -1.138976017328113e+00, -1.295085236993825e-01, 3.102255601001053e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.077780142845608e+00
1, 9.990000128750000e-01, -1.454406184923616e-04, 1.174235242027763e-02, -1.567187290896759e-01, -9.736123823709500e-02, 2.312599133807417e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.202614431270873e+00
2, 9.977599978450000e-01, -3.271597077893920e-04, -1.017958829685905e-02, -8.051723926922501e-02, -1.304561841157144e-01, 1.180620685293847e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.997725067109288e-02
3, 9.960200190539999e-01, -5.880509054741896e-04, -3.794095899899434e-02, -2.499159121430441e-02, -1.266193279607890e-01, 7.823106872478640e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.453216807862756e-02
4, 9.937800168990000e-01, -9.403215026928098e-04, -6.595148376138156e-02, 2.621382157073116e-02, -1.341909846911918e-01, -1.045550629568915e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.152233252883711e-02
5, 9.910500049590000e-01, -1.403399641146777e-03, -7.883266941604622e-02, 5.136109165449627e-02, -1.461691377626549e-01, -1.519104680869320e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.434926650615768e-02
6, 9.878399968150000e-01, -2.003093828390375e-03, -8.320121438592164e-02, 6.324287555980904e-02, -1.623987882785347e-01, -1.733800809048254e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.547386582242964e-02
7, 9.841300249100000e-01, -2.770688291058856e-03, -7.797105509155140e-02, 6.081708664571693e-02, -1.817844492534813e-01, -1.673389393890709e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.897812094205532e-02
8, 9.799500107769999e-01, -3.715859691349400e-03, -6.230784063971757e-02, 4.327796616637939e-02, -2.016382188961208e-01, -1.329819585098523e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.337141416790126e-02
9, 9.752799868580000e-01, -4.836301220365391e-03, -3.679533045412162e-02, 1.160757545537390e-02, -2.183162387768096e-01, -7.214992712493900e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.781298633692575e-02
10, 9.701499938960000e-01, -6.091060421970907e-03, -3.936901956304926e-03, -3.052618001909031e-02, -2.280567013985637e-01, 8.699280556512443e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.249747117794174e-02
11, 9.645400047300000e-01, -7.430254877700583e-03, 3.167611813228122e-02, -7.680264762612142e-02, -2.281436856479207e-01, 9.773823523375717e-03, 0.000000000000000e+00, 0.000000000000000e+00, 7.323711087485588e-03
12, 9.584699869160000e-01, -8.788871314731680e-03, 6.359750999405711e-02, -1.188110356500082e-01, -2.181484448684229e-01, 1.785797824638477e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.153843739708560e-03
13, 9.519400000570000e-01, -1.011953739359490e-02, 8.589156901324821e-02, -1.489041982317635e-01, -2.009068081038070e-01, 2.351581140619227e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.721906279394223e-03
14, 9.449599981310000e-01, -1.139831937984752e-02, 9.584918751557334e-02, -1.634633754699095e-01, -1.813677888094481e-01, 2.599683770740063e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.963181897208692e-03
15, 9.375399947170000e-01, -1.262914200968472e-02, 9.553496130321384e-02, -1.647129186538293e-01, -1.642728282068623e-01, 2.579999372336290e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.977001444749534e-03
16, 9.296900033950000e-01, -1.383568316487456e-02, 9.014810150742038e-02, -1.588191105434638e-01, -1.522878219731338e-01, 2.425435442221053e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.025111803839068e-03
17, 9.214000105860000e-01, -1.505148410677486e-02, 8.454384458263756e-02, -1.518847619057694e-01, -1.454687382745232e-01, 2.267843918709621e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.980780447954407e-03
18, 9.126999974250000e-01, -1.629990808968641e-02, 8.184284705739468e-02, -1.479411458138752e-01, -1.426299174606390e-01, 2.184155478029313e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.323539899157501e-03
19, 9.035800099370001e-01, -1.759973353187712e-02, 8.272458914626628e-02, -1.480933831869882e-01, -1.419931450899142e-01, 2.197254593329964e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.571254751692127e-03
20, 8.940600156780000e-01, -1.895420179870470e-02, 8.689809504548354e-02, -1.521519108473931e-01, -1.421775661673203e-01, 2.295299584255869e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.793433850602712e-03
21, 8.841500282290000e-01, -2.035957052879699e-02, 9.340234560598561e-02, -1.590316388271077e-01, -1.422668362397057e-01, 2.454931372498597e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.134988058221393e-03
22, 8.738499879840000e-01, -2.180910543430300e-02, 1.012023587691946e-01, -1.675288480331374e-01, -1.417885097973359e-01, 2.649436068845602e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.670377842860839e-03
23, 8.631799817090000e-01, -2.329221322589389e-02, 1.096294017694527e-01, -1.768036314089635e-01, -1.407458441874411e-01, 2.858650089966685e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.309292817623026e-03
24, 8.521599769590000e-01, -2.479941512380759e-02, 1.180965955754724e-01, -1.861638652486109e-01, -1.391725068102784e-01, 3.070760103881599e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.115183449299141e-03
25, 8.407700061800000e-01, -2.632837949520534e-02, 1.265195680215257e-01, -1.954616077723439e-01, -1.373122964477719e-01, 3.279863313557767e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.963917330262653e-03
26, 8.290500044819999e-01, -2.787021598333102e-02, 1.347855490148545e-01, -2.045696583873731e-01, -1.352443845742104e-01, 3.486875851725211e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.868575874461243e-03
27, 8.170099854470000e-01, -2.942117828972242e-02, 1.430335251832691e-01, -2.136277600493096e-01, -1.330783226129300e-01, 3.692996678263281e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.758696754538505e-03
28, 8.046399950980000e-01, -3.098043989985257e-02, 1.513794310995834e-01, -2.227591516750078e-01, -1.308449932317315e-01, 3.901533433570031e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.584204695614207e-03
