"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      
          0,           0,           0,      -4.359511857,       4.099164355,      0.8740022517,      0.3453558167
          0,           0,           1,       -4.51986795,       2.656662811,      0.8297509017,      0.3259982919
          0,           0,           2,      -4.894526104,       2.018270163,      0.8465264263,      0.3364355432
          0,           0,           3,        -5.0697923,        1.69124946,      0.8658016909,      0.3460380939
          0,           0,           4,      -5.191917988,       1.496985687,      0.8777319303,      0.3518171218
          0,           0,           5,        -5.2667457,        1.36758181,      0.8856165616,      0.3555297062
          0,           0,           6,      -5.306221287,       1.274039436,      0.8916472767,      0.3583128437
          0,           0,           7,      -5.324487879,       1.202269784,      0.8964699508,      0.3605392138
          0,           0,           8,      -5.328450413,       1.144633292,       0.900308604,      0.3623370673
          0,           0,           9,      -5.321453931,       1.096575126,      0.9033716312,      0.3637893084
          0,           0,          10,      -5.306299468,       1.055157385,      0.9058518554,      0.3649534561
          0,           0,          11,      -5.285742744,        1.01832525,      0.9079205905,       0.365858133
          0,           0,          12,      -5.262387283,      0.9845883217,      0.9097172795,      0.3664826793
          0,           0,          13,      -5.238484601,       0.952854676,      0.9113365124,      0.3667634097
          0,           0,          14,      -5.215625012,      0.9223229082,      0.9128023672,      0.3665883762
          0,           0,          15,      -5.194583166,       0.892390735,      0.9140775634,      0.3658071139
          0,           0,          16,      -5.175510094,      0.8626047306,      0.9150608975,      0.3642505153
          0,           0,          17,      -5.158207022,      0.8326447688,      0.9155968118,      0.3617364082
          0,           0,          18,      -5.142411915,      0.8022977271,      0.9155059644,      0.3580790208
          0,           0,          19,        -5.1278965,      0.7714117168,      0.9146102565,      0.3531001016
          0,           0,          20,      -5.114309185,      0.7398814082,      0.9127471948,      0.3466390512
          0,           0,          21,       -5.10123842,      0.7076441402,      0.9097858896,      0.3385668953
          0,           0,          22,      -5.088319136,      0.6746825038,      0.9056205537,      0.3287898832
          0,           0,          23,      -5.075305949,      0.6409985932,      0.9001803832,      0.3172569617
          0,           0,          24,      -5.062132423,      0.6066212086,       0.893450294,      0.3039736145
          0,           0,          25,       -5.04881639,       0.571607634,      0.8854491608,      0.2889874957
          0,           0,          26,      -5.035498824,      0.5360315429,      0.8762370392,      0.2723846208
          0,           0,          27,      -5.022382661,      0.4999831318,      0.8658944554,      0.2542884356
          0,           0,          28,      -5.009675215,      0.4635793537,      0.8545037342,      0.2348641016
          0,           0,          29,      -4.997583047,      0.4269632611,      0.8421249171,      0.2142940281
          0,           0,          30,      -4.986313445,      0.3903029333,      0.8288012918,      0.1927783071
          0,           0,          31,       -4.97608329,      0.3537848677,      0.8145685682,      0.1705319817
          0,           0,          32,      -4.967123955,      0.3176108443,      0.7994686197,      0.1477742718
          0,           0,          33,      -4.959689417,      0.2819947502,      0.7835273659,      0.1247195619
          0,           0,          34,      -4.954043221,      0.2471543485,      0.7667614668,      0.1015698412
          0,           0,          35,       -4.95042099,         0.2133154,      0.7491884747,      0.0785196553
          0,           0,          36,       -4.94897016,      0.1807046741,      0.7308158274,     0.05573418856
          0,           0,          37,      -4.949679022,      0.1495553896,      0.7116995301,     0.03337413976
          0,           0,          38,       -4.95233001,      0.1201011761,      0.6918857289,     0.01157908359
          0,           0,          39,      -4.956492685,     0.09257122636,      0.6714183491,     -0.0095263091
          0,           0,          40,      -4.961605739,     0.06718482737,      0.6503402949,    -0.02983035632
          0,           0,          41,      -4.967076928,     0.04414630466,      0.6286986972,    -0.04922950774
          0,           0,          42,      -4.972452592,     0.02364403427,      0.6065386904,    -0.06762567472
          0,           0,          43,      -4.977501522,    0.005835919258,      0.5838944151,    -0.08492879208
          0,           0,          44,      -4.982264762,   -0.009162737359,      0.5607655699,     -0.1010557312
          0,           0,          45,       -4.98699353,    -0.02127374834,      0.5371470147,     -0.1159363123
          0,           0,          46,      -4.991968762,    -0.03045753968,      0.5130067869,     -0.1294991295
          0,           0,          47,      -4.997526598,    -0.03673019309,      0.4883202284,     -0.1416967875
          0,           0,          48,       -5.00376069,    -0.04015876558,      0.4630922581,     -0.1524940368
          0,           0,          49,      -5.010776146,    -0.04088250952,      0.4373168076,     -0.1618828916
          0,           0,          50,      -5.018413127,    -0.03906553021,      0.4109734876,      -0.169873085
          0,           0,          51,      -5.026597809,    -0.03491343405,      0.3840974619,     -0.1764933641
          0,           0,          52,       -5.03507172,    -0.02865297059,       0.356762816,     -0.1817848578
          0,           0,          53,      -5.043643926,    -0.02053230807,      0.3290349776,     -0.1858092628
          0,           0,          54,      -5.052016469,    -0.01081459994,      0.3009635866,     -0.1886487311
          0,           0,          55,      -5.059846935,    0.000247640369,      0.2725809927,      -0.190376761
          0,           0,          56,       -5.06676595,     0.01240458147,       0.243949366,     -0.1910877314
          0,           0,          57,      -5.072349099,     0.02541696771,      0.2151649586,     -0.1908684122
          0,           0,          58,      -5.076239332,     0.03904788518,       0.186250944,     -0.1898159552
          0,           0,          59,      -5.078199006,     0.05307021574,      0.1572593576,     -0.1880142368
          0,           0,          60,      -5.078206229,     0.06726191326,      0.1282163394,     -0.1855427179
          0,           0,          61,      -5.076466773,     0.08141484279,     0.09922954524,     -0.1824788709
          0,           0,          62,       -5.07337503,     0.09534417941,     0.07058299055,     -0.1788778961
          0,           0,          63,      -5.069481372,       0.108872313,     0.04258054173,     -0.1747829433
          0,           0,          64,      -5.065373786,      0.1218257221,     0.01530141563,     -0.1702674259
          0,           0,          65,      -5.061599674,      0.1340408573,    -0.01117633813,     -0.1654033847
          0,           0,          66,      -5.058602795,      0.1453704669,    -0.03674014645,     -0.1602638183
          0,           0,          67,       -5.05670141,      0.1556883607,    -0.06123319565,     -0.1549057935
          0,           0,          68,      -5.056082007,       0.164896186,    -0.08448049513,     -0.1493728105
          0,           0,          69,      -5.056813567,       0.172920038,     -0.1063090909,     -0.1437058745
          0,           0,          70,       -5.05886399,      0.1797023952,     -0.1265648625,      -0.137954024
          0,           0,          71,      -5.062146547,       0.185201972,     -0.1451181684,     -0.1321745091
          0,           0,          72,      -5.066529108,       0.189395698,     -0.1618545488,     -0.1264246631
          0,           0,          73,      -5.071862106,      0.1922822855,     -0.1766704389,     -0.1207554727
          0,           0,          74,       -5.07799014,       0.193874715,      -0.189484169,     -0.1152172352
          0,           0,          75,      -5.084770161,      0.1942045967,     -0.2002251935,     -0.1098606498
          0,           0,          76,      -5.092084896,      0.1933268827,     -0.2088650408,     -0.1047284252
          0,           0,          77,      -5.099837035,      0.1912851938,     -0.2153524696,    -0.09987897419
          0,           0,          78,      -5.107954612,      0.1881409549,     -0.2196221941,    -0.09535129048
          0,           0,          79,      -5.116374582,      0.1839648007,     -0.2216296884,    -0.09115873228
          0,           0,          80,      -5.125052728,      0.1788418156,     -0.2213453673,    -0.08730285055
          0,           0,          81,      -5.133951851,      0.1728574414,     -0.2187675165,     -0.0837845015
          0,           0,          82,      -5.143018032,      0.1660871601,     -0.2139263885,    -0.08060435127
          0,           0,          83,      -5.152198598,      0.1586102223,     -0.2068852607,    -0.07777113219
          0,           0,          84,      -5.161411614,      0.1505056387,      -0.197710894,    -0.07527257871
          0,           0,          85,      -5.170547281,      0.1418600645,     -0.1864568598,    -0.07307299043
          0,           0,          86,      -5.179460614,      0.1327676565,     -0.1731683605,    -0.07112280509
          0,           0,          87,      -5.187978563,      0.1233278657,     -0.1579265071,    -0.06937545035
          0,           0,          88,      -5.195893716,      0.1136385698,     -0.1408330791,    -0.06778044523
          0,           0,          89,      -5.202979188,       0.103793749,     -0.1219965698,    -0.06627806346
          0,           0,          90,      -5.208959296,     0.09388627554,     -0.1015355511,    -0.06480585708
          0,           0,          91,      -5.213599517,     0.08400659285,    -0.07960593618,    -0.06331703068
          0,           0,          92,      -5.216674268,     0.07425427727,    -0.05634746693,    -0.06174659807
          0,           0,          93,      -5.218050146,     0.06472945874,    -0.03191414711,    -0.06003010212
          0,           0,          94,      -5.217635872,     0.05553397278,   -0.006462236338,    -0.05809947197
          0,           0,          95,      -5.215459755,     0.04676864033,     0.01980909779,    -0.05590094811
          0,           0,          96,      -5.211665277,     0.03851887306,     0.04672966249,    -0.05338346215
          0,           0,          97,      -5.206499925,     0.03091849734,     0.07437782009,    -0.05042334529
          0,           0,          98,      -5.200283279,     0.02404576626,      0.1024895767,    -0.04698640636
          0,           0,          99,      -5.193416308,      0.0179655036,      0.1307853886,    -0.04306156689
          0,           0,         100,        -5.1862508,      0.0127479058,      0.1591013495,    -0.03862214806
          0,           0,         101,      -5.179209924,    0.008458182379,      0.1873172548,    -0.03364321378
          0,           0,         102,      -5.172664819,     0.00515608556,      0.2153662884,    -0.02809976689
          0,           0,         103,      -5.166905385,    0.002889977019,      0.2431998956,     -0.0219682115
          0,           0,         104,      -5.162182119,    0.001701844706,      0.2707406507,    -0.01522933727
          0,           0,         105,      -5.158712341,    0.001612744274,      0.2979522163,   -0.007885373333
          0,           0,         106,      -5.156664184,    0.002631353717,      0.3247927701,     4.7696971e-05
          0,           0,         107,      -5.156155572,    0.004750474903,      0.3512239327,     0.00854634267
          0,           0,         108,      -5.157270849,    0.007950327459,      0.3772585175,     0.01757199096
          0,           0,         109,      -5.160059567,     0.01220580751,      0.4028910258,     0.02707839371
          0,           0,         110,      -5.164514404,     0.01746170684,      0.4281004588,     0.03701147077
          0,           0,         111,      -5.170599503,     0.02363987658,      0.4528605768,     0.04730666031
          0,           0,         112,      -5.178248666,     0.03066346162,      0.4771385559,     0.05789318083
          0,           0,         113,      -5.187345636,      0.0384632778,      0.5008899846,     0.06869060849
          0,           0,         114,      -5.197713543,     0.04696056442,      0.5240704061,     0.07961020413
          0,           0,         115,      -5.209147718,     0.05606591384,      0.5466410029,     0.09056577943
          0,           0,         116,      -5.221364326,     0.06567972518,      0.5685603034,      0.1014607057
          0,           0,         117,      -5.234037105,     0.07569895599,       0.589799621,      0.1122004951
          0,           0,         118,      -5.246781622,      0.0860214108,      0.6103498537,      0.1227033619
          0,           0,         119,      -5.259152048,     0.09654180469,      0.6301919832,      0.1328842127
          0,           0,         120,      -5.270682976,      0.1071465621,      0.6492274215,      0.1426143538
          0,           0,         121,      -5.280878125,      0.1177150002,      0.6673307372,      0.1517505677
          0,           0,         122,      -5.289354644,      0.1281267424,      0.6844034415,      0.1601738683
          0,           0,         123,       -5.29579445,      0.1382733499,      0.7004025642,      0.1677990681
          0,           0,         124,      -5.300028702,      0.1480557838,      0.7153069089,      0.1745598108
          0,           0,         125,      -5.302074534,      0.1573879014,      0.7290175079,      0.1804052711
          0,           0,         126,       -5.30218143,      0.1661859151,      0.7414872298,      0.1852776494
          0,           0,         127,       -5.30067669,      0.1743711455,      0.7526564361,      0.1891188858
          0,           0,         128,      -5.298008027,      0.1818851124,      0.7625209247,      0.1919012084
          0,           0,         129,      -5.294729657,      0.1886914525,      0.7711666738,       0.193628827
          0,           0,         130,       -5.29138601,      0.1947577587,      0.7787018109,      0.1943126134
          0,           0,         131,      -5.288477947,      0.2000250314,      0.7850097054,      0.1938991999
          0,           0,         132,      -5.286433298,      0.2044532953,      0.7900328616,      0.1923664508
          0,           0,         133,      -5.285608552,      0.2080155642,      0.7937669652,      0.1897219173
          0,           0,         134,      -5.286290803,      0.2106914189,      0.7962143358,      0.1859813027
          0,           0,         135,      -5.288713327,      0.2124697313,      0.7973769199,      0.1811653469
          0,           0,         136,      -5.292977114,      0.2133470367,      0.7972597772,      0.1753032369
          0,           0,         137,      -5.299147375,      0.2133251752,      0.7958649057,       0.168428372
          0,           0,         138,      -5.307217858,      0.2124107619,       0.793198947,      0.1605808788
          0,           0,         139,       -5.31711379,      0.2106166004,      0.7892725863,      0.1518074575
          0,           0,         140,      -5.328646288,      0.2079609773,      0.7840956858,      0.1421594576
          0,           0,         141,      -5.341544388,      0.2044695623,      0.7776682997,      0.1316928547
          0,           0,         142,      -5.355405823,       0.200177825,      0.7700074092,      0.1204791814
          0,           0,         143,      -5.369691107,      0.1951209008,      0.7611892818,      0.1086265724
          0,           0,         144,      -5.383708375,      0.1893503125,      0.7512786664,     0.09623807194
          0,           0,         145,      -5.396679264,      0.1829281764,      0.7403585021,     0.08343343433
          0,           0,         146,      -5.407740601,       0.175908725,      0.7284650208,     0.07029877941
          0,           0,         147,      -5.416078565,      0.1683489397,       0.715629535,     0.05692086468
          0,           0,         148,      -5.420989622,      0.1603088549,      0.7018965909,     0.04339193078
          0,           0,         149,      -5.422087028,      0.1518554156,      0.6873459773,       0.029821623
          0,           0,         150,      -5.419358575,      0.1430583118,       0.672057957,     0.01632401518
          0,           0,         151,      -5.413124729,      0.1339889511,      0.6561120291,    0.003011156012
          0,           0,         152,      -5.404061502,       0.124721074,        0.63957884,    -0.01001598007
          0,           0,         153,      -5.392930479,      0.1153300716,      0.6225223753,    -0.02266831285
          0,           0,         154,       -5.38058605,      0.1058917908,      0.6050162364,      -0.034856407
          0,           0,         155,      -5.367813018,      0.0964789027,        0.58713999,    -0.04649208393
          0,           0,         156,      -5.355258871,     0.08716265655,      0.5689853002,    -0.05748496993
          0,           0,         157,      -5.343446732,     0.07801184821,      0.5506428425,    -0.06775262509
          0,           0,         158,      -5.332781043,     0.06909043307,      0.5321923151,    -0.07722534533
          0,           0,         159,      -5.323560144,     0.06046528811,      0.5137410303,    -0.08583166217
          0,           0,         160,      -5.315979624,     0.05220328384,      0.4954064335,    -0.09350686287
          0,           0,         161,      -5.310166939,     0.04436081558,      0.4772783534,     -0.1002072214
          0,           0,         162,      -5.306192896,     0.03698290469,      0.4594171642,     -0.1059101575
          0,           0,         163,      -5.304102745,     0.03010434649,      0.4418570918,     -0.1106108937
          0,           0,         164,      -5.303907428,     0.02375186741,      0.4246176974,      -0.114317597
          0,           0,         165,      -5.305588956,     0.01794847894,       0.407732744,     -0.1170421275
          0,           0,         166,      -5.309108221,     0.01271335671,      0.3912490451,     -0.1188008593
          0,           0,         167,      -5.314380342,    0.008059413131,      0.3752131721,     -0.1196171781
          0,           0,         168,      -5.321345231,    0.003993632158,         0.3596715,     -0.1195213642
          0,           0,         169,      -5.329821756,   0.0005165596107,        0.34466427,     -0.1185528293
          0,           0,         170,      -5.339753303,   -0.002378494217,      0.3302293968,     -0.1167582185
          0,           0,         171,      -5.350851841,   -0.004704056541,      0.3163990944,     -0.1141917799
          0,           0,         172,      -5.362945921,   -0.006479433053,      0.3031985078,     -0.1109151318
          0,           0,         173,      -5.375661242,   -0.007730892651,      0.2906492272,     -0.1069966446
          0,           0,         174,      -5.388763721,   -0.008491273823,       0.278763689,     -0.1025123869
          0,           0,         175,      -5.401761766,   -0.008793369006,       0.267550529,    -0.09754102461
          0,           0,         176,       -5.41426208,    -0.00866276987,      0.2570557671,    -0.09213456921
          0,           0,         177,      -5.425768459,   -0.008136232869,      0.2473056993,    -0.08636139372
          0,           0,         178,      -5.435842088,   -0.007253151951,      0.2383113268,    -0.08029858553
          0,           0,         179,      -5.444121918,    -0.00604750789,      0.2300902281,    -0.07401748843
          0,           0,         180,      -5.450314148,   -0.004556988337,      0.2226383197,    -0.06760212483
          0,           0,         181,      -5.454325166,   -0.002822605142,      0.2159476584,    -0.06113395697
          0,           0,         182,      -5.456195141,  -0.0008832465404,      0.2100182646,    -0.05468305052
          0,           0,         183,      -5.456136683,    0.001224555404,      0.2048560155,    -0.04831141226
          0,           0,         184,      -5.454457053,    0.003466473674,      0.2004688131,    -0.04207500895
          0,           0,         185,      -5.451559716,    0.005811685242,       0.196873221,    -0.03601934428
          0,           0,         186,      -5.447905218,    0.008231302932,       0.194083975,    -0.03018514446
          0,           0,         187,      -5.443935786,     0.01069766607,      0.1921130754,     -0.0246072232
          0,           0,         188,      -5.440076622,     0.01318604072,      0.1909624308,    -0.01932067423
          0,           0,         189,       -5.43665222,      0.0156749221,      0.1906399654,    -0.01435142272
          0,           0,         190,      -5.433995255,     0.01814653522,      0.1911550754,    -0.00972126036
          0,           0,         191,      -5.432328717,     0.02058589575,      0.1925201373,   -0.005447088934
          0,           0,         192,      -5.431853267,     0.02298109002,      0.1947416136,   -0.001544026025
          0,           0,         193,      -5.432632154,     0.02532159109,      0.1978277159,     0.00198307296
          0,           0,         194,      -5.434761642,     0.02759838423,      0.2017844889,    0.005136683957
          0,           0,         195,      -5.438265707,     0.02980430927,      0.2066090611,    0.007921224636
          0,           0,         196,       -5.44312369,     0.03193387443,      0.2122909992,     0.01034390944
          0,           0,         197,      -5.449277168,     0.03398560272,      0.2188194783,     0.01241900191
          0,           0,         198,      -5.456610689,     0.03596256442,      0.2261942209,     0.01417453368
          0,           0,         199,      -5.465008405,     0.03786747508,      0.2344050392,     0.01563613963
          0,           0,         200,      -5.474264594,        0.03970366,       0.243437034,     0.01682879771
          0,           0,         201,      -5.484161304,      0.0414764384,      0.2532785141,     0.01778150737
