"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633005370040397e-05, 4.761537688796380e+00, -1.060279773003729e+01, -9.965167103134889e-01, 2.430823543848526e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.022870056405319e+01
1, 9.990000128750000e-01, -1.453224600050237e-04, 1.711943134708162e+00, -3.917565206337073e+00, -5.382281812269469e-01, 6.198381615514788e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.465910236903880e+00
2, 9.977599978450000e-01, -3.258643608336259e-04, 1.435491381440010e+00, -2.946466949841697e+00, -6.087909991950637e-01, 4.825947913921811e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.609436248191024e-01
3, 9.960200190539999e-01, -5.810618171904745e-04, 1.197803134670415e+00, -2.382665685415657e+00, -4.774068681626532e-01, 3.879153600926018e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.729766869557178e-01
4, 9.937800168990000e-01, -9.150986537118386e-04, 9.752172884039881e-01, -1.938205378999501e+00, -4.307146456128664e-01, 2.998941827815388e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.360785686308976e-01
5, 9.910500049590000e-01, -1.333807853298759e-03, 8.492402525988707e-01, -1.686051902240489e+00, -4.073187436438682e-01, 2.552174400769923e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.611863064543157e-01
6, 9.878399968150000e-01, -1.845288275874950e-03, 7.608234411359620e-01, -1.510556890477818e+00, -3.942759232638385e-01, 2.244710575660973e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.966947839107803e-01
7, 9.841300249100000e-01, -2.462268452925958e-03, 7.013617809975763e-01, -1.389911466963622e+00, -3.897922977504204e-01, 2.036780980772945e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.521155012149169e-01
8, 9.799500107769999e-01, -3.184920637319363e-03, 6.656263654871118e-01, -1.310688563320964e+00, -3.882560051561165e-01, 1.905891957853489e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.211346954448370e-01
9, 9.752799868580000e-01, -4.013395696248783e-03, 6.469950912381616e-01, -1.261537359416518e+00, -3.855651480191447e-01, 1.829558242104167e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.972454538458515e-02
10, 9.701499938960000e-01, -4.929064102263735e-03, 6.395034001802733e-01, -1.232324263291615e+00, -3.781721455722349e-01, 1.789152386539726e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.334983457694345e-02
11, 9.645400047300000e-01, -5.914381288845475e-03, 6.367876837632312e-01, -1.213062886160920e+00, -3.647775826548701e-01, 1.766142346145756e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.044798434149882e-02
12, 9.584699869160000e-01, -6.942643620091874e-03, 6.330612815799930e-01, -1.195235610627776e+00, -3.458148303848732e-01, 1.744540932553509e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.001844670326924e-02
13, 9.519400000570000e-01, -7.995365014484909e-03, 6.251186990466386e-01, -1.173747403833925e+00, -3.240564848403561e-01, 1.713756583583913e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.171854935979004e-02
14, 9.449599981310000e-01, -9.061817200690882e-03, 6.120927413010459e-01, -1.146898152803453e+00, -3.026920884824546e-01, 1.671248908879266e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.519382979051591e-02
15, 9.375399947170000e-01, -1.014153405392838e-02, 5.958302105405930e-01, -1.116603438458993e+00, -2.843331918411304e-01, 1.620966460171302e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.983689003502668e-02
16, 9.296900033950000e-01, -1.124133483205106e-02, 5.792230215471909e-01, -1.086120604135730e+00, -2.703777977835836e-01, 1.569920019180128e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.524777120329492e-02
17, 9.214000105860000e-01, -1.237332396416479e-02, 5.642209989677965e-01, -1.058141676959302e+00, -2.601877353107497e-01, 1.524647361156860e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.140589903081448e-02
18, 9.126999974250000e-01, -1.354254331658897e-02, 5.529625091600489e-01, -1.035225398093549e+00, -2.532820269973050e-01, 1.488690046361847e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.781393633948436e-02
19, 9.035800099370001e-01, -1.475562980782221e-02, 5.448703821358005e-01, -1.016786153962466e+00, -2.479992478666324e-01, 1.462849716275383e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.503608376071160e-02
20, 8.940600156780000e-01, -1.601106705230365e-02, 5.400140678359098e-01, -1.002901169661810e+00, -2.436112118245512e-01, 1.445266232815156e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.250485840688781e-02
21, 8.841500282290000e-01, -1.730560946512374e-02, 5.373493213017735e-01, -9.922384252388911e-01, -2.393632648604505e-01, 1.434430039404894e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.040064572083578e-02
22, 8.738499879840000e-01, -1.863572470382752e-02, 5.361264488647886e-01, -9.838725091488416e-01, -2.348882157186830e-01, 1.427731687775108e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.867110207167537e-02
23, 8.631799817090000e-01, -1.999494967626581e-02, 5.359916024401810e-01, -9.772593223437814e-01, -2.303139065918837e-01, 1.423967438464083e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.704077357376454e-02
24, 8.521599769590000e-01, -2.137736127083141e-02, 5.363347996785193e-01, -9.716426038639400e-01, -2.255199136911357e-01, 1.422052540809020e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.574455173001466e-02
25, 8.407700061800000e-01, -2.278273325901710e-02, 5.371951289649077e-01, -9.669944634730907e-01, -2.207214444637721e-01, 1.421433970584701e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.457982195508410e-02
26, 8.290500044819999e-01, -2.420405712263626e-02, 5.384468365440811e-01, -9.631053229847347e-01, -2.160184201245877e-01, 1.422079727234555e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.351745891338164e-02
27, 8.170099854470000e-01, -2.563858093589041e-02, 5.399935163194135e-01, -9.598469857087135e-01, -2.113365024957865e-01, 1.423835798406966e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.260393496558817e-02
28, 8.046399950980000e-01, -2.708612087388731e-02, 5.420515766034594e-01, -9.574206236683069e-01, -2.068270755042164e-01, 1.426866031264672e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.167543448146612e-02
29, 7.919700145720000e-01, -2.854186210683674e-02, 5.445272859904448e-01, -9.556922190245335e-01, -2.023790859823892e-01, 1.431191367956238e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.082559653078720e-02
30, 7.790099978450000e-01, -3.000338060903612e-02, 5.474914127880038e-01, -9.547952327771112e-01, -1.980051869345779e-01, 1.436973295395802e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.004410299103305e-02
31, 7.657799720760000e-01, -3.146708642504973e-02, 5.510625328257266e-01, -9.547295570187589e-01, -1.937864616063819e-01, 1.444038801881944e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.386052496675833e-03
32, 7.522799968720000e-01, -3.293154859338757e-02, 5.548980091781480e-01, -9.552120369321839e-01, -1.894746941409139e-01, 1.452480574642908e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.999388678125997e-03
33, 7.385200262070000e-01, -3.439414300736392e-02, 5.593720094041872e-01, -9.566192525309222e-01, -1.853015768630164e-01, 1.462201709781877e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.467838777202367e-03
34, 7.245299816130000e-01, -3.585013255234574e-02, 5.641485888173089e-01, -9.585318999914280e-01, -1.810121251476415e-01, 1.473303270860155e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.994212689237600e-03
35, 7.103199958800001e-01, -3.729690419859765e-02, 5.695352444640441e-01, -9.612691526293172e-01, -1.768210473973121e-01, 1.485505951823331e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.463924047077588e-03
36, 6.958900094030001e-01, -3.873280647064400e-02, 5.751798228965096e-01, -9.644340139993186e-01, -1.724674920804791e-01, 1.498998510693806e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.098349563363755e-03
37, 6.812700033190000e-01, -4.015316597419455e-02, 5.814511870513536e-01, -9.684478395903183e-01, -1.681672703079931e-01, 1.513614722168310e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.634405344822682e-03
38, 6.664699912070000e-01, -4.155532013688143e-02, 5.880378750940054e-01, -9.729413995539837e-01, -1.636937114831152e-01, 1.529629222029612e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.319860053031257e-03
39, 6.514999866490000e-01, -4.293655516157332e-02, 5.952469536748606e-01, -9.782390149488379e-01, -1.592338707655136e-01, 1.546781724990871e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.961536263819118e-03
40, 6.363800168040000e-01, -4.429321309933913e-02, 6.027755429593179e-01, -9.840088707769851e-01, -1.545707206553730e-01, 1.565319870907902e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.731543133752848e-03
41, 6.211299896240000e-01, -4.562168605432090e-02, 6.109389718782655e-01, -9.905873499060877e-01, -1.498749321736337e-01, 1.585056442204333e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.401617626977213e-03
42, 6.057599782940000e-01, -4.691922182417187e-02, 6.194594173104824e-01, -9.976390605761686e-01, -1.449555069290436e-01, 1.606190632941502e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.191430027210679e-03
43, 5.902799963950000e-01, -4.818300261133791e-02, 6.285855428465809e-01, -1.005440585288438e+00, -1.399362239360021e-01, 1.628525646636405e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.984385564793295e-03
44, 5.747100114820000e-01, -4.940936402014977e-02, 6.381358221353638e-01, -1.013778410903672e+00, -1.346748017403951e-01, 1.652329672034972e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.942286020910628e-03
45, 5.590599775310000e-01, -5.059542286058864e-02, 6.482867550435397e-01, -1.022817084550213e+00, -1.292377855077223e-01, 1.677396924338866e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.731916208048976e-03
46, 5.433599948880000e-01, -5.173678052075067e-02, 6.588810499429391e-01, -1.032411838239338e+00, -1.235333468299450e-01, 1.703920794293330e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.933417281520898e-03
47, 5.276100039480000e-01, -5.283126083405377e-02, 6.699913373646090e-01, -1.042626297482194e+00, -1.175649346398078e-01, 1.731626378148969e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.497509849539696e-03
48, 5.118399858470000e-01, -5.387453987899295e-02, 6.815516468971887e-01, -1.053355561751283e+00, -1.112792259950506e-01, 1.760563433993886e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.105964505564635e-03
49, 4.960500001910000e-01, -5.486431375594480e-02, 6.936800032017959e-01, -1.064738108573587e+00, -1.046805274637707e-01, 1.790763858506456e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.507688546393131e-03
50, 4.802699983120000e-01, -5.579635193944769e-02, 7.064126345983104e-01, -1.076806425908423e+00, -9.773492587271859e-02, 1.822654506279966e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.768873997326498e-03
51, 4.645099937920000e-01, -5.666771588188866e-02, 7.193115343104116e-01, -1.089066205778373e+00, -9.038466710163703e-02, 1.855054683706880e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.281527575153696e-03
52, 4.487800002100000e-01, -5.747540778377702e-02, 7.308870734230970e-01, -1.099997810694482e+00, -8.247978730492717e-02, 1.884463301761948e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.268153391613165e-02
53, 4.331099987030000e-01, -5.821547193167302e-02, 7.394401090780767e-01, -1.107906432361682e+00, -7.390046038889227e-02, 1.906581224951927e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.592349188938580e-02
54, 4.174999892710000e-01, -5.888546986819913e-02, 7.454462709069973e-01, -1.113195029985891e+00, -6.474843509880253e-02, 1.921793053769403e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.422625547840778e-02
55, 4.019699990750000e-01, -5.948202824016982e-02, 7.534210884505012e-01, -1.120521372040765e+00, -5.531428385648021e-02, 1.941151007058616e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.006586251580427e-02
56, 3.865399956700000e-01, -6.000193386919411e-02, 7.705302147282251e-01, -1.137283443893474e+00, -4.604380196655451e-02, 1.982444794406079e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.475618122799393e-01
57, 3.712300062180000e-01, -6.044215651252864e-02, 8.001879628555476e-01, -1.166197400355349e+00, -3.726753395890776e-02, 2.057851327453985e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.992317641300879e-01
58, 3.560400009160000e-01, -6.080030073028954e-02, 8.362055322977443e-01, -1.200492181611865e+00, -2.695862180304489e-02, 2.152486418828840e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.044384693789558e-01
59, 3.409900069240000e-01, -6.107346561703389e-02, 8.667160658566982e-01, -1.229068137283057e+00, -1.363769430353924e-02, 2.231826905904918e-01, 0.000000000000000e+00, 0.000000000000000e+00, -9.016300435670314e-03
60, 3.261100053790000e-01, -6.125890613961045e-02, 8.869267874607679e-01, -1.247634910056412e+00, 2.264834320195687e-04, 2.282198802280061e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.245924441421791e-02
61, 3.113999962810000e-01, -6.135450805894810e-02, 9.020406011188651e-01, -1.261322625938879e+00, 1.347193686707014e-02, 2.319433336377958e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.636121327020609e-02
62, 2.968699932100000e-01, -6.135801386950354e-02, 9.196009812545811e-01, -1.277456879491514e+00, 2.716109702578941e-02, 2.364623638034289e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.795901272016340e-02
