"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633201036323288e-05, 1.320464625141790e+00, 6.969892902183339e-01, 1.013755903283396e-01, 3.777401953089151e+00
1, 9.990000128750000e-01, -1.454459724708978e-04, 1.188047990559495e+00, 7.011339124003306e-01, 1.024865383870808e-01, 3.410690470908640e+00
2, 9.977599978450000e-01, -3.272183670174355e-04, 1.179570309242751e+00, 7.530786833074616e-01, 1.119312574025534e-01, 3.396610893329323e+00
3, 9.960200190539999e-01, -5.883670945659047e-04, 1.166699454471755e+00, 7.725241634197065e-01, 1.192259977011968e-01, 3.364928263267132e+00
4, 9.937800168990000e-01, -9.414609002452585e-04, 1.158766229002802e+00, 7.804884463898153e-01, 1.284849021544748e-01, 3.344876240816289e+00
5, 9.910500049590000e-01, -1.406536508419730e-03, 1.153306983455512e+00, 7.879168812395336e-01, 1.417614342335294e-01, 3.331733777617603e+00
6, 9.878399968150000e-01, -2.010185008756678e-03, 1.145772759634070e+00, 7.947275368618703e-01, 1.582512354362705e-01, 3.312969908818043e+00
7, 9.841300249100000e-01, -2.784487241412771e-03, 1.134961679874252e+00, 8.047729715990158e-01, 1.763859705749526e-01, 3.286048610051205e+00
8, 9.799500107769999e-01, -3.739471272397315e-03, 1.119604472422006e+00, 8.193594656738967e-01, 1.933221278015197e-01, 3.247734654993981e+00
9, 9.752799868580000e-01, -4.872591741346623e-03, 1.099787860947905e+00, 8.385012518589250e-01, 2.055391495693919e-01, 3.198236000813590e+00
10, 9.701499938960000e-01, -6.141718294713413e-03, 1.076657741903023e+00, 8.606821530721558e-01, 2.101788709511913e-01, 3.140345332093911e+00
11, 9.645400047300000e-01, -7.495298985410723e-03, 1.052699872299411e+00, 8.829814811236388e-01, 2.059783804882424e-01, 3.080193400818880e+00
12, 9.584699869160000e-01, -8.866383503739354e-03, 1.031883023975743e+00, 9.022388259622671e-01, 1.941107273857863e-01, 3.027842256922998e+00
13, 9.519400000570000e-01, -1.020610681340660e-02, 1.017364999695722e+00, 9.162925982906071e-01, 1.779287919792939e-01, 2.991327179598656e+00
14, 9.449599981310000e-01, -1.148979876285344e-02, 1.009896935830392e+00, 9.246699626274987e-01, 1.615208800414617e-01, 2.972565539465903e+00
15, 9.375399947170000e-01, -1.272149244192790e-02, 1.007836040560083e+00, 9.283398861655463e-01, 1.480831404295543e-01, 2.967382862270674e+00
16, 9.296900033950000e-01, -1.392557558182598e-02, 1.008486279965437e+00, 9.291624985645104e-01, 1.390296589516009e-01, 2.968984016064513e+00
17, 9.214000105860000e-01, -1.513650218746101e-02, 1.009418119206375e+00, 9.289963179902745e-01, 1.341204549644932e-01, 2.971262915616669e+00
18, 9.126999974250000e-01, -1.637844572395472e-02, 1.009120845285792e+00, 9.291400851433942e-01, 1.321316520036159e-01, 2.970424184185411e+00
19, 9.035800099370001e-01, -1.767065840578247e-02, 1.007092526400025e+00, 9.301606675470686e-01, 1.316445566282344e-01, 2.965206356995021e+00
20, 8.940600156780000e-01, -1.901654064481744e-02, 1.003518500102810e+00, 9.321060144893957e-01, 1.315213395020442e-01, 2.956084500983549e+00
21, 8.841500282290000e-01, -2.041225344005148e-02, 9.988735552756400e-01, 9.347067122471202e-01, 1.310850948760162e-01, 2.944250242069905e+00
22, 8.738499879840000e-01, -2.185083440028422e-02, 9.936575594486401e-01, 9.376264632723438e-01, 1.300790699580983e-01, 2.930958024965435e+00
23, 8.631799817090000e-01, -2.332147609443314e-02, 9.882756499191493e-01, 9.406089063578312e-01, 1.285248228118005e-01, 2.917234142057032e+00
24, 8.521599769590000e-01, -2.481455801052356e-02, 9.829557448459337e-01, 9.434762229352760e-01, 1.265623580253414e-01, 2.903649388309530e+00
25, 8.407700061800000e-01, -2.632765608847314e-02, 9.777893018464406e-01, 9.461691551420112e-01, 1.243580420060295e-01, 2.890438445966618e+00
26, 8.290500044819999e-01, -2.785197569893005e-02, 9.727721388693360e-01, 9.486801555575981e-01, 1.220294994497798e-01, 2.877590683677183e+00
27, 8.170099854470000e-01, -2.938392686633104e-02, 9.678585614351144e-01, 9.510429418554026e-01, 1.196463608772230e-01, 2.864993919785847e+00
28, 8.046399950980000e-01, -3.092288728792378e-02, 9.629932396863514e-01, 9.532708029012260e-01, 1.172307779383646e-01, 2.852503282229976e+00
29, 7.919700145720000e-01, -3.246327772476114e-02, 9.581503202966143e-01, 9.553917537263685e-01, 1.147748819219567e-01, 2.840056459898564e+00
30, 7.790099978450000e-01, -3.400191732654360e-02, 9.533151577574153e-01, 9.574344989240587e-01, 1.122647836568157e-01, 2.827621565424764e+00
31, 7.657799720760000e-01, -3.553421308178074e-02, 9.484534601952296e-01, 9.593901284381010e-01, 1.096770280782152e-01, 2.815103419920661e+00
32, 7.522799968720000e-01, -3.705767846098351e-02, 9.435352210966556e-01, 9.612667563253526e-01, 1.069970338374529e-01, 2.802423796286818e+00
33, 7.385200262070000e-01, -3.856847316760995e-02, 9.385744811672603e-01, 9.630690232993716e-01, 1.042162191315544e-01, 2.789621514635714e+00
34, 7.245299816130000e-01, -4.006058022728499e-02, 9.336172454785964e-01, 9.647849424945615e-01, 1.013292078266356e-01, 2.776815759791125e+00
35, 7.103199958800001e-01, -4.153025937286894e-02, 9.286927022699303e-01, 9.663921685576976e-01, 9.833565483253097e-02, 2.764077545793368e+00
36, 6.958900094030001e-01, -4.297485303835209e-02, 9.238383423120538e-01, 9.679168777710276e-01, 9.524504353869316e-02, 2.751514393926899e+00
37, 6.812700033190000e-01, -4.438883934994594e-02, 9.190410114396604e-01, 9.693171404051963e-01, 9.205903852463272e-02, 2.739078272983427e+00
38, 6.664699912070000e-01, -4.576896290766563e-02, 9.143270205522440e-01, 9.706203138888952e-01, 8.879107123831424e-02, 2.726847164394441e+00
39, 6.514999866490000e-01, -4.711216136689517e-02, 9.097097127713241e-01, 9.718255894634248e-01, 8.545138148584468e-02, 2.714855906467536e+00
40, 6.363800168040000e-01, -4.841473588327713e-02, 9.052016580424008e-01, 9.729192356338815e-01, 8.204931597747997e-02, 2.703133165843865e+00
41, 6.211299896240000e-01, -4.967335801187245e-02, 9.008213950469497e-01, 9.739302624272624e-01, 7.859761950557585e-02, 2.691736516394633e+00
42, 6.057599782940000e-01, -5.088581849452807e-02, 8.965281328194769e-01, 9.748348047476583e-01, 7.510384151727097e-02, 2.680549796590252e+00
43, 5.902799963950000e-01, -5.205012276318789e-02, 8.923028522373923e-01, 9.756688303789016e-01, 7.157923336799649e-02, 2.669533400438422e+00
44, 5.747100114820000e-01, -5.316377670258273e-02, 8.881556668610677e-01, 9.764033161202607e-01, 6.802744244222043e-02, 2.658704593383916e+00
45, 5.590599775310000e-01, -5.422526699022186e-02, 8.842383142077339e-01, 9.770723991213123e-01, 6.445852556464809e-02, 2.648475013313220e+00
46, 5.433599948880000e-01, -5.523197128866844e-02, 8.806799476180638e-01, 9.776588320672527e-01, 6.087227544685166e-02, 2.639179294414394e+00
47, 5.276100039480000e-01, -5.618344646136980e-02, 8.773876714273332e-01, 9.781920897549919e-01, 5.727516089945109e-02, 2.630579679586015e+00
48, 5.118399858470000e-01, -5.707753271600281e-02, 8.739025993988946e-01, 9.786277578469549e-01, 5.365997612775545e-02, 2.621448956327378e+00
49, 4.960500001910000e-01, -5.791394003731162e-02, 8.700429872713106e-01, 9.789673319512817e-01, 5.002709695323349e-02, 2.611308676914832e+00
50, 4.802699983120000e-01, -5.869081926365281e-02, 8.668970402979821e-01, 9.791653438619927e-01, 4.636651256480712e-02, 2.603015349415345e+00
51, 4.645099937920000e-01, -5.940745705377930e-02, 8.669510538656036e-01, 9.792929411190604e-01, 4.267504717104494e-02, 2.603144818243701e+00
52, 4.487800002100000e-01, -6.006307173070659e-02, 8.723171225999756e-01, 9.793905726910667e-01, 3.894494763208653e-02, 2.617284730719780e+00
53, 4.331099987030000e-01, -6.065606123528452e-02, 8.810553963652823e-01, 9.794913060137824e-01, 3.516171754886455e-02, 2.640352909318702e+00
54, 4.174999892710000e-01, -6.118595960404422e-02, 8.830146512076729e-01, 9.796347946147711e-01, 3.131314383164850e-02, 2.645536525455241e+00
55, 4.019699990750000e-01, -6.165142327492346e-02, 8.638315524812507e-01, 9.796653940884865e-01, 2.737521936468609e-02, 2.594862946670138e+00
56, 3.865399956700000e-01, -6.205108827090423e-02, 8.210241509498968e-01, 9.777331525543012e-01, 2.328664288478979e-02, 2.481733093980107e+00
57, 3.712300062180000e-01, -6.238355681675117e-02, 7.846696457621100e-01, 9.742582779166926e-01, 1.905756774169385e-02, 2.385656133006306e+00
58, 3.560400009160000e-01, -6.264770184794111e-02, 7.716304735049195e-01, 9.719373777425914e-01, 1.472795048389374e-02, 2.350943366460623e+00
59, 3.409900069240000e-01, -6.284178923216607e-02, 7.718731401628848e-01, 9.716059382276291e-01, 1.026756331099292e-02, 2.351432838610817e+00
60, 3.261100053790000e-01, -6.296399069713697e-02, 7.747095375273602e-01, 9.719044012982739e-01, 5.613125885191729e-03, 2.358885109723142e+00
61, 3.113999962810000e-01, -6.301268305100406e-02, 7.760902426898588e-01, 9.721669798655016e-01, 7.280848655924865e-04, 2.362557090387126e+00
62, 2.968699932100000e-01, -6.298588941491992e-02, 7.765912014348270e-01, 9.723659048108974e-01, -4.416732085962439e-03, 2.363932227434893e+00
63, 2.825500071050000e-01, -6.288163909703276e-02, 7.772969888230052e-01, 9.725182129171885e-01, -9.853984644040557e-03, 2.365833332658378e+00
64, 2.684499919410000e-01, -6.269792539289065e-02, 7.785958368865218e-01, 9.727554697774468e-01, -1.561883274346806e-02, 2.369317730070220e+00
