"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633242474987075e-05, 1.321696244174089e+00, 6.900079116477510e-01, 1.003782160475944e-01, 3.779757938996567e+00
1, 9.990000128750000e-01, -1.454721344257541e-04, 1.190735714270218e+00, 6.956579040918549e-01, 1.017862388368784e-01, 3.417199856832676e+00
2, 9.977599978450000e-01, -3.275052523853048e-04, 1.182952022321210e+00, 7.469290277550817e-01, 1.113988141457342e-01, 3.404819403758845e+00
3, 9.960200190539999e-01, -5.899156698694794e-04, 1.170827986725769e+00, 7.652903330897579e-01, 1.191297385020457e-01, 3.374947910196595e+00
4, 9.937800168990000e-01, -9.470532446170584e-04, 1.163700187835142e+00, 7.722726175041490e-01, 1.292916607370456e-01, 3.356923520635057e+00
5, 9.910500049590000e-01, -1.421981136991416e-03, 1.158834300962112e+00, 7.787503338655615e-01, 1.439767929062569e-01, 3.345250951458028e+00
6, 9.878399968150000e-01, -2.045255074268827e-03, 1.151617779057414e+00, 7.849511986808383e-01, 1.623424225377096e-01, 3.327285411792888e+00
7, 9.841300249100000e-01, -2.853160969515043e-03, 1.140723036197227e+00, 7.948976176823637e-01, 1.826302501224906e-01, 3.300167632236943e+00
8, 9.799500107769999e-01, -3.858004403904746e-03, 1.124793763171002e+00, 8.100740693915129e-01, 2.017224305624634e-01, 3.260452200172677e+00
9, 9.752799868580000e-01, -5.056973255175191e-03, 1.103882821174038e+00, 8.305199878049848e-01, 2.157104367743975e-01, 3.208256286380989e+00
10, 9.701499938960000e-01, -6.403356656514654e-03, 1.079171653357573e+00, 8.545886146950509e-01, 2.213589014529415e-01, 3.146448001472178e+00
11, 9.645400047300000e-01, -7.838885633362739e-03, 1.053274699027459e+00, 8.790279678536538e-01, 2.171382040479040e-01, 3.081450086368336e+00
12, 9.584699869160000e-01, -9.288561486910258e-03, 1.030636610885413e+00, 9.002201229224528e-01, 2.042377968944274e-01, 3.024525683234772e+00
13, 9.519400000570000e-01, -1.069751668342056e-02, 1.014996123462061e+00, 9.156462533924096e-01, 1.863749700411117e-01, 2.985199755525548e+00
14, 9.449599981310000e-01, -1.203844851558689e-02, 1.007314883523694e+00, 9.247046962995366e-01, 1.681827111327757e-01, 2.965925094212396e+00
15, 9.375399947170000e-01, -1.331654949259659e-02, 1.005744911801295e+00, 9.284431273422536e-01, 1.533178740588369e-01, 2.961998524735205e+00
16, 9.296900033950000e-01, -1.456004952793423e-02, 1.007209453097892e+00, 9.289514079846894e-01, 1.434134062828323e-01, 2.965662723810761e+00
17, 9.214000105860000e-01, -1.580827304420750e-02, 1.008942886805525e+00, 9.283422771799060e-01, 1.382103556769285e-01, 2.969968081526738e+00
18, 9.126999974250000e-01, -1.708949887629326e-02, 1.009230638138116e+00, 9.280983520435699e-01, 1.363281800069361e-01, 2.970606740456375e+00
19, 9.035800099370001e-01, -1.842584935048085e-02, 1.007518687342283e+00, 9.288690225749251e-01, 1.361627376055152e-01, 2.966187179304955e+00
20, 8.940600156780000e-01, -1.982193034069125e-02, 1.004020559151956e+00, 9.307144081635930e-01, 1.364289203638802e-01, 2.957256385554365e+00
21, 8.841500282290000e-01, -2.127399632646111e-02, 9.992679510860583e-01, 9.333391952827634e-01, 1.363606802079019e-01, 2.945149548002175e+00
22, 8.738499879840000e-01, -2.277461157094800e-02, 9.938152264312827e-01, 9.363662102663174e-01, 1.356626418018516e-01, 2.931256896281345e+00
23, 8.631799817090000e-01, -2.431217933479691e-02, 9.881043331955015e-01, 9.395068059406665e-01, 1.343512605136903e-01, 2.916696355510083e+00
24, 8.521599769590000e-01, -2.587632440936319e-02, 9.823824294992655e-01, 9.425598903763230e-01, 1.325748656905147e-01, 2.902085613351677e+00
25, 8.407700061800000e-01, -2.746423314720635e-02, 9.767480945455900e-01, 9.454572040432394e-01, 1.305092319294021e-01, 2.887677248755222e+00
26, 8.290500044819999e-01, -2.906638393292992e-02, 9.711907795657736e-01, 9.481874910329120e-01, 1.282757563463987e-01, 2.873443368745877e+00
27, 8.170099854470000e-01, -3.067861285497018e-02, 9.656569174811650e-01, 9.507856377292896e-01, 1.259410490957673e-01, 2.859251602603433e+00
28, 8.046399950980000e-01, -3.229973335289010e-02, 9.600864119184059e-01, 9.532613556465898e-01, 1.235185437465109e-01, 2.844943716637195e+00
29, 7.919700145720000e-01, -3.392315929505654e-02, 9.544567890835109e-01, 9.556401882484020e-01, 1.209898783298080e-01, 2.830466102546028e+00
30, 7.790099978450000e-01, -3.554464737740132e-02, 9.487603349016003e-01, 9.579456893894410e-01, 1.183311485719816e-01, 2.815804331778659e+00
31, 7.657799720760000e-01, -3.715830909950519e-02, 9.429657707104516e-01, 9.601592810532692e-01, 1.155103272446389e-01, 2.800868908818500e+00
32, 7.522799968720000e-01, -3.876035462573799e-02, 9.370466974417120e-01, 9.622821258794935e-01, 1.125082070664805e-01, 2.785589831008399e+00
33, 7.385200262070000e-01, -4.034549043849910e-02, 9.310348501604274e-01, 9.643145016887346e-01, 1.093156177336959e-01, 2.770052473110477e+00
34, 7.245299816130000e-01, -4.190612299782480e-02, 9.250013983684663e-01, 9.662275427765706e-01, 1.059285287767896e-01, 2.754438443652979e+00
35, 7.103199958800001e-01, -4.343708904416075e-02, 9.190084621929154e-01, 9.679985265400025e-01, 1.023533171946266e-01, 2.738906520384062e+00
36, 6.958900094030001e-01, -4.493442942565930e-02, 9.131148740565762e-01, 9.696436108326627e-01, 9.860864451823406e-02, 2.723618094140179e+00
37, 6.812700033190000e-01, -4.639135013318613e-02, 9.073321724106203e-01, 9.711175658674344e-01, 9.470768610782861e-02, 2.708589610416120e+00
38, 6.664699912070000e-01, -4.780359990153735e-02, 9.017137643718762e-01, 9.724512984904111e-01, 9.067904019283163e-02, 2.693971925082397e+00
39, 6.514999866490000e-01, -4.916734163255562e-02, 8.962905256267610e-01, 9.736374455191725e-01, 8.654838348735830e-02, 2.679843936024572e+00
40, 6.363800168040000e-01, -5.047835183896613e-02, 8.910986640021286e-01, 9.746710969340494e-01, 8.234296535897349e-02, 2.666299065046486e+00
41, 6.211299896240000e-01, -5.173308470306230e-02, 8.861933462290679e-01, 9.755737932508808e-01, 7.809257134644032e-02, 2.653488869706398e+00
42, 6.057599782940000e-01, -5.292941967054945e-02, 8.816188548520719e-01, 9.763335213096579e-01, 7.382347501276920e-02, 2.641525100171576e+00
43, 5.902799963950000e-01, -5.406574424468102e-02, 8.774364582845177e-01, 9.769854829033144e-01, 6.956413969206951e-02, 2.630579030939738e+00
44, 5.747100114820000e-01, -5.514026544721885e-02, 8.736447581011275e-01, 9.775194256025705e-01, 6.533587165039034e-02, 2.620641631165611e+00
45, 5.590599775310000e-01, -5.615244154398395e-02, 8.702201635677083e-01, 9.779741108126463e-01, 6.116453818782197e-02, 2.611661186693507e+00
46, 5.433599948880000e-01, -5.710096079278296e-02, 8.671115312975310e-01, 9.783361477046777e-01, 5.706353278693116e-02, 2.603496681548330e+00
47, 5.276100039480000e-01, -5.798682802036239e-02, 8.643715225209394e-01, 9.786427186783692e-01, 5.305200880633949e-02, 2.596297523784926e+00
48, 5.118399858470000e-01, -5.880965362347944e-02, 8.621248552765256e-01, 9.788816515025051e-01, 4.913410090516373e-02, 2.590386749536009e+00
49, 4.960500001910000e-01, -5.957095456598067e-02, 8.605267823551910e-01, 9.790996467831539e-01, 4.532005131113622e-02, 2.586186815751476e+00
50, 4.802699983120000e-01, -6.027094866089355e-02, 8.595734117103045e-01, 9.792825784641723e-01, 4.160607033918641e-02, 2.583681066081117e+00
51, 4.645099937920000e-01, -6.091097199669328e-02, 8.590715461973877e-01, 9.794340156263961e-01, 3.798838020942771e-02, 2.582360515965427e+00
52, 4.487800002100000e-01, -6.149232141455259e-02, 8.588708115825365e-01, 9.795105007561304e-01, 3.445680907005769e-02, 2.581814146656461e+00
53, 4.331099987030000e-01, -6.201554783814388e-02, 8.595152059771063e-01, 9.795149020035524e-01, 3.099549614697351e-02, 2.583475337651080e+00
54, 4.174999892710000e-01, -6.248213734951581e-02, 8.626453627522596e-01, 9.794816382885254e-01, 2.758957737217203e-02, 2.591679388666943e+00
55, 4.019699990750000e-01, -6.289268467820482e-02, 8.702438230889845e-01, 9.794589721067603e-01, 2.421661772828790e-02, 2.611682887941167e+00
56, 3.865399956700000e-01, -6.324760721732761e-02, 8.812196071828755e-01, 9.794474414945955e-01, 2.085085733653028e-02, 2.640643866482952e+00
57, 3.712300062180000e-01, -6.354708957879776e-02, 8.860309743645485e-01, 9.794644976299949e-01, 1.746099417799856e-02, 2.653351575629869e+00
58, 3.560400009160000e-01, -6.379133313298584e-02, 8.689825098601555e-01, 9.794889071338385e-01, 1.401374246630379e-02, 2.608300201040567e+00
59, 3.409900069240000e-01, -6.397973925885114e-02, 8.232855547877798e-01, 9.774338697006862e-01, 1.044984163896872e-02, 2.487477190372321e+00
60, 3.261100053790000e-01, -6.411131765911288e-02, 7.812286553023972e-01, 9.733380609705560e-01, 6.751845171082551e-03, 2.376328806582798e+00
61, 3.113999962810000e-01, -6.418499905345219e-02, 7.655904093872872e-01, 9.704766616602416e-01, 2.913220953463312e-03, 2.334722742999896e+00
62, 2.968699932100000e-01, -6.419909165667047e-02, 7.648379723851085e-01, 9.698248655848795e-01, -1.124924610487620e-03, 2.332536183745156e+00
63, 2.825500071050000e-01, -6.415153521478603e-02, 7.666021219851576e-01, 9.697418294949570e-01, -5.429588516173135e-03, 2.337082080917458e+00
64, 2.684499919410000e-01, -6.403996795196221e-02, 7.664745651650269e-01, 9.696596056948983e-01, -1.005292042603139e-02, 2.336735153409887e+00
65, 2.545700073240000e-01, -6.386145330391053e-02, 7.652632728963848e-01, 9.693590437445634e-01, -1.504262157604447e-02, 2.333511281356363e+00
66, 2.409400045870000e-01, -6.361306490504839e-02, 7.643687227467365e-01, 9.691080605222461e-01, -2.046011311500774e-02, 2.331138987947003e+00
67, 2.275699973110000e-01, -6.329142063007785e-02, 7.639646972819957e-01, 9.688357055488950e-01, -2.636154913815232e-02, 2.330045470153281e+00
68, 2.144699990750000e-01, -6.289282890735008e-02, 7.639403965875070e-01, 9.686232055026928e-01, -3.281148142625585e-02, 2.329976910154299e+00
69, 2.016600072380000e-01, -6.241373655932146e-02, 7.643558271378148e-01, 9.684305539052360e-01, -3.988174150380864e-02, 2.331079277312668e+00
