"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          63,      -5.348072339,      -5.074641973,      -5.367807951,      -4.668750789,      -7.704098637
          0,           0,          64,      -5.362217744,      -5.082232243,       -5.37635664,      -4.681208873,      -7.688729655
          0,           0,          65,       -5.37559581,      -5.084970535,      -5.377162429,      -4.691884859,      -7.686334076
          0,           0,          66,      -5.388793041,       -5.08726274,      -5.384028319,      -4.704126632,       -7.67907244
          0,           0,          67,      -5.396543436,      -5.087873524,      -5.390011012,      -4.709661625,       -7.67330249
          0,           0,          68,      -5.409727568,      -5.089443959,      -5.396323558,      -4.721078508,      -7.669746347
          0,           0,          69,      -5.419492272,      -5.087281743,        -5.3997997,      -4.729007209,      -7.666659552
          0,           0,          70,       -5.42369433,      -5.084926336,      -5.413628612,      -4.731089952,      -7.679297374
          0,           0,          71,      -5.435058093,      -5.082902026,      -5.426611694,      -4.739029069,      -7.677835426
          0,           0,          72,      -5.445369858,      -5.080629547,      -5.434777734,       -4.74883399,      -7.677073765
          0,           0,          73,      -5.453472868,      -5.077334989,      -5.448817352,      -4.755765558,       -7.68215055
          0,           0,          74,      -5.456552499,      -5.074822058,      -5.451977222,      -4.757489118,      -7.687037678
          0,           0,          75,      -5.463645786,      -5.071899441,      -5.454026942,      -4.762680476,      -7.690496963
          0,           0,          76,      -5.471637433,      -5.070085728,      -5.461849023,       -4.77139184,      -7.689978242
          0,           0,          77,      -5.472525102,      -5.068312501,      -5.471785146,      -4.769818925,      -7.677514418
          0,           0,          78,       -5.46751372,      -5.067214237,      -5.469567458,      -4.763758135,      -7.665399187
          0,           0,          79,       -5.46630273,      -5.065520572,      -5.477176366,      -4.760468016,      -7.658999932
          0,           0,          80,      -5.466846701,      -5.065117637,      -5.496112331,      -4.760862085,       -7.65226815
          0,           0,          81,      -5.445812254,      -5.031194793,      -5.477369241,      -4.710878164,      -7.652561251
          0,           0,          82,      -5.469285531,      -5.053774744,      -5.494010228,      -4.756138667,      -7.646618519
          0,           0,          83,      -5.491764655,      -5.060253668,      -5.512498081,      -4.783838084,      -7.634758601
          0,           0,          84,      -5.486259967,      -5.061218872,       -5.52237132,      -4.778206354,       -7.62601334
          0,           0,          85,      -5.469645445,      -5.061669707,      -5.519968572,      -4.759350839,       -7.61555595
          0,           0,          86,      -5.444867599,      -5.060869233,      -5.504207588,      -4.732267801,        -7.5965242
          0,           0,          87,      -5.453560544,      -5.061571712,      -5.535459203,      -4.739414469,      -7.573314796
          0,           0,          88,      -5.465472494,      -5.061828832,      -5.546535591,       -4.75088843,      -7.546749886
          0,           0,          89,      -5.462089145,      -5.061277868,      -5.562435335,      -4.746575445,      -7.519160712
          0,           0,          90,      -5.451059269,      -5.060332007,      -5.557000743,      -4.734435537,      -7.490028929
          0,           0,          91,      -5.453001851,      -5.061256791,      -5.553172167,      -4.736104889,      -7.461068879
          0,           0,          92,      -5.471901211,      -5.061534206,       -5.55654063,      -4.753568111,      -7.437941046
          0,           0,          93,       -5.49030876,      -5.062661038,      -5.571624412,      -4.771839431,      -7.426505099
          0,           0,          94,      -5.494540899,      -5.062863408,      -5.576468766,      -4.774618521,      -7.428861876
          0,           0,          95,      -5.486731595,      -5.064445592,      -5.582327106,      -4.766897762,       -7.41753626
          0,           0,          96,      -5.470281509,      -5.065573392,      -5.559548689,      -4.749723136,      -7.397693005
          0,           0,          97,      -5.477080724,      -5.068348812,      -5.575023571,      -4.756740608,      -7.376701854
          0,           0,          98,      -5.485970077,      -5.070278331,      -5.579536282,      -4.764643528,      -7.364078856
          0,           0,          99,       -5.48667711,      -5.073576398,      -5.582942441,      -4.766014261,      -7.355644344
          0,           0,         100,      -5.489342353,      -5.076556378,      -5.594969672,      -4.767208309,       -7.34279555
          0,           0,         101,      -5.492739677,      -5.079259172,      -5.596718281,      -4.771102171,      -7.336479467
          0,           0,         102,      -5.512863339,      -5.081368194,      -5.590687731,      -4.790031955,      -7.318165715
          0,           0,         103,      -5.524908299,      -5.084987189,      -5.601085022,      -4.803644154,      -7.293745377
          0,           0,         104,      -5.519393056,      -5.088306367,      -5.605705945,      -4.797790861,      -7.273803845
          0,           0,         105,      -5.503343554,      -5.091514393,       -5.60419567,      -4.782872141,      -7.259731502
          0,           0,         106,       -5.49184409,      -5.093121556,      -5.599203294,      -4.770503642,      -7.254344243
